,Model_Name,Datflow,Accelerator,Avg_Miss_Ratio
0,GoogLeNet,IS,AMM,0.0013065922970693844
1,ResNet50,IS,AMM,0.006335492395114371
2,ShuffleNet_V2,IS,AMM,0.0010353075242452725
3,MobileNet_V2,IS,AMM,0.0023398977810623355
4,GoogLeNet,WS,AMM,0.3916354407888588
5,ResNet50,WS,AMM,0.3493684368572214
6,ShuffleNet_V2,WS,AMM,0.13799543793810626
7,MobileNet_V2,WS,AMM,0.11123800196209528
8,GoogLeNet,OS,AMM,0.003363309626366614
9,ResNet50,OS,AMM,0.017134596951681656
10,ShuffleNet_V2,OS,AMM,0.004258246498673338
11,MobileNet_V2,OS,AMM,0.008179476392628724
