name,Model_Name,Dataflow,Reduction_Type,Total_Latency,VDP Latency,FPS,Total_Dynamic_Energy,Total_Static_Power,Total_Power,Total_Area,fps_per_W,Config,Reduction_Latency,Reduction_Energy,Adder Reduction Latency,Adder Reduction Energy,Output_Access_Latency,Output_Access_Energy,Input_Access_Latency,Input_Access_Energy,Weight_Access_Latency,Weight_Access_Energy,Reduction_Network_Latency
AMM,GoogLeNet,IS,S_Tree,2.812129111,4.041113076,0.355602449,0.478256675,1472.924211,1473.09428,12471.86477,0.000241398,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'S_Tree'}]",148907710.6,255474.1353,0.030116317,864.0009874,887.808,98.304,26.877,2.976,887.808,98.304,0.030116317
AMM,ResNet50,IS,S_Tree,7.624228065,10.61949389,0.131160819,1.648742301,1472.924211,1473.140461,12471.86477,8.90348E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'S_Tree'}]",387335131.5,646105.9633,0.08759611,2513.027292,1775.616,196.608,26.877,2.976,1775.616,196.608,0.08759611
AMM,ShuffleNet_V2,IS,S_Tree,14.85786693,11.60292734,0.067304412,1.923319382,1472.924211,1473.053658,12471.86477,4.56904E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'S_Tree'}]",422049367.8,698798.7375,0.098436312,2824.019659,887.808,98.304,26.877,2.976,887.808,98.304,0.098436312
AMM,MobileNet_V2,IS,S_Tree,21.94972077,12.02413012,0.045558666,2.035607713,1472.924211,1473.01695,12471.86477,3.09288E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'S_Tree'}]",437415604.2,724782.5857,0.102862584,2951.004087,1109.76,122.88,26.877,2.976,1109.76,122.88,0.102862584
AMM,GoogLeNet,WS,S_Tree,0.019834216,0.004037076,50.41792377,0.488847013,1472.924211,1497.570862,12471.86477,0.03366647,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'S_Tree'}]",675976463.2,3582140.818,0.030116317,864.0009874,887.808,98.304,887.808,98.304,27522.048,3047.424,0.030116317
AMM,ResNet50,WS,S_Tree,0.056361827,0.010608885,17.74250501,1.679547118,1472.924211,1502.723584,12471.86477,0.011806899,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'S_Tree'}]",1817454919,9672503.043,0.08759611,2513.027292,1775.616,196.608,1775.616,196.608,55044.096,6094.848,0.08759611
AMM,ShuffleNet_V2,WS,S_Tree,0.117485337,0.011591336,8.511700453,1.957936649,1472.924211,1489.589581,12471.86477,0.005714125,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'S_Tree'}]",1933293570,10237223.68,0.098436312,2824.019659,887.808,98.304,887.808,98.304,27522.048,3047.424,0.098436312
AMM,MobileNet_V2,WS,S_Tree,0.178389174,0.012012118,5.605721341,2.071781311,1472.924211,1484.538039,12471.86477,0.003776071,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'S_Tree'}]",1975528542,10432793.24,0.102862584,2951.004087,1109.76,122.88,1109.76,122.88,34402.56,3809.28,0.102862584
AMM,GoogLeNet,OS,S_Tree,2.812129111,4.041113076,0.355602449,0.479230045,1472.924211,1473.094626,12471.86477,0.000241398,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'S_Tree'}]",474649914.5,2311440.709,0.030116317,864.0009874,887.808,98.304,887.808,98.304,887.808,98.304,0.030116317
AMM,ResNet50,OS,S_Tree,7.624228065,10.61949389,0.131160819,1.651283009,1472.924211,1473.140794,12471.86477,8.90348E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'S_Tree'}]",1030004485,4702401.682,0.08759611,2513.027292,1775.616,196.608,1775.616,196.608,1775.616,196.608,0.08759611
AMM,ShuffleNet_V2,OS,S_Tree,14.85786693,11.60292734,0.067304412,1.926081919,1472.924211,1473.053844,12471.86477,4.56904E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'S_Tree'}]",1075911951,4825742.063,0.098436312,2824.019659,887.808,98.304,887.808,98.304,887.808,98.304,0.098436312
AMM,MobileNet_V2,OS,S_Tree,21.94972077,12.02413012,0.045558666,2.038464675,1472.924211,1473.01708,12471.86477,3.09288E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'S_Tree'}]",1108186814,4958447.027,0.102862584,2951.004087,1109.76,122.88,1109.76,122.88,1109.76,122.88,0.102862584
AMM,GoogLeNet,IS,ST_Tree_Ac,2.812126307,4.041113076,0.355602804,0.478256405,1472.924211,1473.09428,12471.86478,0.000241399,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'ST_Tree_Ac'}]",148907710.6,255474.1353,0.020000467,594.0398712,887.808,98.304,26.877,2.976,887.808,98.304,0.020000467
