,Model_Name,Datflow,Accelerator,Avg_Miss_Ratio
0,GoogLeNet,IS,MAM,0.011121120655910605
1,ResNet50,IS,MAM,0.01676870079811102
2,ShuffleNet_V2,IS,MAM,0.017161427790865734
3,MobileNet_V2,IS,MAM,0.017851541090541396
4,GoogLeNet,WS,MAM,0.3981055467974629
5,ResNet50,WS,MAM,0.35134816087067083
6,ShuffleNet_V2,WS,MAM,0.14082940410505182
7,MobileNet_V2,WS,MAM,0.11638025075973146
8,GoogLeNet,OS,MAM,0.04543641082761551
9,ResNet50,OS,MAM,0.11499260761726353
10,ShuffleNet_V2,OS,MAM,0.031214734468281758
11,MobileNet_V2,OS,MAM,0.07598540172349812
