,Model_Name,Datflow,Accelerator,Avg_Miss_Ratio
0,GoogLeNet,IS,MAM,0.001262614745148478
1,ResNet50,IS,MAM,0.00601612087579168
2,ShuffleNet_V2,IS,MAM,0.0010353075242452725
3,MobileNet_V2,IS,MAM,0.0021678886192998564
4,GoogLeNet,WS,MAM,0.3877654905503184
5,ResNet50,WS,MAM,0.3483426129109214
6,ShuffleNet_V2,WS,MAM,0.13725237842002
7,MobileNet_V2,WS,MAM,0.10919802552034452
8,GoogLeNet,OS,MAM,0.0026154678291421003
9,ResNet50,OS,MAM,0.012684731770690965
10,ShuffleNet_V2,OS,MAM,0.004258246498673338
11,MobileNet_V2,OS,MAM,0.008179476392628724
