C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
16,96,12544,IS,87904,2320640,0,0.030110677,0
16,96,12544,OS,87904,944036352,0,0.06225679,0
16,96,12544,WS,87904,1191680,0,0.01546224,0
16,16,12544,IS,87904,2320640,0,0.030110677,0
16,16,12544,OS,87904,944036352,0,0.06225679,0
16,16,12544,WS,87904,1191680,0,0.01546224,0
16,16,12544,RIS,87904,2320640,0,0.030110677,0
16,16,12544,ROS,87904,944036352,0,0.06225679,0
16,16,12544,RWS,87904,1191680,0,0.01546224,0
16,96,12544,RIS,87904,2320640,0,0.030110677,0
16,96,12544,ROS,87904,944036352,0,0.06225679,0
16,96,12544,RWS,87904,1191680,0,0.01546224,0
24,116,3136,IS,27632,522928,0,0.014973958,0
24,144,3136,IS,33144,649152,0,0.014973958,0
24,116,784,IS,7052,130732,0,0.014973958,0
24,24,3136,IS,9456,108192,0,0.014973958,0
24,116,3136,OS,27632,71277360,0,0.061077774,0
24,144,3136,OS,33144,88482240,0,0.061077774,0
24,116,784,OS,7052,4450572,0,0.057169977,0
24,24,3136,OS,9456,14747040,0,0.061077774,0
24,116,3136,WS,27632,540960,0,0.015490302,0
24,144,3136,WS,33144,672672,0,0.015516493,0
24,116,784,WS,7052,135240,0,0.015490302,0
24,24,3136,WS,9456,108192,0,0.014973958,0
24,116,3136,RIS,27632,522928,0,0.014973958,0
24,144,3136,RIS,33144,649152,0,0.014973958,0
24,116,784,RIS,7052,130732,0,0.014973958,0
24,24,3136,RIS,9456,108192,0,0.014973958,0
24,116,3136,ROS,27632,71277360,0,0.061077774,0
24,144,3136,ROS,33144,88482240,0,0.061077774,0
24,116,784,ROS,7052,4450572,0,0.057169977,0
24,24,3136,ROS,9456,14747040,0,0.061077774,0
24,116,3136,RWS,27632,540960,0,0.015490302,0
24,144,3136,RWS,33144,672672,0,0.015516493,0
24,116,784,RWS,7052,135240,0,0.015490302,0
24,24,3136,RWS,9456,108192,0,0.014973958,0
27,24,49284,IS,157185,3835845,0,0.030027564,0
27,32,49284,IS,181833,5142189,0,0.030190364,0
27,32,88209,IS,325380,9202866,0,0.030188148,0
27,64,49284,IS,280479,10367565,0,0.030434564,0
27,27,49284,IS,166428,4325724,0,0.03009992,0
27,24,49284,OS,157185,3644182152,0,0.062411374,0
27,32,49284,OS,181833,4858909536,0,0.062411374,0
27,32,88209,OS,325380,15564125184,0,0.062452571,0
27,64,49284,OS,280479,9717819072,0,0.062411374,0
27,27,49284,OS,166428,4099704921,0,0.062411374,0
27,24,49284,WS,157185,1913301,0,0.014977604,0
27,32,49284,WS,181833,2578797,0,0.015140404,0
27,32,88209,WS,325380,4615218,0,0.015139293,0
27,64,49284,WS,280479,5240781,0,0.015384604,0
27,27,49284,WS,166428,2162862,0,0.01504996,0
27,24,49284,RIS,157185,3835845,0,0.030027564,0
27,32,49284,RIS,181833,5142189,0,0.030190364,0
27,32,88209,RIS,325380,9202866,0,0.030188148,0
