,C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
0,64,256,3136,WS,14372,100352,0,0.013888888888888888,0.0
1,24,24,3136,WS,4924,0,0,0.0,0.0
2,2048,320,64,WS,10284,2873344,0,0.4982244318181818,0.0
3,144,24,3136,WS,28564,0,0,0.0,0.0
4,4608,4608,144,WS,88893,197650944,0,0.4997786167039523,0.0
5,1152,32,676,WS,50774,3064320,0,0.4918639053254438,0.0
6,768,128,196,WS,10817,1494528,0,0.49642857142857144,0.0
7,864,864,1089,WS,63276,52628832,0,0.4994178800996983,0.0
8,64,64,3136,WS,13196,25088,0,0.010416666666666666,0.0
9,512,128,49,WS,2580,248320,0,0.49489795918367346,0.0
10,1280,384,64,WS,6452,2123520,0,0.49849759615384615,0.0
11,256,128,676,WS,11479,909056,0,0.26264792899408285,0.0
12,256,512,3136,WS,54020,14450176,0,0.2646965036014406,0.0
13,992,128,49,WS,4980,481120,0,0.49489795918367346,0.0
14,288,48,1225,WS,22618,1388736,0,0.49204081632653063,0.0
15,256,64,676,WS,11393,540928,0,0.2604783037475345,0.0
16,608,128,49,WS,3060,294880,0,0.49489795918367346,0.0
17,768,192,289,WS,15493,3091968,0,0.49752842313395945,0.0
18,512,144,144,WS,5165,732160,0,0.4965277777777778,0.0
19,800,128,196,WS,11265,1556800,0,0.49642857142857144,0.0
20,864,128,576,WS,32148,4944672,0,0.49678819444444444,0.0
21,384,128,784,WS,19445,2991360,0,0.4968112244897959,0.0
22,448,128,784,WS,22645,3489920,0,0.4968112244897959,0.0
23,64,64,2916,WS,12325,23424,0,0.010459533607681756,0.0
24,32,16,12544,WS,25904,0,0,0.0,0.0
25,720,720,5041,WS,236544,173988000,0,0.49934288831581036,0.0
26,864,128,196,WS,12161,1681344,0,0.49642857142857144,0.0
27,144,32,784,WS,7298,7056,0,0.0078125,0.0
28,32,32,784,WS,1698,1568,0,0.0078125,0.0
29,768,128,289,WS,15455,2204160,0,0.49653979238754326,0.0
30,800,128,64,WS,4020,508000,0,0.49609375,0.0
31,160,960,49,WS,1084,19200,0,0.019749835418038184,0.0
32,576,576,2704,WS,101707,59086656,0,0.49916789940828404,0.0
33,96,576,196,WS,1687,22464,0,0.01570891514500537,0.0
34,576,64,49284,WS,1784475,168550272,3549312,0.4947887076265455,0.010419202986770555
35,4608,512,25,WS,18466,3898368,0,0.4976470588235294,0.0
36,1024,1,1,WS,2049,0,0,0.0,0.0
37,1440,320,100,WS,11597,3156480,0,0.49818181818181817,0.0
38,16,96,12544,WS,15696,37632,0,0.01171875,0.0
39,928,128,196,WS,13057,1805888,0,0.49642857142857144,0.0
40,480,16,144,WS,4809,133440,0,0.4826388888888889,0.0
41,64,64,196,WS,935,1664,0,0.011054421768707483,0.0
42,2048,512,49,WS,12356,3399680,0,0.49819927971188477,0.0
