,C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
0,144,24,3136,WS,28564,0,0,0.0,0.0
1,256,128,3136,WS,51020,2508544,0,0.260390093537415,0.0
2,1152,384,48,WS,4635,990720,0,0.4976851851851852,0.0
3,768,192,289,WS,15455,2204160,0,0.49653979238754326,0.0
4,128,128,784,WS,6547,12544,0,0.010416666666666666,0.0
5,832,832,25,WS,3366,787072,0,0.4978947368421053,0.0
6,1344,192,187,WS,17532,2495808,0,0.496524064171123,0.0
7,832,128,196,WS,11687,966784,0,0.49404761904761907,0.0
8,1152,32,144,WS,11529,320256,0,0.4826388888888889,0.0
9,147,147,50176,WS,473683,1382976,0,0.01171875,0.0
10,1152,256,100,WS,9258,1373184,0,0.49666666666666665,0.0
11,2304,256,2916,WS,425034,80197632,0,0.4973708276177412,0.0
12,352,128,784,WS,17747,1638208,0,0.49468537414965985,0.0
13,160,128,3136,WS,32108,62720,0,0.010416666666666666,0.0
14,2048,512,49,WS,10288,2398208,0,0.49787414965986393,0.0
15,1280,384,64,WS,6436,1468160,0,0.4978298611111111,0.0
16,928,128,196,WS,13031,1078336,0,0.49404761904761907,0.0
17,800,96,484,WS,25693,2297600,0,0.49449035812672176,0.0
18,32,32,784,WS,1649,0,0,0.0,0.0
19,768,160,289,WS,15436,1760256,0,0.49567474048442905,0.0
20,1440,320,9,WS,2888,204480,0,0.4930555555555556,0.0
21,864,864,1089,WS,62724,37574496,0,0.4991850321395776,0.0
22,1152,1152,12100,WS,894807,751842432,22673664,0.49941919191919193,0.015061218243036426
23,832,384,25,WS,2514,371904,0,0.49666666666666665,0.0
24,480,64,144,WS,4818,271680,0,0.4913194444444444,0.0
25,147,147,47524,WS,448768,1310211,0,0.011721709031226327,0.0
26,832,128,49,WS,4172,240448,0,0.4914965986394558,0.0
27,528,528,144,WS,5388,1819488,0,0.49855324074074076,0.0
28,384,64,196,WS,5402,295680,0,0.49107142857142855,0.0
29,1152,32,25,WS,3458,54144,0,0.47,0.0
30,2048,320,64,WS,10272,2086912,0,0.49755859375,0.0
31,2048,384,64,WS,10276,2349056,0,0.4978298611111111,0.0
32,64,384,196,WS,1013,6656,0,0.01473922902494331,0.0
