DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,S_Tree,RIS,1,52816102,33849088,6008351744,23478569.0,6118495503.0,12016703488,33616408640
AMM,S_Tree,RIS,2,62664792,33849088,3009469440,23478569.0,3129461889.0,9017821184,18053368960
AMM,S_Tree,RIS,4,82001080,33849088,1504734720,23478569.0,1644063457.0,7513086464,10199146816
AMM,S_Tree,RIS,8,138678160,33849088,757660928,23478569.0,953666745.0,6766012672,8211228608
AMM,S_Tree,RIS,16,244832128,33849088,384124032,23478569.0,686283817.0,6392475776,6828459136
AMM,S_Tree,RIS,32,474904384,33849088,192062016,23478569.0,724294057.0,6200413760,6622004608
AMM,S_Tree,RWS,1,52816102,6008351744,22791425,23478569.0,6107437840.0,12016703488,33616408640
AMM,S_Tree,RWS,2,62653912,3007864832,22791425,23478569.0,3116788738.0,9016216576,18050273408
AMM,S_Tree,RWS,4,81983544,1503933440,22791425,23478569.0,1632186978.0,7512285184,10196160320
AMM,S_Tree,RWS,8,138409232,755655680,22791425,23478569.0,940334906.0,6764007424,8184189632
AMM,S_Tree,RWS,16,243346048,381516800,22791425,23478569.0,671132842.0,6389868544,6750818048
AMM,S_Tree,RWS,32,471937984,190759424,22791425,23478569.0,708967402.0,6199111168,6543214400
AMM,S_Tree,ROS,1,52816102,6008351744,72227861,23478569.0,6156874276.0,12016703488,33616408640
AMM,S_Tree,ROS,2,62653912,3007864832,72227861,23478569.0,3166225174.0,12016703488,15049786496
AMM,S_Tree,ROS,4,81983544,1503933440,72227861,23478569.0,1681623414.0,12016703488,5691742016
AMM,S_Tree,ROS,8,138409232,755655680,72227861,23478569.0,989771342.0,12016703488,2931493568
AMM,S_Tree,ROS,16,243346048,381516800,72227861,23478569.0,720569278.0,12016703488,1123983104
AMM,S_Tree,ROS,32,471937984,190759424,72227861,23478569.0,758403838.0,12016703488,725622080
AMM,ST_Tree_Ac,RIS,1,0,33849088,6008351744,23478569.0,6065679401.0,12016703488,33616408640
AMM,ST_Tree_Ac,RIS,2,62664792,33849088,3009469440,23478569.0,3129461889.0,9017821184,18053368960
AMM,ST_Tree_Ac,RIS,4,82001080,33849088,1504734720,23478569.0,1644063457.0,7513086464,10199146816
AMM,ST_Tree_Ac,RIS,8,138678160,33849088,757660928,23478569.0,953666745.0,6766012672,8211228608
