DPU,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,S_Tree,RIS,1,0.002095025,1.11E-10,0.0008943,0.001958311,0.288465549,0.000906953,0.000677746,186.8095877,20.08717187,207.1917575
AMM,S_Tree,RIS,2,0.002838937,7.59E-11,0.000579315,0.001958311,0.144718095,0.000906953,0.000358919,94.24155112,13.03726504,107.4301767
AMM,S_Tree,RIS,4,0.004252177,5.72E-11,0.000414254,0.001958311,0.072359047,0.000906953,0.000189048,47.70834785,9.346401093,57.13482873
AMM,S_Tree,RIS,8,0.007667158,5.13E-11,0.000361586,0.001958311,0.036664844,0.000906953,0.00010923,24.69093117,8.110868436,32.84946769
AMM,S_Tree,RIS,16,0.014503332,4.87E-11,0.000333954,0.001958311,0.018817873,0.000906953,6.38E-05,13.18242641,7.335868802,20.55487947
AMM,S_Tree,RIS,32,0.028373679,4.75E-11,0.000323702,0.001958311,0.009418782,0.000906953,3.82E-05,7.186390784,7.100729305,14.32813977
AMM,S_Tree,RWS,1,0.024976391,2.25E-10,0.000152928,2.391600046,0.004560652,0.011551108,0.000199473,186.3480764,20.08717187,208.8682888
AMM,S_Tree,RWS,2,0.029596926,1.49E-10,0.000120269,1.196025207,0.004560652,0.011551108,0.000107707,93.70459118,13.03726504,107.9838181
AMM,S_Tree,RWS,4,0.037862436,1.09E-10,0.000103257,0.598012689,0.004560652,0.011551108,5.82E-05,47.20924578,9.346401093,57.20779525
AMM,S_Tree,RWS,8,0.06192674,9.64E-11,9.93E-05,0.299231528,0.004560652,0.011551108,3.49E-05,24.13517588,8.110868436,32.62344857
AMM,S_Tree,RWS,16,0.106575991,8.93E-11,9.76E-05,0.149920231,0.004560652,0.011551108,2.05E-05,12.60180522,7.335868802,20.21040015
AMM,S_Tree,RWS,32,0.203232054,8.70E-11,9.68E-05,0.075273813,0.004560652,0.011551108,1.25E-05,6.67537106,7.100729305,14.07082735
AMM,S_Tree,ROS,1,0.008924979,2.25E-10,0.00077489,1.653809512,0.018161052,0.00296889,0.001362185,187.8326337,20.08717187,209.605807
AMM,S_Tree,ROS,2,0.012616372,1.49E-10,0.000511879,0.827468803,0.018161052,0.00296889,0.000677107,95.18914846,13.03726504,109.0888176
AMM,S_Tree,ROS,4,0.019924666,1.09E-10,0.00037417,0.413734488,0.018161052,0.00296889,0.0003364,48.69380307,9.346401093,58.49570383
AMM,S_Tree,ROS,8,0.037501941,9.64E-11,0.000331248,0.207431291,0.018161052,0.00296889,0.000161023,25.61973317,8.110868436,33.99715705
AMM,S_Tree,ROS,16,0.0703083,8.93E-11,0.000306938,0.104282052,0.018161052,0.00296889,8.11E-05,14.0863625,7.335868802,21.61833966
AMM,S_Tree,ROS,32,0.137743882,8.70E-11,0.000299172,0.052204368,0.018161052,0.00296889,3.88E-05,8.159928349,7.100729305,15.47207385
AMM,ST_Tree_Ac,RIS,1,0,1.11E-10,0.0008943,0.001958311,0.288465549,0.000906953,0.000205037,186.8095877,20.08717187,207.1891898
AMM,ST_Tree_Ac,RIS,2,0.002838937,7.59E-11,0.000579315,0.001958311,0.144718095,0.000906953,0.000105381,94.24155112,13.03726504,107.4299231
AMM,ST_Tree_Ac,RIS,4,0.004252177,5.72E-11,0.000414254,0.001958311,0.072359047,0.000906953,5.39E-05,47.70834785,9.346401093,57.13469355
AMM,ST_Tree_Ac,RIS,8,0.007667158,5.13E-11,0.000361586,0.001958311,0.036664844,0.000906953,2.90E-05,24.69093117,8.110868436,32.84938742
AMM,ST_Tree_Ac,RIS,16,0.014503332,4.87E-11,0.000333954,0.001958311,0.018817873,0.000906953,1.57E-05,13.18242641,7.335868802,20.55483131
AMM,ST_Tree_Ac,RIS,32,0.028373679,4.75E-11,0.000323702,0.001958311,0.009418782,0.000906953,8.58E-06,7.186390784,7.100729305,14.3281101
AMM,ST_Tree_Ac,RWS,1,0,2.25E-10,0.000152928,2.391600046,0.004560652,0.011551108,5.84E-05,186.3480764,20.08717187,208.8431713
AMM,ST_Tree_Ac,RWS,2,0.029596926,1.49E-10,0.000120269,1.196025207,0.004560652,0.011551108,3.03E-05,93.70459118,13.03726504,107.9837406
AMM,ST_Tree_Ac,RWS,4,0.037862436,1.09E-10,0.000103257,0.598012689,0.004560652,0.011551108,1.56E-05,47.20924578,9.346401093,57.20775266
AMM,ST_Tree_Ac,RWS,8,0.06192674,9.64E-11,9.93E-05,0.299231528,0.004560652,0.011551108,8.60E-06,24.13517588,8.110868436,32.62342223
AMM,ST_Tree_Ac,RWS,16,0.106575991,8.93E-11,9.76E-05,0.149920231,0.004560652,0.011551108,4.67E-06,12.60180522,7.335868802,20.21038428
AMM,ST_Tree_Ac,RWS,32,0.203232054,8.70E-11,9.68E-05,0.075273813,0.004560652,0.011551108,2.60E-06,6.67537106,7.100729305,14.07081743
AMM,ST_Tree_Ac,ROS,1,0,2.25E-10,0.00077489,1.653809512,0.018161052,0.00296889,0.000450458,187.8326337,20.08717187,209.5959703
AMM,ST_Tree_Ac,ROS,2,0,1.49E-10,0.000511879,0.827468803,0.018161052,0.00296889,0.000241192,95.18914846,13.03726504,109.0757653
AMM,ST_Tree_Ac,ROS,4,0,1.09E-10,0.00037417,0.413734488,0.018161052,0.00296889,0.000126886,48.69380307,9.346401093,58.47556965
AMM,ST_Tree_Ac,ROS,8,0,9.64E-11,0.000331248,0.207431291,0.018161052,0.00296889,7.11E-05,25.61973317,8.110868436,33.95956522
AMM,ST_Tree_Ac,ROS,16,0,8.93E-11,0.000306938,0.104282052,0.018161052,0.00296889,4.20E-05,14.0863625,7.335868802,21.54799223
AMM,ST_Tree_Ac,ROS,32,0,8.70E-11,0.000299172,0.052204368,0.018161052,0.00296889,2.48E-05,8.159928349,7.100729305,15.33431589
AMM,STIFT,RIS,1,0,1.11E-10,0.0008943,0.001958311,0.288465549,0.000906953,0.000165848,186.8095877,20.08717187,207.1891506
AMM,STIFT,RIS,2,0.002838937,7.59E-11,0.000579315,0.001958311,0.144718095,0.000906953,8.52E-05,94.24155112,13.03726504,107.429903
AMM,STIFT,RIS,4,0.004252177,5.72E-11,0.000414254,0.001958311,0.072359047,0.000906953,4.36E-05,47.70834785,9.346401093,57.13468325
AMM,STIFT,RIS,8,0.007667158,5.13E-11,0.000361586,0.001958311,0.036664844,0.000906953,2.34E-05,24.69093117,8.110868436,32.84938188
AMM,STIFT,RIS,16,0.014503332,4.87E-11,0.000333954,0.001958311,0.018817873,0.000906953,1.27E-05,13.18242641,7.335868802,20.55482831
AMM,STIFT,RIS,32,0.028373679,4.75E-11,0.000323702,0.001958311,0.009418782,0.000906953,6.94E-06,7.186390784,7.100729305,14.32810846
AMM,STIFT,RWS,1,0,2.25E-10,0.000152928,2.391600046,0.004560652,0.011551108,4.72E-05,186.3480764,20.08717187,208.8431602
AMM,STIFT,RWS,2,0.029596926,1.49E-10,0.000120269,1.196025207,0.004560652,0.011551108,2.45E-05,93.70459118,13.03726504,107.9837348
AMM,STIFT,RWS,4,0.037862436,1.09E-10,0.000103257,0.598012689,0.004560652,0.011551108,1.27E-05,47.20924578,9.346401093,57.20774967
AMM,STIFT,RWS,8,0.06192674,9.64E-11,9.93E-05,0.299231528,0.004560652,0.011551108,6.96E-06,24.13517588,8.110868436,32.62342059
AMM,STIFT,RWS,16,0.106575991,8.93E-11,9.76E-05,0.149920231,0.004560652,0.011551108,3.78E-06,12.60180522,7.335868802,20.21038339
AMM,STIFT,RWS,32,0.203232054,8.70E-11,9.68E-05,0.075273813,0.004560652,0.011551108,2.10E-06,6.67537106,7.100729305,14.07081694
AMM,STIFT,ROS,1,0,2.25E-10,0.00077489,1.653809512,0.018161052,0.00296889,0.000364361,187.8326337,20.08717187,209.5958842
AMM,STIFT,ROS,2,0,1.49E-10,0.000511879,0.827468803,0.018161052,0.00296889,0.000195093,95.18914846,13.03726504,109.0757192
AMM,STIFT,ROS,4,0,1.09E-10,0.00037417,0.413734488,0.018161052,0.00296889,0.000102634,48.69380307,9.346401093,58.4755454
AMM,STIFT,ROS,8,0,9.64E-11,0.000331248,0.207431291,0.018161052,0.00296889,5.75E-05,25.61973317,8.110868436,33.95955163
AMM,STIFT,ROS,16,0,8.93E-11,0.000306938,0.104282052,0.018161052,0.00296889,3.40E-05,14.0863625,7.335868802,21.5479842
AMM,STIFT,ROS,32,0,8.70E-11,0.000299172,0.052204368,0.018161052,0.00296889,2.00E-05,8.159928349,7.100729305,15.33431116
AMM,PCA,RIS,1,0,1.11E-10,0.0008943,0.001958311,0.288465549,0.000906953,4.78E-19,186.8095877,0.000330259,187.1021431
AMM,PCA,RIS,2,0,7.59E-11,0.000579315,0.001958311,0.144718095,0.000906953,2.39E-19,94.24155112,8.27E-05,94.38979645
AMM,PCA,RIS,4,0,5.72E-11,0.000414254,0.001958311,0.072359047,0.000906953,1.20E-19,47.70834785,2.07E-05,47.78400712
AMM,PCA,RIS,8,0,5.13E-11,0.000361586,0.001958311,0.036664844,0.000906953,5.98E-20,24.69093117,5.20E-06,24.73082807
AMM,PCA,RIS,16,0,4.87E-11,0.000333954,0.001958311,0.018817873,0.000906953,2.99E-20,13.18242641,1.31E-06,13.20444481
AMM,PCA,RIS,32,0,4.75E-11,0.000323702,0.001958311,0.009418782,0.000906953,1.49E-20,7.186390784,3.36E-07,7.198998868
AMM,PCA,RWS,1,0,2.25E-10,0.000152928,2.391600046,0.004560652,0.011551108,1.33E-19,186.3480764,0.000142166,188.7560833
AMM,PCA,RWS,2,0,1.49E-10,0.000120269,1.196025207,0.004560652,0.011551108,6.64E-20,93.70459118,3.56E-05,94.91688405
AMM,PCA,RWS,4,0,1.09E-10,0.000103257,0.598012689,0.004560652,0.011551108,3.32E-20,47.20924578,8.96E-06,47.82348245
AMM,PCA,RWS,8,0,9.64E-11,9.93E-05,0.299231528,0.004560652,0.011551108,1.66E-20,24.13517588,2.26E-06,24.45062072
AMM,PCA,RWS,16,0,8.93E-11,9.76E-05,0.149920231,0.004560652,0.011551108,8.30E-21,12.60180522,5.78E-07,12.76793539
AMM,PCA,RWS,32,0,8.70E-11,9.68E-05,0.075273813,0.004560652,0.011551108,4.15E-21,6.67537106,1.52E-07,6.766853628
AMM,PCA,ROS,1,0,2.25E-11,0.00077489,1.653809512,0.018161052,0.00296889,1.01E-18,187.8326337,0.001416443,189.5097644
AMM,PCA,ROS,2,0,1.49E-11,0.000511879,0.827468803,0.018161052,0.00296889,5.03E-19,95.18914846,0.000359183,96.03861827
AMM,PCA,ROS,4,0,1.09E-11,0.00037417,0.413734488,0.018161052,0.00296889,2.51E-19,48.69380307,9.23E-05,49.12913401
AMM,PCA,ROS,8,0,9.64E-12,0.000331248,0.207431291,0.018161052,0.00296889,1.26E-19,25.61973317,2.45E-05,25.84865011
AMM,PCA,ROS,16,0,8.93E-12,0.000306938,0.104282052,0.018161052,0.00296889,6.28E-20,14.0863625,1.71E-05,14.21209856
AMM,PCA,ROS,32,0,8.70E-12,0.000299172,0.052204368,0.018161052,0.00296889,3.14E-20,8.159928349,7.26E-06,8.233569092
AMM,S_Tree,WS,32,0.201651358,9.42E-11,4.03E-05,0.027633675,0.004560652,0.011551108,0.034755445,3.060844328,7.100729305,10.44176616
AMM,S_Tree,OS,32,0.136286576,9.42E-11,0.000323702,0.018450054,0.052388894,0.00296889,0.034755445,8.358457335,7.100729305,15.7043602
AMM,S_Tree,IS,32,0.027212741,4.75E-11,0.000323702,0.001958311,0.009418782,0.000906953,0.034755445,7.186390784,7.100729305,14.36169602
AMM,ST_Tree_Ac,WS,32,0.201651358,9.42E-11,4.03E-05,0.027633675,0.004560652,0.011551108,0.01368166,3.060844328,7.100729305,10.42069237
