DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,MobileNet_V2,PCA,IS,36,0,6093400,12568240,2252857,20914497,736152776,274040344
MAW,MobileNet_V2,PCA,IS,43,0,6093400,11948874,2252857,20295131,736152776,-129594604
AMW5,MobileNet_V2,PCA,IS,17,0,6093400,24136100,2252857,32482357,736152776,101944912
MAW5,MobileNet_V2,PCA,IS,21,0,6093400,21978517,2252857,30324774,736152776,-217685750
AMW10,MobileNet_V2,PCA,IS,12,0,6093400,34397807,2252857,42744064,736152776,136336888
MAW10,MobileNet_V2,PCA,IS,15,0,6093400,28222318,2252857,36568575,736152776,-255240296
AMM,MobileNet_V2,PCA,OS,36,0,6491672,12568240,2252857,21312769,736152776,274040344
MAW,MobileNet_V2,PCA,OS,43,0,6436792,11948874,2252857,20638523,736152776,-129594604
AMW5,MobileNet_V2,PCA,OS,17,0,6132600,24136100,2252857,32521557,736152776,101944912
MAW5,MobileNet_V2,PCA,OS,21,0,6109080,21978517,2252857,30340454,736152776,-217685750
AMW10,MobileNet_V2,PCA,OS,12,0,6093400,34397807,2252857,42744064,736152776,136336888
MAW10,MobileNet_V2,PCA,OS,15,0,6093400,28222318,2252857,36568575,736152776,-255240296
AMM,MobileNet_V2,PCA,WS,36,0,6491672,7439277,2252857,16183806,736152776,274040344
MAW,MobileNet_V2,PCA,WS,43,0,6436792,7439277,2252857,16128926,736152776,-129594604
AMW5,MobileNet_V2,PCA,WS,17,0,6132600,7439277,2252857,15824734,736152776,101944912
MAW5,MobileNet_V2,PCA,WS,21,0,6109080,7439277,2252857,15801214,736152776,-217685750
AMW10,MobileNet_V2,PCA,WS,12,0,6093400,7439277,2252857,15785534,736152776,136336888
MAW10,MobileNet_V2,PCA,WS,15,0,6093400,7439277,2252857,15785534,736152776,-255240296
AMM,MobileNet_V2,S_Tree,IS,36,23210402,6093400,12568240,2252857,44124899,736152776,274040344
MAW,MobileNet_V2,S_Tree,IS,43,20511942,6093400,11948874,2252857,40807073,736152776,-129594604
AMW5,MobileNet_V2,S_Tree,IS,17,44290408,6093400,24136100,2252857,76772765,736152776,101944912
MAW5,MobileNet_V2,S_Tree,IS,21,38057766,6093400,21978517,2252857,68382540,736152776,-217685750
AMW10,MobileNet_V2,S_Tree,IS,12,65175270,6093400,34397807,2252857,107919334,736152776,136336888
MAW10,MobileNet_V2,S_Tree,IS,15,52602700,6093400,28222318,2252857,89171275,736152776,-255240296
AMM,MobileNet_V2,S_Tree,OS,36,23210402,6491672,12568240,2252857,44523171,736152776,274040344
MAW,MobileNet_V2,S_Tree,OS,43,20511942,6436792,11948874,2252857,41150465,736152776,-129594604
AMW5,MobileNet_V2,S_Tree,OS,17,44290408,6132600,24136100,2252857,76811965,736152776,101944912
MAW5,MobileNet_V2,S_Tree,OS,21,38057766,6109080,21978517,2252857,68398220,736152776,-217685750
AMW10,MobileNet_V2,S_Tree,OS,12,65175270,6093400,34397807,2252857,107919334,736152776,136336888
MAW10,MobileNet_V2,S_Tree,OS,15,52602700,6093400,28222318,2252857,89171275,736152776,-255240296
AMM,MobileNet_V2,S_Tree,WS,36,23210402,6491672,7439277,2252857,39394208,736152776,274040344
MAW,MobileNet_V2,S_Tree,WS,43,20511942,6436792,7439277,2252857,36640868,736152776,-129594604
AMW5,MobileNet_V2,S_Tree,WS,17,44290408,6132600,7439277,2252857,60115142,736152776,101944912
MAW5,MobileNet_V2,S_Tree,WS,21,38057766,6109080,7439277,2252857,53858980,736152776,-217685750
AMW10,MobileNet_V2,S_Tree,WS,12,65175270,6093400,7439277,2252857,80960804,736152776,136336888
MAW10,MobileNet_V2,S_Tree,WS,15,52602700,6093400,7439277,2252857,68388234,736152776,-255240296
HEANA,MobileNet_V2,PCA,OS,73,0,9983608,9723870,2252857,21960335,736152776,812049620
HEANA5,MobileNet_V2,PCA,OS,39,0,6712760,12340877,2252857,21306494,736152776,382941226
HEANA10,MobileNet_V2,PCA,OS,28,0,6294104,15381242,2252857,23928203,736152776,149367384
HEANA,MobileNet_V2,PCA,WS,73,0,9983608,7439277,2252857,19675742,736152776,812049620
HEANA5,MobileNet_V2,PCA,WS,39,0,6712760,7439277,2252857,16404894,736152776,382941226
HEANA10,MobileNet_V2,PCA,WS,28,0,6294104,7439277,2252857,15986238,736152776,149367384
HEANA,MobileNet_V2,PCA,IS,73,0,6093400,9723870,2252857,18070127,736152776,812049620
HEANA5,MobileNet_V2,PCA,IS,39,0,6093400,12340877,2252857,20687134,736152776,382941226
HEANA10,MobileNet_V2,PCA,IS,28,0,6093400,15381242,2252857,23727499,736152776,149367384
