DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,ShuffleNet_V2,PCA,IS,36,0,5976328,26288313,5509729,37774370,1706489864,426290680
MAW,ShuffleNet_V2,PCA,IS,43,0,5976328,22540788,5509729,34026845,1706489864,-535604852
AMW5,ShuffleNet_V2,PCA,IS,17,0,5976328,52863573,5509729,64349630,1706489864,144814658
MAW5,ShuffleNet_V2,PCA,IS,21,0,5976328,45654681,5509729,57140738,1706489864,-617181182
AMW10,ShuffleNet_V2,PCA,IS,12,0,5976328,74560778,5509729,86046835,1706489864,192584728
MAW10,ShuffleNet_V2,PCA,IS,15,0,5976328,58876077,5509729,70362134,1706489864,-692887064
AMM,ShuffleNet_V2,PCA,OS,36,0,8795592,26288313,5509729,40593634,1706489864,426290680
MAW,ShuffleNet_V2,PCA,OS,43,0,6635672,22540788,5509729,34686189,1706489864,-535604852
AMW5,ShuffleNet_V2,PCA,OS,17,0,6021800,52863573,5509729,64395102,1706489864,144814658
MAW5,ShuffleNet_V2,PCA,OS,21,0,5976328,45654681,5509729,57140738,1706489864,-617181182
AMW10,ShuffleNet_V2,PCA,OS,12,0,5976328,74560778,5509729,86046835,1706489864,192584728
MAW10,ShuffleNet_V2,PCA,OS,15,0,5976328,58876077,5509729,70362134,1706489864,-692887064
AMM,ShuffleNet_V2,PCA,WS,36,0,8795592,6481309,5509729,20786630,1706489864,426290680
MAW,ShuffleNet_V2,PCA,WS,43,0,6635672,6481309,5509729,18626710,1706489864,-535604852
AMW5,ShuffleNet_V2,PCA,WS,17,0,6021800,6481309,5509729,18012838,1706489864,144814658
MAW5,ShuffleNet_V2,PCA,WS,21,0,5976328,6481309,5509729,17967366,1706489864,-617181182
AMW10,ShuffleNet_V2,PCA,WS,12,0,5976328,6481309,5509729,17967366,1706489864,192584728
MAW10,ShuffleNet_V2,PCA,WS,15,0,5976328,6481309,5509729,17967366,1706489864,-692887064
AMM,ShuffleNet_V2,S_Tree,IS,36,53881714,5976328,26288313,5509729,91656084,1706489864,426290680
MAW,ShuffleNet_V2,S_Tree,IS,43,47525430,5976328,22540788,5509729,81552275,1706489864,-535604852
AMW5,ShuffleNet_V2,S_Tree,IS,17,103473960,5976328,52863573,5509729,167823590,1706489864,144814658
MAW5,ShuffleNet_V2,S_Tree,IS,21,88606870,5976328,45654681,5509729,145747608,1706489864,-617181182
AMW10,ShuffleNet_V2,S_Tree,IS,12,151211734,5976328,74560778,5509729,237258569,1706489864,192584728
MAW10,ShuffleNet_V2,S_Tree,IS,15,122602412,5976328,58876077,5509729,192964546,1706489864,-692887064
AMM,ShuffleNet_V2,S_Tree,OS,36,53881714,8795592,26288313,5509729,94475348,1706489864,426290680
MAW,ShuffleNet_V2,S_Tree,OS,43,47525430,6635672,22540788,5509729,82211619,1706489864,-535604852
AMW5,ShuffleNet_V2,S_Tree,OS,17,103473960,6021800,52863573,5509729,167869062,1706489864,144814658
MAW5,ShuffleNet_V2,S_Tree,OS,21,88606870,5976328,45654681,5509729,145747608,1706489864,-617181182
AMW10,ShuffleNet_V2,S_Tree,OS,12,151211734,5976328,74560778,5509729,237258569,1706489864,192584728
MAW10,ShuffleNet_V2,S_Tree,OS,15,122602412,5976328,58876077,5509729,192964546,1706489864,-692887064
AMM,ShuffleNet_V2,S_Tree,WS,36,53881714,8795592,6481309,5509729,74668344,1706489864,426290680
MAW,ShuffleNet_V2,S_Tree,WS,43,47525430,6635672,6481309,5509729,66152140,1706489864,-535604852
AMW5,ShuffleNet_V2,S_Tree,WS,17,103473960,6021800,6481309,5509729,121486798,1706489864,144814658
MAW5,ShuffleNet_V2,S_Tree,WS,21,88606870,5976328,6481309,5509729,106574236,1706489864,-617181182
AMW10,ShuffleNet_V2,S_Tree,WS,12,151211734,5976328,6481309,5509729,169179100,1706489864,192584728
MAW10,ShuffleNet_V2,S_Tree,WS,15,122602412,5976328,6481309,5509729,140569778,1706489864,-692887064
HEANA,ShuffleNet_V2,PCA,OS,73,0,19547368,15905003,5509729,40962100,1706489864,907096870
HEANA5,ShuffleNet_V2,PCA,OS,39,0,8841064,23164071,5509729,37514864,1706489864,460652230
HEANA10,ShuffleNet_V2,PCA,OS,28,0,6635672,32873921,5509729,45019322,1706489864,182235128
HEANA,ShuffleNet_V2,PCA,WS,73,0,19547368,6481309,5509729,31538406,1706489864,907096870
HEANA5,ShuffleNet_V2,PCA,WS,39,0,8841064,6481309,5509729,20832102,1706489864,460652230
HEANA10,ShuffleNet_V2,PCA,WS,28,0,6635672,6481309,5509729,18626710,1706489864,182235128
HEANA,ShuffleNet_V2,PCA,IS,73,0,5976328,15905003,5509729,27391060,1706489864,907096870
HEANA5,ShuffleNet_V2,PCA,IS,39,0,5976328,23164071,5509729,34650128,1706489864,460652230
HEANA10,ShuffleNet_V2,PCA,IS,28,0,5976328,32873921,5509729,44359978,1706489864,182235128
