DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,GoogLeNet,S_Tree,WS,36,0.15022920067740778,4.121279999999015e-11,1.959649999999931e-05,0.015419123635239033,0.004560652045437796,0.011551108000138262,0.027466054740774237,5.2534142055017755e-05,0.00021328771400980397,0.20951155749627473
AMM,ResNet50,S_Tree,WS,36,0.41102891422538257,1.0798240000017068e-10,4.907099999999131e-05,0.0452063402517534,0.01153672272663605,0.039124708385074876,0.09181692844367381,0.00013762660022995223,0.0005654747259967262,0.5994657864667299
AMM,ShuffleNet_V2,S_Tree,WS,36,0.43804554404497237,1.2175680000017894e-10,6.987749999999656e-05,0.047592294655593746,0.01253373654233311,0.04417171287850337,0.10586143838732853,0.000156188034944882,0.0006193564400207405,0.6490501486054535
MAW,GoogLeNet,S_Tree,WS,43,0.13300391118119823,2.797119999999422e-11,1.620850000000023e-05,0.014220198992011109,0.004560652045437827,0.011551108000138267,0.026252117525714262,5.0989983974996916e-05,0.00018486893200294718,0.18984005518844882
MAW,ResNet50,S_Tree,WS,43,0.36418255888082207,6.731840000001894e-11,3.775749999999438e-05,0.03779469274810828,0.011536722726635276,0.039124708385074876,0.08435815757853517,0.0001270865432700875,0.0004908779699591159,0.5376525623997233
MAW,ShuffleNet_V2,S_Tree,WS,43,0.38928493170566597,7.555520000004967e-11,5.413099999998994e-05,0.03946400832889283,0.012533736542332405,0.044171712878503584,0.09682013489762899,0.0001430236751850563,0.000538403399950633,0.5830100825037147
HEANA,GoogLeNet,PCA,WS,73,0.0,3.327359999999259e-11,2.582799999999762e-05,0.0510700408043082,0.004560652045437842,0.011551108000138276,0.0,0.00011871020083496959,1.9169873999999996e-05,0.06734550895799288
HEANA,ResNet50,PCA,WS,73,0.0,8.467520000008371e-11,6.49164999999918e-05,0.13719202210460327,0.011536722726635843,0.03912470838507505,0.0,0.00030621102380977644,6.612701200000032e-05,0.18829070783679916
HEANA,ShuffleNet_V2,PCA,WS,73,0.0,9.414880000011906e-11,7.99150000000062e-05,0.1441428934367064,0.012533736542331779,0.04417171287850393,0.0,0.00033783586636479694,7.714647000000075e-05,0.20134324028805572
AMW5,GoogLeNet,S_Tree,WS,17,0.31428663468875573,2.75104000000324e-11,3.830749999999423e-05,0.009952237891383237,0.004560652045437797,0.011551108000138269,0.050426564499714735,4.617434605506618e-05,0.0004929547654867064,0.39135463376448193
AMW5,ResNet50,S_Tree,WS,17,0.8464608405979597,6.811775999990812e-11,8.814300000001411e-05,0.029520798774186483,0.011536722726635475,0.039124708385074855,0.16815264937797972,0.00011651666534978015,0.0012928569010389104,1.0962932364963427
AMW5,ShuffleNet_V2,S_Tree,WS,17,0.8930231816928932,7.587935999999979e-11,0.000128650500000053,0.03052929411189715,0.01253373654233297,0.04417171287850355,0.19292385314920626,0.00013170794278488036,0.0014066782569764791,1.174848815150474
MAW5,GoogLeNet,S_Tree,WS,21,0.25662683571254347,1.7828800000015823e-11,3.1074999999996195e-05,0.00995223789138092,0.0045606520454378316,0.011551108000138269,0.043866940125190323,4.617434605503269e-05,0.00040143408793877236,0.32703645722651337
MAW5,ResNet50,S_Tree,WS,21,0.702161149937839,4.36803199999129e-11,7.08619999999975e-05,0.028614074424394818,0.011536722726634615,0.039124708385074834,0.14845412435724442,0.00011532787046973246,0.001063521179376239,0.9311404909247141
