DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,MobileNet_V2,PCA,IS,36,0.0,9.985599999999742e-12,3.673449999999466e-05,0.0005015949729422287,0.0009758684029971924,0.00024588968476320583,0.0,2.267389260000009e-05,4.505714000000004e-06,0.0017872671772882218
MAW,MobileNet_V2,PCA,IS,43,0.0,8.204800000000289e-12,2.991999999999651e-05,0.0005015949729422448,0.0009318223109299556,0.0002458896847632055,0.0,2.1921362909999543e-05,4.505714000000003e-06,0.0017356540537502023
AMW5,MobileNet_V2,PCA,IS,17,0.0,7.913599999998845e-12,0.00013682350000006086,0.0005015949729422853,0.001846463077976002,0.0002458896847632033,0.0,3.6728842499997174e-05,4.956285400000011e-06,0.0027724563714951484
MAW5,MobileNet_V2,PCA,IS,21,0.0,6.0969599999987115e-12,0.00010505550000003035,0.0005015949729423674,0.0016965287720077304,0.0002458896847632053,0.0,3.410737915500929e-05,4.956285399999973e-06,0.002588132600365303
AMW10,MobileNet_V2,PCA,IS,12,0.0,8.192960000006676e-12,0.0002816330000000152,0.0005015949729423541,0.0026700199069327815,0.0002458896847632074,0.0,4.919681650496102e-05,6.5332852999999985e-06,0.0037548676746362794
MAW10,MobileNet_V2,PCA,IS,15,0.0,5.176800000001512e-12,0.00017795250000010037,0.0005015949729421636,0.0021664438469034967,0.0002458896847632066,0.0,4.169359736998478e-05,6.533285299999935e-06,0.003140107892455752
AMM,MobileNet_V2,PCA,OS,36,0.0,1.0686399999999527e-11,3.673449999999466e-05,0.0011516979524978249,0.003016406437008274,0.0009087043804698226,0.0,2.3157793080000308e-05,4.505714000000009e-06,0.005141206787742316
MAW,MobileNet_V2,PCA,OS,43,0.0,8.704000000000136e-12,2.991999999999651e-05,0.0011195591639632531,0.002866157613616088,0.0009087043804698184,0.0,2.2338584189999583e-05,4.505714000000011e-06,0.0049511854649431555
AMW5,MobileNet_V2,PCA,OS,17,0.0,7.960639999998926e-12,0.00013682350000006086,0.0009538505306602632,0.00587259490948824,0.0009087043804698245,0.0,3.6776470499997397e-05,4.95628540000001e-06,0.007913706084479024
MAW5,MobileNet_V2,PCA,OS,21,0.0,6.112319999998699e-12,0.00010505550000003035,0.000940076764145317,0.005171852365312902,0.0009087043804698279,0.0,3.4126430355009304e-05,4.956285399999973e-06,0.007164771731795407
