DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,ShuffleNet_V2,PCA,IS,36,0.0,9.492799999999893e-12,4.734949999999178e-05,0.0004714084984859851,0.0018383404958792076,0.0005948060324811719,0.0,3.920153881500338e-05,1.101945800000002e-05,0.0030021255331541597
MAW,ShuffleNet_V2,PCA,IS,43,0.0,7.374400000000544e-12,2.8313999999996944e-05,0.0004714084984859872,0.0015864360157093282,0.0005948060324811742,0.0,3.4648295939999155e-05,1.1019458000000058e-05,0.0027266323079908855
AMW5,ShuffleNet_V2,PCA,IS,17,0.0,7.708799999998495e-12,0.00013340250000005757,0.00047140849848605293,0.003702992286114143,0.0005948060324811797,0.0,7.149047971502437e-05,1.2121403800000115e-05,0.0049862212083052575
MAW5,ShuffleNet_V2,PCA,IS,21,0.0,5.88959999999888e-12,0.00010122750000002668,0.00047140849848607125,0.0032134283974472504,0.0005948060324811728,0.0,6.273167593501265e-05,1.212140380000013e-05,0.004455723514039133
AMW10,ShuffleNet_V2,PCA,IS,12,0.0,7.893760000006164e-12,0.00027134800000005603,0.0004714084984860145,0.005236600769018775,0.0005948060324811689,0.0,9.785258379005651e-05,1.5978214099999836e-05,0.0066879941057698305
MAW10,ShuffleNet_V2,PCA,IS,15,0.0,4.70864000000071e-12,0.0001618595000000849,0.0004714084984861195,0.0041076998929007146,0.0005948060324811669,0.0,7.879567207501603e-05,1.5978214099999792e-05,0.005430547814751742
AMM,ShuffleNet_V2,PCA,OS,36,0.0,1.3774399999998578e-11,4.734949999999178e-05,0.0010748241052771898,0.003107874110659897,0.0011527086699888761,0.0,4.262694457500654e-05,1.1019457999999926e-05,0.0054364028022753615
MAW,ShuffleNet_V2,PCA,OS,43,0.0,8.23680000000028e-12,2.8313999999996944e-05,0.0008869064771060163,0.0026811866550340018,0.0011527086699888766,0.0,3.5449398899998725e-05,1.1019458000000027e-05,0.00479558466726569
AMW5,ShuffleNet_V2,PCA,OS,17,0.0,7.761599999998585e-12,0.00013340250000005757,0.0007970576394346879,0.006265808435998844,0.0011527086699888703,0.0,7.154572819502429e-05,1.2121403800000115e-05,0.008432644385179084
MAW5,ShuffleNet_V2,PCA,OS,21,0.0,5.88959999999888e-12,0.00010122750000002668,0.0007704283575059328,0.005428347651113727,0.001152708669988879,0.0,6.273167593501264e-05,1.212140380000013e-05,0.007527565264233179
AMW10,ShuffleNet_V2,PCA,OS,12,0.0,7.893760000006164e-12,0.00027134800000005603,0.0007704283575057543,0.00883443086381246,0.0011527086699888638,0.0,9.785258379005651e-05,1.5978214099999836e-05,0.01114274669709095
MAW10,ShuffleNet_V2,PCA,OS,15,0.0,4.70864000000071e-12,0.0001618595000000849,0.000770428357505856,0.006941936439561193,0.0011527086699888896,0.0,7.879567207501603e-05,1.5978214099999792e-05,0.00912170685793968
AMM,ShuffleNet_V2,PCA,WS,36,0.0,1.3774399999998578e-11,2.080649999999898e-05,0.0023859544038390464,0.0009970138156961933,0.005047004493428626,0.0,1.8561434715000532e-05,1.1019458000000009e-05,0.008480360119453266
MAW,ShuffleNet_V2,PCA,WS,43,0.0,8.23680000000028e-12,1.6373500000000185e-05,0.0016693155807896644,0.0009970138156962008,0.005047004493428626,0.0,1.5937131914999394e-05,1.1019457999999999e-05,0.007756663988066291
AMW5,ShuffleNet_V2,PCA,WS,17,0.0,7.761599999998585e-12,4.0507499999993635e-05,0.0010084953377069777,0.0009970138156962063,0.005047004493428629,0.0,1.5191277434995783e-05,1.2121403799999997e-05,0.007120333835828402
MAW5,ShuffleNet_V2,PCA,WS,21,0.0,5.88959999999888e-12,3.285149999999571e-05,0.000959554192731607,0.0009970138156961666,0.005047004493428629,0.0,1.5136028954996031e-05,1.2121403799999998e-05,0.007063681440500994
AMW10,ShuffleNet_V2,PCA,WS,12,0.0,7.893760000006164e-12,5.7348499999989065e-05,0.0009595541927318426,0.0009970138156962052,0.005047004493428629,0.0,1.5136028954987893e-05,1.5978214100000002e-05,0.007092035252805413
MAW10,ShuffleNet_V2,PCA,WS,15,0.0,4.70864000000071e-12,4.5963499999992154e-05,0.0009595541927317253,0.0009970138156962123,0.005047004493428629,0.0,1.5136028955007089e-05,1.5978214100000002e-05,0.0070806502496202055
AMM,ShuffleNet_V2,S_Tree,IS,36,0.004751560862413563,9.492799999999893e-12,4.734949999999178e-05,0.0004714084984859851,0.0018383404958792076,0.0005948060324811719,0.01404450994365466,3.920153881500338e-05,5.3881713999209035e-05,0.02184105859522159
MAW,ShuffleNet_V2,S_Tree,IS,43,0.004200102057328437,7.374400000000544e-12,2.8313999999996944e-05,0.0004714084984859872,0.0015864360157093282,0.0005948060324811742,0.012461977319093953,3.4648295939999155e-05,4.752543000012256e-05,0.019425217656413397
AMW5,ShuffleNet_V2,S_Tree,IS,17,0.009092780441896361,7.708799999998495e-12,0.00013340250000005757,0.00047140849848605293,0.003702992286114143,0.0005948060324811797,0.024771203771226474,7.149047971502437e-05,0.00011382135599308783,0.038951905373621185
MAW5,ShuffleNet_V2,S_Tree,IS,21,0.0078027753061634866,5.88959999999888e-12,0.00010122750000002668,0.00047140849848607125,0.0032134283974472504,0.0005948060324811728,0.022524744363222975,6.273167593501265e-05,9.746755700342276e-05,0.03486858933662902
AMW10,ShuffleNet_V2,S_Tree,IS,12,0.013315709557327016,7.893760000006164e-12,0.00027134800000005603,0.0004714084984860145,0.005236600769018775,0.0005948060324811689,0.03431477412620234,9.785258379005651e-05,0.0002192570143327114,0.0545217565895319
MAW10,ShuffleNet_V2,S_Tree,IS,15,0.01079045318711846,4.70864000000071e-12,0.0001618595000000849,0.0004714084984861195,0.0041076998929007146,0.0005948060324811669,0.029410894201832398,7.879567207501603e-05,0.0001777734973910661,0.045793690486993666
AMM,ShuffleNet_V2,S_Tree,OS,36,0.007832368959537704,1.3774399999998578e-11,4.734949999999178e-05,0.0010748241052771898,0.003107874110659897,0.0011527086699888761,0.01404450994365465,4.262694457500654e-05,5.3881713999209035e-05,0.027356143961466926
MAW,ShuffleNet_V2,S_Tree,OS,43,0.007129754142758829,8.23680000000028e-12,2.8313999999996944e-05,0.0008869064771060163,0.0026811866550340018,0.0011527086699888766,0.012461977319093952,3.5449398899998725e-05,4.752543000012256e-05,0.02442382210111859
