DPU,CNNModel,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,GoogLeNet,S_Tree,WS,17,9.388667390905996e-08,2.099580000002178e-05,0.030136000000002702,2.3989764276520895,0.13052569857970434,0.042295407353769764,0.07940500858789878,0.14325728551055314,2.824616917370692
AMM,ResNet50,S_Tree,WS,17,2.4800877834188015e-07,5.546200000009735e-05,0.07517599999999257,6.444102693691017,0.3772605666322535,0.1075163348790219,0.2692222457089867,0.47770639027835177,7.7510399411984015
AMM,ShuffleNet_V2,S_Tree,WS,17,2.788204996343579e-07,6.235240000011246e-05,0.10689200000002429,6.819443934971773,0.4002018357784724,0.1188820400309593,0.3045126626952725,0.5480791282647903,8.298074232961792
AMM,GoogLeNet,S_Tree,WS,21,7.056408651598108e-08,1.3039200000004334e-05,0.023888000000001873,1.9583257209963212,0.12099459991649222,0.042295407353770145,0.07940500858789878,0.124621988992018,2.3495438356105884
AMM,ResNet50,S_Tree,WS,21,1.7411998978744885e-07,3.217480000004629e-05,0.05575199999998485,5.341183684250758,0.31782126109904424,0.107516334879016,0.26922224570898656,0.4217446714694444,6.513272546327224
AMM,ShuffleNet_V2,S_Tree,WS,21,1.9604706857660327e-07,3.6226600000055175e-05,0.07993199999999732,5.681029204835998,0.3341775349948041,0.11888204003094113,0.3045126626952731,0.4857354225013271,7.004305287705409
HEANA,GoogLeNet,PCA,WS,39,1.1512368703782258e-07,1.1940200000001924e-05,0.03469200000000032,0.0,0.4245135653105847,0.04229540735376975,0.0794050085878989,0.0,0.5809180365759407
HEANA,ResNet50,PCA,WS,39,3.0607153946708214e-07,3.174460000004535e-05,0.08835200000000575,0.0,1.1346732198343763,0.10751633487900988,0.2692222457089873,0.0,1.5997958510939185
HEANA,ShuffleNet_V2,PCA,WS,39,3.376673521355136e-07,3.502160000005253e-05,0.10912800000002652,0.0,1.197653638611893,0.11888204003093204,0.3045126626952704,0.0,1.730211700605474
AMM,GoogLeNet,S_Tree,IS,17,9.388667390905996e-08,1.7194000000013442e-05,0.4199160000003373,0.5348299243268883,0.029245235884923757,0.2695865352895307,0.010218003293905159,0.14325728551055253,1.4070702721928117
AMM,ResNet50,S_Tree,IS,17,2.4800877834188015e-07,4.164740000006706e-05,1.1092399999979945,1.3869063030303301,0.07015293061668088,0.6971364763630903,0.03708856316884672,0.4777063902783243,3.778272558864045
AMM,ShuffleNet_V2,S_Tree,IS,17,2.788204996343579e-07,4.6465400000077626e-05,1.2470479999943074,1.50495092236596,0.07737331842708704,0.7576068756952935,0.043439690158973226,0.5480791282647761,4.178544679126897
AMM,GoogLeNet,S_Tree,IS,21,7.056408651598108e-08,1.1143000000000176e-05,0.26078400000017815,0.4351773135066931,0.02924523588493422,0.2157865350014522,0.010218003293904808,0.12462198899201853,1.0758442902432674
AMM,ResNet50,S_Tree,IS,21,1.7411998978744885e-07,2.715720000003529e-05,0.6434960000005608,1.140405415656306,0.07015293061671315,0.5615855625735309,0.03708856316884637,0.42174467146944433,2.8745004748053913
AMM,ShuffleNet_V2,S_Tree,IS,21,1.9604706857660327e-07,3.083820000004336e-05,0.7245320000006419,1.241602338871137,0.07737331842707258,0.6139218550141798,0.0434396901589736,0.4857354225013247,3.186635659220398
HEANA,GoogLeNet,PCA,IS,39,1.1512368703782258e-07,3.3996000000002313e-06,0.2388040000001562,0.0,0.02924523588493019,0.11943340770382113,0.010218003293905022,0.0,0.3977041616064996
HEANA,ResNet50,PCA,IS,39,3.0607153946708214e-07,8.24899999999383e-06,0.6348920000005522,0.0,0.07015293061669381,0.3105441131657902,0.03708856316884707,0.0,1.0526861620234227
HEANA,ShuffleNet_V2,PCA,IS,39,3.376673521355136e-07,9.285599999996103e-06,0.7004320000006178,0.0,0.07737331842704225,0.33710060524995195,0.04343969015897521,0.0,1.1583552371039394
AMM,GoogLeNet,S_Tree,OS,17,9.388667390905996e-08,2.099580000002178e-05,0.4199160000003373,1.720494845510052,0.09061772061292522,0.858933891454747,0.023620590589377977,0.14325728551055267,3.256861423364666
