DPU,CNNModel,reduction_network,dataflow,cluster_count,datarate,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,MobileNet_V2,PCA,IS,36,1,1.19E-08,6.24E-06,0.026716,0,0.007514308,0.015071662,0.002614321,0,0.051922544
MAW,MobileNet_V2,PCA,IS,43,1,1.15E-08,5.13E-06,0.02176,0,0.007514308,0.014358363,0.002614321,0,0.046252132
AMW5,MobileNet_V2,PCA,IS,17,5,2.22E-08,4.95E-06,0.099508,0,0.007514308,0.028742832,0.002614321,0,0.138384429
MAW5,MobileNet_V2,PCA,IS,21,5,2.07E-08,3.81E-06,0.076404,0,0.007514308,0.026283517,0.002614321,0,0.112819978
AMW10,MobileNet_V2,PCA,IS,12,10,3.38E-08,5.12E-06,0.204824,0,0.007514308,0.041243426,0.002614321,0,0.25620121
MAW10,MobileNet_V2,PCA,IS,15,10,2.59E-08,3.24E-06,0.12942,0,0.007514308,0.033662646,0.002614321,0,0.173214537
AMM,MobileNet_V2,PCA,OS,36,1,1.19E-08,6.68E-06,0.026716,0,0.012497992,0.029921701,0.006922617,0,0.076065002
MAW,MobileNet_V2,PCA,OS,43,1,1.15E-08,5.44E-06,0.02176,0,0.012229301,0.028435512,0.006922617,0,0.069352882
AMW5,MobileNet_V2,PCA,OS,17,5,2.22E-08,4.98E-06,0.099508,0,0.010830461,0.058043054,0.006922617,0,0.175309129
MAW5,MobileNet_V2,PCA,OS,21,5,2.07E-08,3.82E-06,0.076404,0,0.010715307,0.051575226,0.006922617,0,0.145620991
AMW10,MobileNet_V2,PCA,OS,12,10,3.38E-08,5.12E-06,0.204824,0,0.010638539,0.081690632,0.006922617,0,0.304080942
MAW10,MobileNet_V2,PCA,OS,15,10,2.59E-08,3.24E-06,0.12942,0,0.010638539,0.067577676,0.006922617,0,0.214562093
AMM,MobileNet_V2,PCA,WS,36,1,1.19E-08,6.68E-06,0.019032,0,0.013425042,0.009647179,0.012376348,0,0.05448726
MAW,MobileNet_V2,PCA,WS,43,1,1.15E-08,5.44E-06,0.01594,0,0.013131834,0.009647179,0.012376348,0,0.051100813
AMW5,MobileNet_V2,PCA,WS,17,5,2.22E-08,4.98E-06,0.03938,0,0.012097503,0.009647179,0.012376348,0,0.073506028
MAW5,MobileNet_V2,PCA,WS,21,5,2.07E-08,3.82E-06,0.031908,0,0.012069818,0.009647179,0.012376348,0,0.066005186
AMW10,MobileNet_V2,PCA,WS,12,10,3.38E-08,5.12E-06,0.055724,0,0.011937057,0.009647179,0.012376348,0,0.089689738
MAW10,MobileNet_V2,PCA,WS,15,10,2.59E-08,3.24E-06,0.044636,0,0.011937057,0.009647179,0.012376348,0,0.078599845
AMM,MobileNet_V2,S_Tree,IS,36,1,1.19E-08,6.24E-06,0.026716,0.027486814,0.007514308,0.015071662,0.002614321,0.013004545,0.092413903
MAW,MobileNet_V2,S_Tree,IS,43,1,1.15E-08,5.13E-06,0.02176,0.024282379,0.007514308,0.014358363,0.002614321,0.01172077,0.082255281
AMW5,MobileNet_V2,S_Tree,IS,17,5,2.22E-08,4.95E-06,0.099508,0.052535319,0.007514308,0.028742832,0.002614321,0.023481902,0.21440165
MAW5,MobileNet_V2,S_Tree,IS,21,5,2.07E-08,3.81E-06,0.076404,0.04510229,0.007514308,0.026283517,0.002614321,0.021663758,0.179586025
AMW10,MobileNet_V2,S_Tree,IS,12,10,3.38E-08,5.12E-06,0.204824,0.077287917,0.007514308,0.041243426,0.002614321,0.034639435,0.368128562
MAW10,MobileNet_V2,S_Tree,IS,15,10,2.59E-08,3.24E-06,0.12942,0.062346863,0.007514308,0.033662646,0.002614321,0.028964702,0.264526102
AMM,MobileNet_V2,S_Tree,OS,36,1,1.19E-08,6.68E-06,0.026716,0.058332023,0.012497992,0.029921701,0.006922617,0.013004545,0.147401569
MAW,MobileNet_V2,S_Tree,OS,43,1,1.15E-08,5.44E-06,0.02176,0.052173495,0.012229301,0.028435512,0.006922617,0.01172077,0.133247147
AMW5,MobileNet_V2,S_Tree,OS,17,5,2.22E-08,4.98E-06,0.099508,0.108380615,0.010830461,0.058043054,0.006922617,0.023481902,0.307171646
MAW5,MobileNet_V2,S_Tree,OS,21,5,2.07E-08,3.82E-06,0.076404,0.094605732,0.010715307,0.051575226,0.006922617,0.021663758,0.261890482
AMW10,MobileNet_V2,S_Tree,OS,12,10,3.38E-08,5.12E-06,0.204824,0.161227719,0.010638539,0.081690632,0.006922617,0.034639435,0.499948096
MAW10,MobileNet_V2,S_Tree,OS,15,10,2.59E-08,3.24E-06,0.12942,0.130350682,0.010638539,0.067577676,0.006922617,0.028964702,0.373877477
AMM,MobileNet_V2,S_Tree,WS,36,1,1.19E-08,6.68E-06,0.019032,0.078190672,0.013425042,0.009647179,0.012376348,0.013004545,0.145682477
MAW,MobileNet_V2,S_Tree,WS,43,1,1.15E-08,5.44E-06,0.01594,0.071954389,0.013131834,0.009647179,0.012376348,0.01172077,0.134775972
AMW5,MobileNet_V2,S_Tree,WS,17,5,2.22E-08,4.98E-06,0.03938,0.137510317,0.012097503,0.009647179,0.012376348,0.023481902,0.234498247
MAW5,MobileNet_V2,S_Tree,WS,21,5,2.07E-08,3.82E-06,0.031908,0.124119794,0.012069818,0.009647179,0.012376348,0.021663758,0.211788738
