DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,GoogLeNet,S_Tree,WS,17,448140696,28879160,14358817,9584937,500963610,7470198920,333311454
AMM,ResNet50,S_Tree,WS,17,1175324456,76122680,37150242,33063506,1321660884,19486902408,1057809344
AMM,ShuffleNet_V2,S_Tree,WS,17,1278798416,84918272,43631551,38573235,1445921474,21193392272,1202624002
AMM,GoogLeNet,S_Tree,WS,21,364940080,27608248,14358817,9584937,416492082,7470198920,-3393772874
AMM,ResNet50,S_Tree,WS,21,966837436,67447736,37150242,33063506,1104498920,19486902408,-8580556650
AMM,ShuffleNet_V2,S_Tree,WS,21,1055444306,74083408,43631551,38573235,1211732500,21193392272,-9197737832
HEANA,GoogLeNet,PCA,WS,39,0,83345052,14358817,9584937,107288806,7470198920,651895450
HEANA,ResNet50,PCA,WS,39,0,214875292,37150242,33063506,285089040,19486902408,2518420620
HEANA,ShuffleNet_V2,PCA,WS,39,0,234422660,43631551,38573235,316627446,21193392272,2979072850
AMM,GoogLeNet,S_Tree,IS,17,448140696,23644760,225098107,9584937,706468500,7470198920,333311454
AMM,ResNet50,S_Tree,IS,17,1175324456,57493848,589532148,33063506,1855413958,19486902408,1057809344
AMM,ShuffleNet_V2,S_Tree,IS,17,1278798416,63470176,642395721,38573235,2023237548,21193392272,1202624002
AMM,GoogLeNet,S_Tree,IS,21,364940080,23644760,180611701,9584937,578781478,7470198920,-3393772874
AMM,ResNet50,S_Tree,IS,21,966837436,57493848,476002007,33063506,1533396797,19486902408,-8580556650
AMM,ShuffleNet_V2,S_Tree,IS,21,1055444306,63470176,521656688,38573235,1679144405,21193392272,-9197737832
HEANA,GoogLeNet,PCA,IS,39,0,23644760,99698333,9584937,132928030,7470198920,651895450
HEANA,ResNet50,PCA,IS,39,0,57493848,262663634,33063506,353220988,19486902408,2518420620
HEANA,ShuffleNet_V2,PCA,IS,39,0,63470176,285827705,38573235,387871116,21193392272,2979072850
AMM,GoogLeNet,S_Tree,OS,17,448140696,28879160,225098107,9584937,711702900,7470198920,333311454
AMM,ResNet50,S_Tree,OS,17,1175324456,76122680,589532148,33063506,1874042790,19486902408,1057809344
AMM,ShuffleNet_V2,S_Tree,OS,17,1278798416,84918272,642395721,38573235,2044685644,21193392272,1202624002
AMM,GoogLeNet,S_Tree,OS,21,364940080,27608248,180611701,9584937,582744966,7470198920,-3393772874
AMM,ResNet50,S_Tree,OS,21,966837436,67447736,476002007,33063506,1543350685,19486902408,-8580556650
AMM,ShuffleNet_V2,S_Tree,OS,21,1055444306,74083408,521656688,38573235,1689757637,21193392272,-9197737832
HEANA,GoogLeNet,PCA,OS,39,0,83345052,99698333,9584937,192628322,7470198920,651895450
HEANA,ResNet50,PCA,OS,39,0,214875292,262663634,33063506,510602432,19486902408,2518420620
HEANA,ShuffleNet_V2,PCA,OS,39,0,234422660,285827705,38573235,558823600,21193392272,2979072850
