DPU,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency,total_energy,edp
AMM,S_Tree,RIS,1,9.25E-08,1.91E-05,0.271152,0.012950497,0.007220388,0.973666648,0.006351127,0.000601131,1.271960968,51.68221623,65.73776177
AMM,S_Tree,RIS,2,5.19E-08,1.23E-05,0.152064,0.013886968,0.007220388,0.48849763,0.006351127,0.000316306,0.668348751,26.37291298,17.62630344
AMM,S_Tree,RIS,4,3.14E-08,8.80E-06,0.092168,0.015730787,0.007220388,0.244248815,0.006351127,0.000167193,0.365895142,13.65334288,4.995691836
AMM,S_Tree,RIS,8,2.59E-08,8.41E-06,0.075912,0.023974077,0.007220388,0.124290091,0.006351127,0.000101799,0.237857919,7.755078164,1.84460675
AMM,S_Tree,RIS,16,2.31E-08,8.08E-06,0.067616,0.040616611,0.007220388,0.064021449,0.006351127,6.19E-05,0.185895574,4.775848644,0.887809124
AMM,S_Tree,RIS,40,1.96E-08,7.20E-06,0.057372,0.084095743,0.007220388,0.026556491,0.006351127,3.47E-05,0.181637715,3.142721758,0.570836799
AMM,S_Tree,RWS,1,9.17E-08,6.72E-05,0.075244,0.070793406,3.074323391,0.011365705,0.035290417,0.000582216,3.267666471,52.0090895,169.948358
AMM,S_Tree,RWS,2,5.17E-08,3.79E-05,0.04966,0.071687383,1.537891286,0.011365705,0.035290417,0.000309276,1.706242031,26.5261434,45.26002079
AMM,S_Tree,RWS,4,3.16E-08,2.32E-05,0.036496,0.073454933,0.768946087,0.011365705,0.035290417,0.000164983,0.92574131,13.74921335,12.72821478
AMM,S_Tree,RWS,8,2.59E-08,1.90E-05,0.034616,0.090918019,0.385797371,0.011365705,0.035290417,0.000101501,0.558108059,7.798354057,4.352324245
AMM,S_Tree,RWS,16,2.37E-08,1.74E-05,0.035284,0.126341916,0.195149281,0.011365705,0.035290417,6.22E-05,0.403510966,4.837094701,1.951820756
AMM,S_Tree,RWS,40,1.99E-08,1.46E-05,0.03084,0.260021269,0.080347209,0.011365705,0.035290417,3.49E-05,0.417914136,3.196702279,1.335947072
AMM,S_Tree,ROS,1,9.17E-08,6.72E-05,0.26898,0.020306311,1.272554492,0.020134081,0.009977494,0.002382915,1.59440263,52.08158799,83.03902085
AMM,S_Tree,ROS,2,5.17E-08,3.79E-05,0.151652,0.021555124,0.637486121,0.020134081,0.009977494,0.001185717,0.842028502,26.7220981,22.50076823
AMM,S_Tree,ROS,4,3.16E-08,2.32E-05,0.092616,0.024019302,0.318743504,0.020134081,0.009977494,0.000591142,0.46610471,14.00691009,6.528686759
AMM,S_Tree,ROS,8,2.59E-08,1.90E-05,0.07608,0.033497521,0.161425378,0.020134081,0.009977494,0.000286967,0.301420487,8.085814387,2.437230112
AMM,S_Tree,ROS,16,2.37E-08,1.74E-05,0.06954,0.053121614,0.083792255,0.020134081,0.009977494,0.000141047,0.2367239,5.137736026,1.216224911
AMM,S_Tree,ROS,40,1.99E-08,1.46E-05,0.058336,0.109220212,0.034501519,0.020134081,0.009977494,6.03E-05,0.232244204,3.495019462,0.811698014
AMM,ST_Tree_Ac,RIS,1,9.25E-08,1.91E-05,0.271152,0,0.007220388,0.973666648,0.006351127,9.93E-05,1.258508603,51.68106114,65.04106004
AMM,ST_Tree_Ac,RIS,2,5.19E-08,1.23E-05,0.152064,0.013886968,0.007220388,0.48849763,0.006351127,5.09E-05,0.668083341,26.37283493,17.61925168
AMM,ST_Tree_Ac,RIS,4,3.14E-08,8.80E-06,0.092168,0.015730787,0.007220388,0.244248815,0.006351127,2.61E-05,0.365754024,13.65330108,4.993749808
AMM,ST_Tree_Ac,RIS,8,2.59E-08,8.41E-06,0.075912,0.023974077,0.007220388,0.124290091,0.006351127,1.45E-05,0.237770573,7.755051783,1.843923105
AMM,ST_Tree_Ac,RIS,16,2.31E-08,8.08E-06,0.067616,0.040616611,0.007220388,0.064021449,0.006351127,8.04E-06,0.18584172,4.775832117,0.887548857
AMM,ST_Tree_Ac,RIS,40,1.96E-08,7.20E-06,0.057372,0.084095743,0.007220388,0.026556491,0.006351127,3.89E-06,0.181606866,3.142712075,0.57073809
AMM,ST_Tree_Ac,RWS,1,9.17E-08,6.72E-05,0.075244,0,3.074323391,0.011365705,0.035290417,9.56E-05,3.196386463,51.99951514,166.2105463
AMM,ST_Tree_Ac,RWS,2,5.17E-08,3.79E-05,0.04966,0.071687383,1.537891286,0.011365705,0.035290417,4.92E-05,1.705981994,26.52606674,45.25299223
AMM,ST_Tree_Ac,RWS,4,3.16E-08,2.32E-05,0.036496,0.073454933,0.768946087,0.011365705,0.035290417,2.53E-05,0.925601653,13.74917184,12.72625618
AMM,ST_Tree_Ac,RWS,8,2.59E-08,1.90E-05,0.034616,0.090918019,0.385797371,0.011365705,0.035290417,1.41E-05,0.558020687,7.798327569,4.351628111
AMM,ST_Tree_Ac,RWS,16,2.37E-08,1.74E-05,0.035284,0.126341916,0.195149281,0.011365705,0.035290417,7.91E-06,0.403456634,4.837077964,1.951551193
AMM,ST_Tree_Ac,RWS,40,1.99E-08,1.46E-05,0.03084,0.260021269,0.080347209,0.011365705,0.035290417,3.83E-06,0.417883033,3.196692487,1.33584355
AMM,ST_Tree_Ac,ROS,1,9.17E-08,6.72E-05,0.26898,0,1.272554492,0.020134081,0.009977494,0.000399553,1.572112956,52.07893089,81.87396199
AMM,ST_Tree_Ac,ROS,2,5.17E-08,3.79E-05,0.151652,0,0.637486121,0.020134081,0.009977494,0.000208921,0.819496582,26.71961943,21.89663679
AMM,ST_Tree_Ac,ROS,4,3.16E-08,2.32E-05,0.092616,0,0.318743504,0.020134081,0.009977494,0.000110161,0.441604426,14.00434291,6.184379813
AMM,ST_Tree_Ac,ROS,8,2.59E-08,1.90E-05,0.07608,0,0.161425378,0.020134081,0.009977494,6.81E-05,0.267704145,8.082508171,2.163720937
AMM,ST_Tree_Ac,ROS,16,2.37E-08,1.74E-05,0.06954,0,0.083792255,0.020134081,0.009977494,4.15E-05,0.183502746,5.13276441,0.941876362
AMM,ST_Tree_Ac,ROS,40,1.99E-08,1.46E-05,0.058336,0,0.034501519,0.020134081,0.009977494,2.49E-05,0.122988628,3.484816559,0.428592808
AMM,STIFT,RIS,1,9.25E-08,1.91E-05,0.271152,0,0.007220388,0.973666648,0.006351127,9.93E-05,1.258508603,51.68104874,65.04104442
AMM,STIFT,RIS,2,5.19E-08,1.23E-05,0.152064,0.013886968,0.007220388,0.48849763,0.006351127,5.09E-05,0.668083341,26.37282857,17.61924743
AMM,STIFT,RIS,4,3.14E-08,8.80E-06,0.092168,0.015730787,0.007220388,0.244248815,0.006351127,2.61E-05,0.365754024,13.65329782,4.993748616
AMM,STIFT,RIS,8,2.59E-08,8.41E-06,0.075912,0.023974077,0.007220388,0.124290091,0.006351127,1.45E-05,0.237770573,7.755049976,1.843922676
