DPU,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,S_Tree,RIS,1,2.22E-07,6.92E-05,0.6504,0.027960979,0.029245236,4.467811326,0.010218003,0.001925415,5.187630334
AMM,S_Tree,RIS,2,1.44E-07,4.75E-05,0.42132,0.037140688,0.029245236,2.240616922,0.010218003,0.001019657,2.739608103
AMM,S_Tree,RIS,4,1.03E-07,3.58E-05,0.301276,0.054514075,0.029245236,1.120308461,0.010218003,0.00053707,1.516134705
AMM,S_Tree,RIS,8,8.97E-08,3.21E-05,0.262972,0.096999345,0.029245236,0.566865489,0.010218003,0.000310311,0.966642559
AMM,S_Tree,RIS,16,8.28E-08,3.04E-05,0.242876,0.181512024,0.029245236,0.290147555,0.010218003,0.000181359,0.754210707
AMM,S_Tree,RIS,32,8.03E-08,2.97E-05,0.23542,0.353808793,0.029245236,0.145242465,0.010218003,0.000108661,0.774072951
AMM,S_Tree,RWS,1,1.92E-07,0.000140889,0.11122,0.185083132,19.77339778,0.042295407,0.079405009,0.000566684,20.19210909
AMM,S_Tree,RWS,2,1.27E-07,9.31E-05,0.087468,0.220881054,9.890554361,0.042295407,0.079405009,0.000305986,10.32100301
AMM,S_Tree,RWS,4,9.28E-08,6.80E-05,0.075096,0.28531171,4.945279511,0.042295407,0.079405009,0.000165438,5.427621199
AMM,S_Tree,RWS,8,8.22E-08,6.02E-05,0.072208,0.469478745,2.476495227,0.042295407,0.079405009,9.92E-05,3.140041935
AMM,S_Tree,RWS,16,7.61E-08,5.58E-05,0.070988,0.813081212,1.242726816,0.042295407,0.079405009,5.83E-05,2.248610672
AMM,S_Tree,RWS,32,7.42E-08,5.44E-05,0.070432,1.553460002,0.623871567,0.042295407,0.079405009,3.55E-05,2.369553991
AMM,S_Tree,ROS,1,1.92E-07,0.000140889,0.563556,0.074861026,14.40411835,0.160213865,0.023620591,0.003869843,15.23038075
AMM,S_Tree,ROS,2,1.27E-07,9.31E-05,0.372276,0.104278694,7.208380726,0.160213865,0.023620591,0.0019236,7.870786672
AMM,S_Tree,ROS,4,9.28E-08,6.80E-05,0.272124,0.162136324,3.604192693,0.160213865,0.023620591,0.000955682,4.223311279
AMM,S_Tree,ROS,8,8.22E-08,6.02E-05,0.240908,0.301758116,1.808417898,0.160213865,0.023620591,0.000457453,2.535436233
AMM,S_Tree,ROS,16,7.61E-08,5.58E-05,0.223228,0.56403761,0.910594423,0.160213865,0.023620591,0.000230449,1.881980821
AMM,S_Tree,ROS,32,7.42E-08,5.44E-05,0.21758,1.103764698,0.455983407,0.160213865,0.023620591,0.000110314,1.961327345
AMM,ST_Tree_Ac,RIS,1,2.22E-07,6.92E-05,0.6504,0,0.029245236,4.467811326,0.010218003,0.000313512,5.158057451
AMM,ST_Tree_Ac,RIS,2,1.44E-07,4.75E-05,0.42132,0.037140688,0.029245236,2.240616922,0.010218003,0.000161133,2.738749579
AMM,ST_Tree_Ac,RIS,4,1.03E-07,3.58E-05,0.301276,0.054514075,0.029245236,1.120308461,0.010218003,8.24E-05,1.515680004
AMM,ST_Tree_Ac,RIS,8,8.97E-08,3.21E-05,0.262972,0.096999345,0.029245236,0.566865489,0.010218003,4.43E-05,0.966376519
AMM,ST_Tree_Ac,RIS,16,8.28E-08,3.04E-05,0.242876,0.181512024,0.029245236,0.290147555,0.010218003,2.40E-05,0.754053316
AMM,ST_Tree_Ac,RIS,32,8.03E-08,2.97E-05,0.23542,0.353808793,0.029245236,0.145242465,0.010218003,1.31E-05,0.773977412
AMM,ST_Tree_Ac,RWS,1,1.92E-07,0.000140889,0.11122,0,19.77339778,0.042295407,0.079405009,8.93E-05,20.00654854
AMM,ST_Tree_Ac,RWS,2,1.27E-07,9.31E-05,0.087468,0.220881054,9.890554361,0.042295407,0.079405009,4.63E-05,10.32074329
AMM,ST_Tree_Ac,RWS,4,9.28E-08,6.80E-05,0.075096,0.28531171,4.945279511,0.042295407,0.079405009,2.39E-05,5.427479678
AMM,ST_Tree_Ac,RWS,8,8.22E-08,6.02E-05,0.072208,0.469478745,2.476495227,0.042295407,0.079405009,1.31E-05,3.139955845
AMM,ST_Tree_Ac,RWS,16,7.61E-08,5.58E-05,0.070988,0.813081212,1.242726816,0.042295407,0.079405009,7.15E-06,2.248559475
AMM,ST_Tree_Ac,RWS,32,7.42E-08,5.44E-05,0.070432,1.553460002,0.623871567,0.042295407,0.079405009,3.97E-06,2.369522425
AMM,ST_Tree_Ac,ROS,1,1.92E-07,0.000140889,0.563556,0,14.40411835,0.160213865,0.023620591,0.000688774,15.15233866
AMM,ST_Tree_Ac,ROS,2,1.27E-07,9.31E-05,0.372276,0,7.208380726,0.160213865,0.023620591,0.000368795,7.764953173
AMM,ST_Tree_Ac,ROS,4,9.28E-08,6.80E-05,0.272124,0,3.604192693,0.160213865,0.023620591,0.000194015,4.060413288
AMM,ST_Tree_Ac,ROS,8,8.22E-08,6.02E-05,0.240908,0,1.808417898,0.160213865,0.023620591,0.000108764,2.233329428
AMM,ST_Tree_Ac,ROS,16,7.61E-08,5.58E-05,0.223228,0,0.910594423,0.160213865,0.023620591,6.42E-05,1.317776967
AMM,ST_Tree_Ac,ROS,32,7.42E-08,5.44E-05,0.21758,0,0.455983407,0.160213865,0.023620591,3.78E-05,0.857490181
AMM,STIFT,RIS,1,2.22E-07,6.92E-05,0.6504,0,0.029245236,4.467811326,0.010218003,0.000313512,5.158057451
AMM,STIFT,RIS,2,1.44E-07,4.75E-05,0.42132,0.037140688,0.029245236,2.240616922,0.010218003,0.000161133,2.738749579
AMM,STIFT,RIS,4,1.03E-07,3.58E-05,0.301276,0.054514075,0.029245236,1.120308461,0.010218003,8.24E-05,1.515680004
AMM,STIFT,RIS,8,8.97E-08,3.21E-05,0.262972,0.096999345,0.029245236,0.566865489,0.010218003,4.43E-05,0.966376519
AMM,STIFT,RIS,16,8.28E-08,3.04E-05,0.242876,0.181512024,0.029245236,0.290147555,0.010218003,2.40E-05,0.754053316
AMM,STIFT,RIS,32,8.03E-08,2.97E-05,0.23542,0.353808793,0.029245236,0.145242465,0.010218003,1.31E-05,0.773977412
AMM,STIFT,RWS,1,1.92E-07,0.000140889,0.11122,0,19.77339778,0.042295407,0.079405009,8.93E-05,20.00654854
AMM,STIFT,RWS,2,1.27E-07,9.31E-05,0.087468,0.220881054,9.890554361,0.042295407,0.079405009,4.63E-05,10.32074329
AMM,STIFT,RWS,4,9.28E-08,6.80E-05,0.075096,0.28531171,4.945279511,0.042295407,0.079405009,2.39E-05,5.427479678
AMM,STIFT,RWS,8,8.22E-08,6.02E-05,0.072208,0.469478745,2.476495227,0.042295407,0.079405009,1.31E-05,3.139955845
AMM,STIFT,RWS,16,7.61E-08,5.58E-05,0.070988,0.813081212,1.242726816,0.042295407,0.079405009,7.15E-06,2.248559475
AMM,STIFT,RWS,32,7.42E-08,5.44E-05,0.070432,1.553460002,0.623871567,0.042295407,0.079405009,3.97E-06,2.369522425
AMM,STIFT,ROS,1,1.92E-07,0.000140889,0.563556,0,14.40411835,0.160213865,0.023620591,0.000688774,15.15233866
