Input Stationary,,,,,,Output Stationary,,,,,,
,Rectangular Mapping,,Square Mapping,,,,Rectangular Mapping,,Square Mapping,,,
K,K/(X*M),Folding,K/(X*M),Folding,,K,K/(X*M),Folding,K/(X*M),Folding,50 % DPU utilization ,25 % DPU utilization
289,0.14927686,0,6.568181818,1,,289,0.14927686,0,6.568181818,1,0,1
49,0.025309917,0,1.113636364,1,,49,0.025309917,0,1.113636364,1,0,0
144,0.074380165,0,3.272727273,1,,144,0.074380165,0,3.272727273,1,0,0
25,0.012913223,0,0.568181818,0,,25,0.012913223,0,0.568181818,0,0,0
1225,0.632747934,0,27.84090909,1,,1225,0.632747934,0,27.84090909,1,1,1
196,0.101239669,0,4.454545455,1,,196,0.101239669,0,4.454545455,1,0,0
196,0.101239669,0,4.454545455,1,,196,0.101239669,0,4.454545455,1,0,0
25,0.012913223,0,0.568181818,0,,25,0.012913223,0,0.568181818,0,0,0
676,0.349173554,0,15.36363636,1,,676,0.349173554,0,15.36363636,1,0,1
676,0.349173554,0,15.36363636,1,,676,0.349173554,0,15.36363636,1,0,1
49284,25.45661157,1,1120.090909,1,,49284,25.45661157,1,1120.090909,1,1,1
49284,25.45661157,1,1120.090909,1,,49284,25.45661157,1,1120.090909,1,1,1
484,0.25,0,11,1,,484,0.25,0,11,1,0,1
2916,1.506198347,1,66.27272727,1,,2916,1.506198347,1,66.27272727,1,1,1
9,0.00464876,0,0.204545455,0,,9,0.00464876,0,0.204545455,0,0,0
49,0.025309917,0,1.113636364,1,,49,0.025309917,0,1.113636364,1,0,0
1225,0.632747934,0,27.84090909,1,,1225,0.632747934,0,27.84090909,1,1,1
25,0.012913223,0,0.568181818,0,,25,0.012913223,0,0.568181818,0,0,0
784,0.404958678,0,17.81818182,1,,784,0.404958678,0,17.81818182,1,0,1
36,0.018595041,0,0.818181818,0,,36,0.018595041,0,0.818181818,0,0,0
225,0.116219008,0,5.113636364,1,,225,0.116219008,0,5.113636364,1,0,0
64,0.033057851,0,1.454545455,1,,64,0.033057851,0,1.454545455,1,0,0
12544,6.479338843,1,285.0909091,1,,12544,6.479338843,1,285.0909091,1,1,1
1225,0.632747934,0,27.84090909,1,,1225,0.632747934,0,27.84090909,1,1,1
49,0.025309917,0,1.113636364,1,,49,0.025309917,0,1.113636364,1,0,0
784,0.404958678,0,17.81818182,1,,784,0.404958678,0,17.81818182,1,0,1
196,0.101239669,0,4.454545455,1,,196,0.101239669,0,4.454545455,1,0,0
1089,0.5625,0,24.75,1,,1089,0.5625,0,24.75,1,1,1
144,0.074380165,0,3.272727273,1,,144,0.074380165,0,3.272727273,1,0,0
25,0.012913223,0,0.568181818,0,,25,0.012913223,0,0.568181818,0,0,0
196,0.101239669,0,4.454545455,1,,196,0.101239669,0,4.454545455,1,0,0
47524,24.54752066,1,1080.090909,1,,47524,24.54752066,1,1080.090909,1,1,1
676,0.349173554,0,15.36363636,1,,676,0.349173554,0,15.36363636,1,0,1
9,0.00464876,0,0.204545455,0,,9,0.00464876,0,0.204545455,0,0,0
784,0.404958678,0,17.81818182,1,,784,0.404958678,0,17.81818182,1,0,1
196,0.101239669,0,4.454545455,1,,196,0.101239669,0,4.454545455,1,0,0
196,0.101239669,0,4.454545455,1,,196,0.101239669,0,4.454545455,1,0,0
676,0.349173554,0,15.36363636,1,,676,0.349173554,0,15.36363636,1,0,1
196,0.101239669,0,4.454545455,1,,196,0.101239669,0,4.454545455,1,0,0
2916,1.506198347,1,66.27272727,1,,2916,1.506198347,1,66.27272727,1,1,1
1,0.000516529,0,0.022727273,0,,1,0.000516529,0,0.022727273,0,0,0
2916,1.506198347,1,66.27272727,1,,2916,1.506198347,1,66.27272727,1,1,1
21609,11.16167355,1,491.1136364,1,,21609,11.16167355,1,491.1136364,1,1,1
1225,0.632747934,0,27.84090909,1,,1225,0.632747934,0,27.84090909,1,1,1
196,0.101239669,0,4.454545455,1,,196,0.101239669,0,4.454545455,1,0,0
144,0.074380165,0,3.272727273,1,,144,0.074380165,0,3.272727273,1,0,0
12544,6.479338843,1,285.0909091,1,,12544,6.479338843,1,285.0909091,1,1,1
784,0.404958678,0,17.81818182,1,,784,0.404958678,0,17.81818182,1,0,1
25,0.012913223,0,0.568181818,0,,25,0.012913223,0,0.568181818,0,0,0
784,0.404958678,0,17.81818182,1,,784,0.404958678,0,17.81818182,1,0,1
676,0.349173554,0,15.36363636,1,,676,0.349173554,0,15.36363636,1,0,1
676,0.349173554,0,15.36363636,1,,676,0.349173554,0,15.36363636,1,0,1
3136,1.619834711,1,71.27272727,1,,3136,1.619834711,1,71.27272727,1,1,1
21025,10.86002066,1,477.8409091,1,,21025,10.86002066,1,477.8409091,1,1,1
144,0.074380165,0,3.272727273,1,,144,0.074380165,0,3.272727273,1,0,0
784,0.404958678,0,17.81818182,1,,784,0.404958678,0,17.81818182,1,0,1
196,0.101239669,0,4.454545455,1,,196,0.101239669,0,4.454545455,1,0,0
576,0.297520661,0,13.09090909,1,,576,0.297520661,0,13.09090909,1,0,1
3136,1.619834711,1,71.27272727,1,,3136,1.619834711,1,71.27272727,1,1,1
1089,0.5625,0,24.75,1,,1089,0.5625,0,24.75,1,1,1
