DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,S_Tree,RIS,1,21861788,23644760,3735099460,9584937.0,3790190945.0,7470198920,27508661880
AMM,S_Tree,RIS,2,25533984,23644760,1872563512,9584937.0,1931327193.0,5607662972,14819524228
AMM,S_Tree,RIS,4,33344584,23644760,936281756,9584937.0,1002856037.0,4671381216,8666452384
AMM,S_Tree,RIS,8,49463776,23644760,473154660,9584937.0,555848133.0,4208254120,5684501080
AMM,S_Tree,RIS,40,206804800,23644760,98743400,9584937.0,338777897.0,3833842860,4438349140
AMM,S_Tree,RWS,1,21861788,3735099460,14358817,9584937.0,3780905002.0,7470198920,27508661880
AMM,S_Tree,RWS,2,25537056,1871045432,14358817,9584937.0,1920526242.0,5606144892,14823499908
AMM,S_Tree,RWS,4,33361608,935525404,14358817,9584937.0,992830766.0,4670624864,8674018336
AMM,S_Tree,RWS,8,49386720,471258404,14358817,9584937.0,544588878.0,4206357864,5670986136
AMM,S_Tree,RWS,40,215685920,102666760,14358817,9584937.0,342296434.0,3837766220,4789670580
