DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,S_Tree,RIS,1,38400,25600,1228800,19200.0,1312000.0,2457600,58982400
AMM,S_Tree,RIS,2,38400,25600,614400,19200.0,697600.0,1843200,28876800
AMM,S_Tree,RIS,4,38400,25600,307200,19200.0,390400.0,1536000,13824000
AMM,S_Tree,RIS,8,38400,25600,153600,19200.0,236800.0,1382400,6297600
AMM,S_Tree,RIS,40,76800,25600,30720,19200.0,152320.0,1259520,1812480
AMM,S_Tree,RWS,1,38400,1228800,3072,19200.0,1289472.0,2457600,58982400
AMM,S_Tree,RWS,2,38400,614400,3072,19200.0,675072.0,1843200,28876800
AMM,S_Tree,RWS,4,38400,307200,3072,19200.0,367872.0,1536000,13824000
AMM,S_Tree,RWS,8,38400,153600,3072,19200.0,214272.0,1382400,6297600
AMM,S_Tree,RWS,40,128000,51200,3072,19200.0,201472.0,1280000,3840000
AMM,S_Tree,ROS,1,38400,1228800,24576,19200.0,1310976.0,2457600,58982400
AMM,S_Tree,ROS,2,38400,614400,24576,19200.0,696576.0,2457600,28262400
AMM,S_Tree,ROS,4,38400,307200,24576,19200.0,389376.0,2457600,12902400
AMM,S_Tree,ROS,8,38400,153600,24576,19200.0,235776.0,2457600,5222400
AMM,S_Tree,ROS,40,128000,51200,24576,19200.0,222976.0,2457600,2662400
AMM,ST_Tree_Ac,RIS,1,0,25600,1228800,19200.0,1273600.0,2457600,58982400
AMM,ST_Tree_Ac,RIS,2,0,25600,614400,19200.0,659200.0,1843200,28876800
AMM,ST_Tree_Ac,RIS,4,0,25600,307200,19200.0,352000.0,1536000,13824000
AMM,ST_Tree_Ac,RIS,8,0,25600,153600,19200.0,198400.0,1382400,6297600
AMM,ST_Tree_Ac,RIS,40,0,25600,30720,19200.0,75520.0,1259520,1812480
AMM,ST_Tree_Ac,RWS,1,0,1228800,3072,19200.0,1251072.0,2457600,58982400
AMM,ST_Tree_Ac,RWS,2,0,614400,3072,19200.0,636672.0,1843200,28876800
AMM,ST_Tree_Ac,RWS,4,0,307200,3072,19200.0,329472.0,1536000,13824000
AMM,ST_Tree_Ac,RWS,8,0,153600,3072,19200.0,175872.0,1382400,6297600
AMM,ST_Tree_Ac,RWS,40,0,51200,3072,19200.0,73472.0,1280000,3840000
AMM,ST_Tree_Ac,ROS,1,0,1228800,24576,19200.0,1272576.0,2457600,58982400
AMM,ST_Tree_Ac,ROS,2,0,614400,24576,19200.0,658176.0,2457600,28262400
AMM,ST_Tree_Ac,ROS,4,0,307200,24576,19200.0,350976.0,2457600,12902400
AMM,ST_Tree_Ac,ROS,8,0,153600,24576,19200.0,197376.0,2457600,5222400
AMM,ST_Tree_Ac,ROS,40,0,51200,24576,19200.0,94976.0,2457600,2662400
AMM,STIFT,RIS,1,0,25600,1228800,19200.0,1273600.0,2457600,58982400
AMM,STIFT,RIS,2,0,25600,614400,19200.0,659200.0,1843200,28876800
AMM,STIFT,RIS,4,0,25600,307200,19200.0,352000.0,1536000,13824000
AMM,STIFT,RIS,8,0,25600,153600,19200.0,198400.0,1382400,6297600
AMM,STIFT,RIS,40,0,25600,30720,19200.0,75520.0,1259520,1812480
AMM,STIFT,RWS,1,0,1228800,3072,19200.0,1251072.0,2457600,58982400
AMM,STIFT,RWS,2,0,614400,3072,19200.0,636672.0,1843200,28876800
AMM,STIFT,RWS,4,0,307200,3072,19200.0,329472.0,1536000,13824000
AMM,STIFT,RWS,8,0,153600,3072,19200.0,175872.0,1382400,6297600
AMM,STIFT,RWS,40,0,51200,3072,19200.0,73472.0,1280000,3840000
AMM,STIFT,ROS,1,0,1228800,24576,19200.0,1272576.0,2457600,58982400
AMM,STIFT,ROS,2,0,614400,24576,19200.0,658176.0,2457600,28262400
AMM,STIFT,ROS,4,0,307200,24576,19200.0,350976.0,2457600,12902400
AMM,STIFT,ROS,8,0,153600,24576,19200.0,197376.0,2457600,5222400
AMM,STIFT,ROS,40,0,51200,24576,19200.0,94976.0,2457600,2662400
AMM,PCA,RIS,1,0,25600,1228800,19200.0,1273600.0,2457600,58982400
AMM,PCA,RIS,2,0,25600,614400,19200.0,659200.0,1843200,28876800
AMM,PCA,RIS,4,0,25600,307200,19200.0,352000.0,1536000,13824000
AMM,PCA,RIS,8,0,25600,153600,19200.0,198400.0,1382400,6297600
AMM,PCA,RIS,40,0,25600,30720,19200.0,75520.0,1259520,1812480
AMM,PCA,RWS,1,0,1228800,3072,19200.0,1251072.0,2457600,58982400
AMM,PCA,RWS,2,0,614400,3072,19200.0,636672.0,1843200,28876800
AMM,PCA,RWS,4,0,307200,3072,19200.0,329472.0,1536000,13824000
AMM,PCA,RWS,8,0,153600,3072,19200.0,175872.0,1382400,6297600
AMM,PCA,RWS,40,0,51200,3072,19200.0,73472.0,1280000,3840000
AMM,PCA,ROS,1,0,1228800,24576,19200.0,1272576.0,2457600,58982400
AMM,PCA,ROS,2,0,614400,24576,19200.0,658176.0,2457600,28262400
AMM,PCA,ROS,4,0,307200,24576,19200.0,350976.0,2457600,12902400
AMM,PCA,ROS,8,0,153600,24576,19200.0,197376.0,2457600,5222400
AMM,PCA,ROS,40,0,51200,24576,19200.0,94976.0,2457600,2662400
AMM,S_Tree,WS,1,76800,25600,3072,19200.0,124672.0,2457600,614400
AMM,S_Tree,OS,1,76800,25600,30720,19200.0,152320.0,2457600,614400
AMM,S_Tree,IS,1,76800,25600,30720,19200.0,152320.0,2457600,614400
AMM,ST_Tree_Ac,WS,1,76800,25600,3072,19200.0,124672.0,2457600,614400
AMM,ST_Tree_Ac,OS,1,76800,25600,30720,19200.0,152320.0,2457600,614400
AMM,ST_Tree_Ac,IS,1,76800,25600,30720,19200.0,152320.0,2457600,614400
AMM,STIFT,WS,1,76800,25600,3072,19200.0,124672.0,2457600,614400
AMM,STIFT,OS,1,76800,25600,30720,19200.0,152320.0,2457600,614400
AMM,STIFT,IS,1,76800,25600,30720,19200.0,152320.0,2457600,614400
AMM,PCA,WS,1,0,25600,3072,19200.0,47872.0,2457600,614400
AMM,PCA,OS,1,0,25600,30720,19200.0,75520.0,2457600,614400
AMM,PCA,IS,1,0,25600,30720,19200.0,75520.0,2457600,614400
