DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter,mrr_utilization
AMM,S_Tree,RIS,1,21861788,23644760,3735099460,9584937,3790190945,7470198920,27508661880,0.213563242
AMM,S_Tree,RIS,2,25533984,23644760,1872563512,9584937,1931327193,5607662972,14819524228,0.274519586
AMM,S_Tree,RIS,4,33344584,23644760,936281756,9584937,1002856037,4671381216,8666452384,0.35023538
AMM,S_Tree,RIS,8,49463776,23644760,473154660,9584937,555848133,4208254120,5684501080,0.425387471
AMM,S_Tree,RIS,40,206804800,23644760,98743400,9584937,338777897,3833842860,4438349140,0.463461542
AMM,S_Tree,RWS,1,21861788,3735099460,14358817,9584937,3780905002,7470198920,27508661880,0.213563242
AMM,S_Tree,RWS,2,25537056,1871045432,14358817,9584937,1920526242,5606144892,14823499908,0.274412255
AMM,S_Tree,RWS,4,33361608,935525404,14358817,9584937,992830766,4670624864,8674018336,0.349999981
AMM,S_Tree,RWS,8,49386720,471258404,14358817,9584937,544588878,4206357864,5670986136,0.425859205
AMM,S_Tree,RWS,40,215685920,102666760,14358817,9584937,342296434,3837766220,4789670580,0.444832725
AMM,S_Tree,ROS,1,21861788,3735099460,77684707,9584937,3844230892,7470198920,27508661880,0.213563242
AMM,S_Tree,ROS,2,25537056,1871045432,77684707,9584937,1983852132,7470198920,12959445880,0.365654861
AMM,S_Tree,ROS,4,33361608,935525404,77684707,9584937,1056156656,7470198920,5874444280,0.559790083
AMM,S_Tree,ROS,8,49386720,471258404,77684707,9584937,607914768,7470198920,2407145080,0.75629632
AMM,S_Tree,ROS,40,215685920,102666760,77684707,9584937,405622324,7470198920,1157237880,0.865865389
AMM,ST_Tree_Ac,RIS,1,0,23644760,3735099460,9584937,3768329157,7470198920,27508661880,0.213563242
AMM,ST_Tree_Ac,RIS,2,0,23644760,1872563512,9584937,1905793209,5607662972,14819524228,0.274519586
AMM,ST_Tree_Ac,RIS,4,0,23644760,936281756,9584937,969511453,4671381216,8666452384,0.35023538
AMM,ST_Tree_Ac,RIS,8,0,23644760,473154660,9584937,506384357,4208254120,5684501080,0.425387471
AMM,ST_Tree_Ac,RIS,40,0,23644760,98743400,9584937,131973097,3833842860,4438349140,0.463461542
AMM,ST_Tree_Ac,RWS,1,0,3735099460,14358817,9584937,3759043214,7470198920,27508661880,0.213563242
