DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter,MRR_Utilization
AMM,S_Tree,RIS,1,11114366,5976328,853244932,5509729,875845355,1706489864,16076495736,0.095961944
AMM,S_Tree,RIS,2,11230640,5976328,427879208,5509729,450595905,1281124140,7703387860,0.142592513
AMM,S_Tree,RIS,4,12054496,5976328,213939604,5509729,237480157,1067184536,3754613864,0.221325001
AMM,S_Tree,RIS,8,13837248,5976328,108681264,5509729,134004569,961926196,1805523404,0.347585805
AMM,S_Tree,RIS,40,52305680,5976328,23164070,5509729,86955807,876409002,1215818198,0.418888064
AMM,S_Tree,RWS,1,11114366,853244932,6481309,5509729,876350336,1706489864,16076495736,0.095961944
AMM,S_Tree,RWS,2,11229712,427288312,6481309,5509729,450509062,1280533244,7703236356,0.142538522
AMM,S_Tree,RWS,4,12054688,213644668,6481309,5509729,237690394,1066889600,3754985600,0.22126031
AMM,S_Tree,RWS,8,13799216,108027572,6481309,5509729,133817826,961272504,1798570696,0.348306927
AMM,S_Tree,RWS,40,51983200,22980504,6481309,5509729,86954742,876225436,1203102564,0.421398373
AMM,S_Tree,ROS,1,11114366,853244932,20275809,5509729,890144836,1706489864,16076495736,0.095961944
AMM,S_Tree,ROS,2,11229712,427288312,20275809,5509729,464303562,1706489864,7277279736,0.189952541
AMM,S_Tree,ROS,4,12054688,213644668,20275809,5509729,251484894,1706489864,3115385336,0.353905855
AMM,S_Tree,ROS,8,13799216,108027572,20275809,5509729,147612326,1706489864,1053353336,0.618328557
AMM,S_Tree,ROS,40,51983200,22980504,20275809,5509729,100749242,1706489864,372838136,0.820692966
AMM,ST_Tree_Ac,RIS,1,0,5976328,853244932,5509729,864730989,1706489864,16076495736,0.095961944
AMM,ST_Tree_Ac,RIS,2,11230640,5976328,427879208,5509729,450595905,1281124140,7703387860,0.142592513
AMM,ST_Tree_Ac,RIS,4,12054496,5976328,213939604,5509729,237480157,1067184536,3754613864,0.221325001
AMM,ST_Tree_Ac,RIS,8,13837248,5976328,108681264,5509729,134004569,961926196,1805523404,0.347585805
AMM,ST_Tree_Ac,RIS,40,52305680,5976328,23164070,5509729,86955807,876409002,1215818198,0.418888064
AMM,ST_Tree_Ac,RWS,1,0,853244932,6481309,5509729,865235970,1706489864,16076495736,0.095961944
AMM,ST_Tree_Ac,RWS,2,11229712,427288312,6481309,5509729,450509062,1280533244,7703236356,0.142538522
AMM,ST_Tree_Ac,RWS,4,12054688,213644668,6481309,5509729,237690394,1066889600,3754985600,0.22126031
AMM,ST_Tree_Ac,RWS,8,13799216,108027572,6481309,5509729,133817826,961272504,1798570696,0.348306927
AMM,ST_Tree_Ac,RWS,40,51983200,22980504,6481309,5509729,86954742,876225436,1203102564,0.421398373
AMM,ST_Tree_Ac,ROS,1,0,853244932,20275809,5509729,879030470,1706489864,16076495736,0.095961944
AMM,ST_Tree_Ac,ROS,2,0,427288312,20275809,5509729,453073850,1706489864,7277279736,0.189952541
AMM,ST_Tree_Ac,ROS,4,0,213644668,20275809,5509729,239430206,1706489864,3115385336,0.353905855
AMM,ST_Tree_Ac,ROS,8,0,108027572,20275809,5509729,133813110,1706489864,1053353336,0.618328557
AMM,ST_Tree_Ac,ROS,40,0,22980504,20275809,5509729,48766042,1706489864,372838136,0.820692966
AMM,STIFT,RIS,1,0,5976328,853244932,5509729,864730989,1706489864,16076495736,0.095961944
AMM,STIFT,RIS,2,11230640,5976328,427879208,5509729,450595905,1281124140,7703387860,0.142592513
AMM,STIFT,RIS,4,12054496,5976328,213939604,5509729,237480157,1067184536,3754613864,0.221325001
AMM,STIFT,RIS,8,13837248,5976328,108681264,5509729,134004569,961926196,1805523404,0.347585805
AMM,STIFT,RIS,40,52305680,5976328,23164070,5509729,86955807,876409002,1215818198,0.418888064
AMM,STIFT,RWS,1,0,853244932,6481309,5509729,865235970,1706489864,16076495736,0.095961944
AMM,STIFT,RWS,2,11229712,427288312,6481309,5509729,450509062,1280533244,7703236356,0.142538522
AMM,STIFT,RWS,4,12054688,213644668,6481309,5509729,237690394,1066889600,3754985600,0.22126031
AMM,STIFT,RWS,8,13799216,108027572,6481309,5509729,133817826,961272504,1798570696,0.348306927
AMM,STIFT,RWS,40,51983200,22980504,6481309,5509729,86954742,876225436,1203102564,0.421398373
AMM,STIFT,ROS,1,0,853244932,20275809,5509729,879030470,1706489864,16076495736,0.095961944
AMM,STIFT,ROS,2,0,427288312,20275809,5509729,453073850,1706489864,7277279736,0.189952541
AMM,STIFT,ROS,4,0,213644668,20275809,5509729,239430206,1706489864,3115385336,0.353905855
AMM,STIFT,ROS,8,0,108027572,20275809,5509729,133813110,1706489864,1053353336,0.618328557
AMM,STIFT,ROS,40,0,22980504,20275809,5509729,48766042,1706489864,372838136,0.820692966
AMM,PCA,RIS,1,0,5976328,853244932,5509729,864730989,1706489864,16076495736,0.095961944
AMM,PCA,RIS,2,0,5976328,427879208,5509729,439365265,1281124140,7703387860,0.142592513
AMM,PCA,RIS,4,0,5976328,213939604,5509729,225425661,1067184536,3754613864,0.221325001
AMM,PCA,RIS,8,0,5976328,108681264,5509729,120167321,961926196,1805523404,0.347585805
AMM,PCA,RIS,40,0,5976328,23164070,5509729,34650127,876409002,1215818198,0.418888064
AMM,PCA,RWS,1,0,853244932,6481309,5509729,865235970,1706489864,16076495736,0.095961944
AMM,PCA,RWS,2,0,427288312,6481309,5509729,439279350,1280533244,7703236356,0.142538522
AMM,PCA,RWS,4,0,213644668,6481309,5509729,225635706,1066889600,3754985600,0.22126031
AMM,PCA,RWS,8,0,108027572,6481309,5509729,120018610,961272504,1798570696,0.348306927
AMM,PCA,RWS,40,0,22980504,6481309,5509729,34971542,876225436,1203102564,0.421398373
AMM,PCA,ROS,1,0,853244932,20275809,5509729,879030470,1706489864,16076495736,0.095961944
AMM,PCA,ROS,2,0,427288312,20275809,5509729,453073850,1706489864,7277279736,0.189952541
AMM,PCA,ROS,4,0,213644668,20275809,5509729,239430206,1706489864,3115385336,0.353905855
AMM,PCA,ROS,8,0,108027572,20275809,5509729,133813110,1706489864,1053353336,0.618328557
AMM,PCA,ROS,40,0,22980504,20275809,5509729,48766042,1706489864,372838136,0.820692966
AMM,S_Tree,WS,1,48433634,20115768,6481309,5509729,80540440,1706489864,385737336,0.815633151
AMM,S_Tree,OS,1,48433634,20115768,23164070,5509729,97223201,1706489864,385737336,0.815633151
AMM,S_Tree,IS,1,48433634,5976328,23164070,5509729,83083761,1706489864,385737336,0.815633151
AMM,ST_Tree_Ac,WS,1,48433634,20115768,6481309,5509729,80540440,1706489864,385737336,0.815633151
AMM,ST_Tree_Ac,OS,1,48433634,20115768,23164070,5509729,97223201,1706489864,385737336,0.815633151
AMM,ST_Tree_Ac,IS,1,48433634,5976328,23164070,5509729,83083761,1706489864,385737336,0.815633151
AMM,STIFT,WS,1,48433634,20115768,6481309,5509729,80540440,1706489864,385737336,0.815633151
AMM,STIFT,OS,1,48433634,20115768,23164070,5509729,97223201,1706489864,385737336,0.815633151
AMM,STIFT,IS,1,48433634,5976328,23164070,5509729,83083761,1706489864,385737336,0.815633151
