reduction_network,dataflow,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
S_Tree,IS,0.023795270513533733,4.278079999998967e-11,0.00029334249999996877,0.0019583107247802614,0.00970826345868384,0.0009069533395238354,0.03168687048731002,7.409405915798407,6.215711712880732,13.69346663974575
S_Tree,WS,0.17730707688137023,8.533600000008617e-11,3.5051499999995116e-05,0.02763367455291509,0.0045606520454378125,0.011551108000138274,0.03168687048730973,3.060844328499594,6.215711712853925,9.529330474906025
S_Tree,OS,0.11866956133128499,8.533600000008617e-11,0.00029334249999996877,0.018450053672008422,0.054924725560211204,0.0029688898465194445,0.03168687048730881,8.581472467400395,6.215711712880732,15.024177623763798
ST_Tree_Ac,IS,0.023795270513533733,4.278079999998967e-11,0.00029334249999996877,0.0019583107247802614,0.00970826345868384,0.0009069533395238354,0.03168687048731002,7.409405915798407,6.215711712880732,13.69346663974575
ST_Tree_Ac,WS,0.17730707688137023,8.533600000008617e-11,3.5051499999995116e-05,0.02763367455291509,0.0045606520454378125,0.011551108000138274,0.03168687048730973,3.060844328499594,6.215711712853925,9.529330474906025
ST_Tree_Ac,OS,0.11866956133128499,8.533600000008617e-11,0.00029334249999996877,0.018450053672008422,0.054924725560211204,0.0029688898465194445,0.03168687048730881,8.581472467400395,6.215711712880732,15.024177623763798
STIFT,IS,0.023795270513533733,4.278079999998967e-11,0.00029334249999996877,0.0019583107247802614,0.00970826345868384,0.0009069533395238354,0.03168687048731002,7.409405915798407,6.215711712880732,13.69346663974575
STIFT,WS,0.17730707688137023,8.533600000008617e-11,3.5051499999995116e-05,0.02763367455291509,0.0045606520454378125,0.011551108000138274,0.03168687048730973,3.060844328499594,6.215711712853925,9.529330474906025
STIFT,OS,0.11866956133128499,8.533600000008617e-11,0.00029334249999996877,0.018450053672008422,0.054924725560211204,0.0029688898465194445,0.03168687048730881,8.581472467400395,6.215711712880732,15.024177623763798
PCA,IS,0.0,4.278079999999973e-12,0.00029334249999996877,0.0019583107247802614,0.00970826345868384,0.0009069533395238354,0.03168687048731002,7.409405915798407,0.4763713689000115,7.930331025212995
PCA,WS,0.0,8.53360000000726e-12,3.5051499999995116e-05,0.02763367455291509,0.0045606520454378125,0.011551108000138274,0.03168687048730973,3.060844328499594,0.47637136889999926,3.612683053993928
PCA,OS,0.0,8.53360000000726e-12,0.00029334249999996877,0.018450053672008422,0.054924725560211204,0.0029688898465194445,0.03168687048730881,8.581472467400395,0.47637136890003345,9.16616771837501
S_Tree,IS,0.017231880070839395,2.353599999999558e-11,0.0002846580000000032,0.0019583107247808347,0.007367767968455029,0.0009069533395238583,0.025401683837701746,5.855065054996483,4.528811956993115,10.437028265954433
S_Tree,WS,0.13164642926202905,8.280960000007674e-11,4.303749999999295e-05,0.05187755555332932,0.004560652045437803,0.011551108000138276,0.025401683837701715,4.900976490897102,4.528811956993789,9.654868914172337
