DPU,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,S_Tree,RIS,1,0.000997892,2.80E-11,0.000666567,0.000471408,0.059444395,0.000594806,0.000233206,42.70329662,11.0476798,53.8133847
AMM,S_Tree,RIS,2,0.001010395,1.55E-11,0.000339152,0.000471408,0.029841384,0.000594806,0.000116838,21.56262014,5.578485052,27.17347918
AMM,S_Tree,RIS,4,0.001083909,1.00E-11,0.000184943,0.000471408,0.014920692,0.000594806,5.80E-05,10.92982182,2.992399228,13.93953481
AMM,S_Tree,RIS,8,0.001245216,7.68E-12,0.000109489,0.000471408,0.007608805,0.000594806,2.89E-05,5.698482322,1.699014131,7.407555121
AMM,S_Tree,RIS,40,0.004659598,7.83E-12,8.58E-05,0.000471408,0.001630736,0.000594806,5.39E-06,1.448277781,1.203575805,2.659301338
AMM,S_Tree,RWS,1,0.009423885,1.92E-10,9.31E-05,0.348094796,0.000997014,0.005047004,0.000223389,42.72839418,11.0476798,54.13995314
AMM,S_Tree,RWS,2,0.009433213,9.80E-11,5.25E-05,0.174089633,0.000997014,0.005047004,0.000111889,21.55835016,5.578485052,27.32656643
AMM,S_Tree,RWS,4,0.009500838,5.35E-11,3.48E-05,0.087044833,0.000997014,0.005047004,5.55E-05,10.94026106,2.992399228,14.03534027
AMM,S_Tree,RWS,8,0.009643822,3.16E-11,2.68E-05,0.043599374,0.000997014,0.005047004,2.77E-05,5.691091386,1.699014131,7.449447191
AMM,S_Tree,RWS,40,0.02611818,2.49E-11,2.87E-05,0.009038092,0.000997014,0.005047004,5.13E-06,1.464252106,1.203575805,2.709062078
AMM,S_Tree,ROS,1,0.002061266,1.92E-10,0.000661573,0.100514454,0.002431746,0.001152709,0.001753562,43.41398083,11.0476798,54.57023594
AMM,S_Tree,ROS,2,0.002082393,9.80E-11,0.00033677,0.05036532,0.002431746,0.001152709,0.00087703,22.24393681,5.578485052,27.87966783
AMM,S_Tree,ROS,4,0.002202836,5.35E-11,0.000184014,0.025182676,0.002431746,0.001152709,0.000436984,11.62584771,2.992399228,14.6498379
AMM,S_Tree,ROS,8,0.002459733,3.16E-11,0.000108708,0.012768509,0.002431746,0.001152709,0.000218242,6.376678036,1.699014131,8.094831814
AMM,S_Tree,ROS,40,0.00782343,2.49E-11,8.57E-05,0.002738454,0.002431746,0.001152709,4.08E-05,2.149838756,1.203575805,3.367687403
AMM,ST_Tree_Ac,RIS,1,0,2.80E-11,0.000666567,0.000471408,0.059444395,0.000594806,6.92E-05,42.70329662,11.0476798,53.81222276
AMM,ST_Tree_Ac,RIS,2,0,1.55E-11,0.000339152,0.000471408,0.029841384,0.000594806,3.46E-05,21.56262014,5.578485052,27.17238653
AMM,ST_Tree_Ac,RIS,4,0,1.00E-11,0.000184943,0.000471408,0.014920692,0.000594806,1.86E-05,10.92982182,2.992399228,13.93841155
AMM,ST_Tree_Ac,RIS,8,0,7.68E-12,0.000109489,0.000471408,0.007608805,0.000594806,1.03E-05,5.698482322,1.699014131,7.406291221
AMM,ST_Tree_Ac,RIS,40,0,7.83E-12,8.58E-05,0.000471408,0.001630736,0.000594806,4.06E-06,1.448277781,1.203575805,2.654640412
AMM,ST_Tree_Ac,RWS,1,0,1.92E-10,9.31E-05,0.348094796,0.000997014,0.005047004,6.68E-05,42.72839418,11.0476798,54.13037267
AMM,ST_Tree_Ac,RWS,2,0,9.80E-11,5.25E-05,0.174089633,0.000997014,0.005047004,3.38E-05,21.55835016,5.578485052,27.31705509
AMM,ST_Tree_Ac,RWS,4,0,5.35E-11,3.48E-05,0.087044833,0.000997014,0.005047004,1.85E-05,10.94026106,2.992399228,14.02580242
AMM,ST_Tree_Ac,RWS,8,0,3.16E-11,2.68E-05,0.043599374,0.000997014,0.005047004,1.03E-05,5.691091386,1.699014131,7.43978598
AMM,ST_Tree_Ac,RWS,40,0,2.49E-11,2.87E-05,0.009038092,0.000997014,0.005047004,4.02E-06,1.464252106,1.203575805,2.682942788
AMM,ST_Tree_Ac,ROS,1,0,1.92E-10,0.000661573,0.100514454,0.002431746,0.001152709,0.000516504,43.41398083,11.0476798,54.56693762
AMM,ST_Tree_Ac,ROS,2,0,9.80E-11,0.00033677,0.05036532,0.002431746,0.001152709,0.000258641,22.24393681,5.578485052,27.87696705
AMM,ST_Tree_Ac,ROS,4,0,5.35E-11,0.000184014,0.025182676,0.002431746,0.001152709,0.000134421,11.62584771,2.992399228,14.6473325
AMM,ST_Tree_Ac,ROS,8,0,3.16E-11,0.000108708,0.012768509,0.002431746,0.001152709,7.07E-05,6.376678036,1.699014131,8.092224545
AMM,ST_Tree_Ac,ROS,40,0,2.49E-11,8.57E-05,0.002738454,0.002431746,0.001152709,2.82E-05,2.149838756,1.203575805,3.359851319
AMM,STIFT,RIS,1,0,2.80E-11,0.000666567,0.000471408,0.059444395,0.000594806,5.59E-05,42.70329662,11.0476798,53.81220954
