DPU,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,S_Tree,RIS,1,0.0009978917420769558,2.797119999999422e-11,0.0013206984999973134,0.00047140849848585593,0.059444395408861345,0.0005948060324811762,0.0002332055315103062,42.703296621569514,11.047679803399971,53.81403883071087
AMM,S_Tree,RIS,2,0.0010103947250359165,1.5539199999998038e-11,0.0006692180000002608,0.00047140849848603233,0.02984138418570579,0.0005948060324811762,0.00011683848509261779,21.56262013922207,5.578485052280558,27.173809241444967
AMM,S_Tree,RIS,4,0.001083909493569831,1.002559999999973e-11,0.0003609319999997006,0.000471408498485981,0.014920692092825814,0.0005948060324811762,5.8005953719440876e-05,10.929821820424188,2.9923992280531286,13.939710802558425
AMM,S_Tree,RIS,8,0.0012452156462186218,7.684800000000449e-12,0.0002093190000001305,0.0004714084984859909,0.007608805005412713,0.0005948060324811762,2.8942999046484817e-05,5.698482322398425,1.6990141314729672,7.407654951060721
AMM,S_Tree,RIS,40,0.004659597668984338,7.825600000000406e-12,0.00016025900000008337,0.0004714084984860044,0.0016307358995614118,0.0005948060324811762,5.388154245713106e-06,1.4482777805998934,1.203575804885848,2.6593757807473257
AMM,S_Tree,RWS,1,0.009423884978442178,3.836943999990405e-10,9.307100000001884e-05,0.34809479594833714,0.0009970138156960553,0.005047004493428629,0.0002233887507292958,42.72839417727208,11.047679803399971,54.13995314004238
AMM,S_Tree,RWS,2,0.009433213347195006,1.9491999999986097e-10,5.246449999999039e-05,0.17408963273782574,0.0009970138156961987,0.005047004493428629,0.0001118892561926554,21.55835016372222,5.578485052280109,27.326566434347587
AMM,S_Tree,RWS,4,0.009500837646696243,1.0563360000016192e-10,3.478749999999519e-05,0.08704483275316251,0.0009970138156961796,0.005047004493428629,5.5511372583782326e-05,10.940261056923871,2.992399228052906,14.035340272663976
AMM,S_Tree,RWS,8,0.009643821801740133,6.155359999999742e-11,2.6801499999997355e-05,0.04359937435626272,0.0009970138156961805,0.005047004493428629,2.765770423995613e-05,5.691091385698468,1.699014131472872,7.4494471909042606
AMM,S_Tree,RWS,40,0.026118180478555755,4.799359999998807e-11,2.8742999999996828e-05,0.009038091786279314,0.000997013815696192,0.005047004493428629,5.1334358293987595e-06,1.4642521060999112,1.2035758048860152,2.709062078043709
