DPU,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,S_Tree,RWS,1,2.38E-07,0.000120286,0.067688,0.070684875,3.074323391,0.011365705,0.035290417,0.000634627,3.260107539
AMM,ST_Tree_Ac,RWS,1,2.38E-07,0.000120286,0.067688,0,3.074323391,0.011365705,0.035290417,0.000102141,3.188890178
AMM,STIFT,RWS,1,2.38E-07,0.000120286,0.067688,0,3.074323391,0.011365705,0.035290417,0.000102141,3.188890178
AMM,PCA,RWS,1,2.38E-07,0.000120286,0.067688,0,3.074323391,0.011365705,0.035290417,1.20E-08,3.188788049
AMM,S_Tree,ROS,1,2.38E-07,0.000120286,0.481144,0.020127118,1.272554492,0.03055435,0.009977494,0.00498171,1.819459687
AMM,ST_Tree_Ac,ROS,1,2.38E-07,0.000120286,0.481144,0,1.272554492,0.03055435,0.009977494,0.000789761,1.79514062
AMM,STIFT,ROS,1,2.38E-07,0.000120286,0.481144,0,1.272554492,0.03055435,0.009977494,0.000789761,1.79514062
AMM,PCA,ROS,1,2.38E-07,1.20E-05,0.481144,0,1.272554492,0.03055435,0.009977494,9.40E-08,1.794242696
AMM,S_Tree,RWS,2,1.21E-07,6.12E-05,0.038156,0.070810917,1.537891286,0.011365705,0.035290417,0.000317867,1.693893544
AMM,ST_Tree_Ac,RWS,2,1.21E-07,6.12E-05,0.038156,0,1.537891286,0.011365705,0.035290417,5.16E-05,1.622816384
AMM,STIFT,RWS,2,1.21E-07,6.12E-05,0.038156,0,1.537891286,0.011365705,0.035290417,5.16E-05,1.622816384
AMM,PCA,RWS,2,1.21E-07,6.12E-05,0.038156,0,1.537891286,0.011365705,0.035290417,6.00E-09,1.622764766
AMM,S_Tree,RIS,1,2.39E-07,1.75E-05,0.484776,0.01282512,0.007220388,0.973666648,0.006351127,0.000662516,1.48551952
AMM,ST_Tree_Ac,RIS,1,2.39E-07,1.75E-05,0.484776,0,0.007220388,0.973666648,0.006351127,0.000105751,1.472137635
AMM,STIFT,RIS,1,2.39E-07,1.75E-05,0.484776,0,0.007220388,0.973666648,0.006351127,0.000105751,1.472137635
AMM,PCA,RIS,1,2.39E-07,1.75E-05,0.484776,0,0.007220388,0.973666648,0.006351127,1.25E-08,1.472031897
AMM,S_Tree,ROS,2,1.21E-07,6.12E-05,0.244924,0.020334176,0.637486121,0.03055435,0.009977494,0.002491563,0.945829055
AMM,ST_Tree_Ac,ROS,2,1.21E-07,6.12E-05,0.244924,0,0.637486121,0.03055435,0.009977494,0.000395476,0.923398792
AMM,STIFT,ROS,2,1.21E-07,6.12E-05,0.244924,0,0.637486121,0.03055435,0.009977494,0.000395476,0.923398792
AMM,PCA,ROS,2,1.21E-07,6.12E-06,0.244924,0,0.637486121,0.03055435,0.009977494,4.70E-08,0.922948255
AMM,S_Tree,RWS,4,6.61E-08,3.35E-05,0.0253,0.071718617,0.768946087,0.011365705,0.035290417,0.000157703,0.912812052
AMM,ST_Tree_Ac,RWS,4,6.61E-08,3.35E-05,0.0253,0,0.768946087,0.011365705,0.035290417,2.83E-05,0.840964016
AMM,STIFT,RWS,4,6.61E-08,3.35E-05,0.0253,0,0.768946087,0.011365705,0.035290417,2.83E-05,0.840964016
AMM,PCA,RWS,4,6.61E-08,3.35E-05,0.0253,0,0.768946087,0.011365705,0.035290417,3.00E-09,0.840935735
AMM,S_Tree,RIS,2,1.22E-07,9.71E-06,0.246656,0.012973461,0.007220388,0.48849763,0.006351127,0.000331928,0.762040367
AMM,ST_Tree_Ac,RIS,2,1.22E-07,9.71E-06,0.246656,0,0.007220388,0.48849763,0.006351127,5.29E-05,0.748787862
AMM,STIFT,RIS,2,1.22E-07,9.71E-06,0.246656,0,0.007220388,0.48849763,0.006351127,5.29E-05,0.748787862
