DPU,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,S_Tree,RIS,1,2.3939907317358454e-07,1.7482000000000023e-05,0.48477600000040216,0.012825120137567935,0.0072203878103632765,0.9736666483238302,0.006351126990127643,0.000662515714517784,1.4855195203758822
AMM,S_Tree,RIS,2,1.218072218774291e-07,9.711999999999915e-06,0.24665600000016405,0.0129734606440595,0.007220387810358774,0.4884976299611133,0.006351126990127643,0.0003319275144677324,0.7620403667275129
AMM,S_Tree,RIS,4,6.642270437932242e-08,6.265999999999351e-06,0.1345040000000519,0.013921007380883367,0.007220387810360047,0.24424881498045858,0.006351126990127643,0.00016478964124843446,0.40641645922583436
AMM,S_Tree,RIS,8,3.932304693032964e-08,4.802999999999861e-06,0.07962799999999702,0.01598670528435122,0.007220387810359447,0.12429009096852972,0.006351126990127643,8.222442910933344e-05,0.23356337780552128
AMM,S_Tree,RIS,40,3.082119361300574e-08,4.89099999999983e-06,0.062411999999979956,0.06010529981543482,0.007220387810359294,0.026556491217235658,0.006351126990127643,1.530725637986674e-05,0.16266553491071084
AMM,S_Tree,RWS,1,2.3760546657224605e-07,0.00012028600000018127,0.06768799999998508,0.07068487505181682,3.0743233909955023,0.011365705151927653,0.035290416986286065,0.0006346271327535679,3.260107538923738
AMM,S_Tree,RWS,2,1.2095190066776625e-07,6.123100000005178e-05,0.038155999999997775,0.07081091735875741,1.537891285513424,0.011365705151929,0.035290416986286065,0.00031786720509283534,1.6938935441673875
AMM,S_Tree,RWS,4,6.6088872313655e-08,3.345699999999089e-05,0.02530000000000206,0.0717186172018128,0.7689460866609972,0.011365705151927977,0.035290416986286065,0.0001577027630221299,0.9128120518529207
AMM,S_Tree,RWS,8,3.9042548981663285e-08,1.9764999999997294e-05,0.01949200000000129,0.07363795999459614,0.385797371007565,0.011365705151927245,0.035290416986286065,7.85730234089677e-05,0.5256818302063337
AMM,S_Tree,RWS,40,3.0771810171339126e-08,1.55780000000023e-05,0.020904000000001477,0.20728416596752317,0.08034720948591283,0.011365705151927606,0.035290416986286065,1.4583624515337335e-05,0.3552216899879766
AMM,S_Tree,ROS,1,2.3760546657224605e-07,0.00012028600000018127,0.48114400000039853,0.020127118234753622,1.2725544918003295,0.03055434962428183,0.00997749413392587,0.0049817095560485735,1.8194596869552044
AMM,S_Tree,ROS,2,1.2095190066776625e-07,6.123100000005178e-05,0.24492400000016232,0.02033417590100306,0.6374861206436933,0.030554349624228924,0.009977494133935826,0.0024915628809211244,0.9458290551358451
AMM,S_Tree,ROS,4,6.6088872313655e-08,3.345699999999089e-05,0.1338280000000512,0.021604575977576545,0.31874350422635356,0.030554349624301817,0.00997749413393046,0.0012414320169147057,0.5159828790680006
AMM,S_Tree,ROS,8,3.9042548981663285e-08,1.9764999999997294e-05,0.07905999999999645,0.024306137350900422,0.16142537845655763,0.03055434962427059,0.00997749413392595,0.0006200062440667721,0.3059631698522668
AMM,S_Tree,ROS,40,3.0771810171339126e-08,1.55780000000023e-05,0.06231199999998003,0.08165745911798712,0.03450151941031049,0.03055434962427064,0.009977494133927749,0.00011597924844900446,0.2191344103067352
AMM,ST_Tree_Ac,RIS,1,2.3939907317358454e-07,1.7482000000000023e-05,0.48477600000040216,0.0,0.0072203878103632765,0.9736666483238302,0.006351126990127643,0.00010575077791401453,1.4721376353017106
AMM,ST_Tree_Ac,RIS,2,1.218072218774291e-07,9.711999999999915e-06,0.24665600000016405,0.0129734606440595,0.007220387810358774,0.4884976299611133,0.006351126990127643,5.2883390589351405e-05,0.7617613226036345
AMM,ST_Tree_Ac,RIS,4,6.642270437932242e-08,6.265999999999351e-06,0.1345040000000519,0.013921007380883367,0.007220387810360047,0.24424881498045858,0.006351126990127643,2.8512513985209402e-05,0.40628018209857114
AMM,ST_Tree_Ac,RIS,8,3.932304693032964e-08,4.802999999999861e-06,0.07962799999999702,0.01598670528435122,0.007220387810359447,0.12429009096852972,0.006351126990127643,1.5686045092509166e-05,0.23349683942150445
AMM,ST_Tree_Ac,RIS,40,3.082119361300574e-08,4.89099999999983e-06,0.062411999999979956,0.06010529981543482,0.007220387810359294,0.026556491217235658,0.006351126990127643,6.2074380782908875e-06,0.1626564350924093
AMM,ST_Tree_Ac,RWS,1,2.3760546657224605e-07,0.00012028600000018127,0.06768799999998508,0.0,3.0743233909955023,0.011365705151927653,0.035290416986286065,0.00010214135356867854,3.188890178092737
AMM,ST_Tree_Ac,RWS,2,1.2095190066776625e-07,6.123100000005178e-05,0.038155999999997775,0.07081091735875741,1.537891285513424,0.011365705151929,0.035290416986286065,5.162411767330198e-05,1.693627301079968
AMM,ST_Tree_Ac,RWS,4,6.6088872313655e-08,3.345699999999089e-05,0.02530000000000206,0.0717186172018128,0.7689460866609972,0.011365705151927977,0.035290416986286065,2.8283771423670385e-05,0.9126826328613222
AMM,ST_Tree_Ac,RWS,8,3.9042548981663285e-08,1.9764999999997294e-05,0.01949200000000129,0.07363795999459614,0.385797371007565,0.011365705151927245,0.035290416986286065,1.570122548686375e-05,0.5256189584084117
AMM,ST_Tree_Ac,RWS,40,3.0771810171339126e-08,1.55780000000023e-05,0.020904000000001477,0.20728416596752317,0.08034720948591283,0.011365705151927606,0.035290416986286065,6.1534523719184545e-06,0.3552132598158332
AMM,ST_Tree_Ac,ROS,1,2.3760546657224605e-07,0.00012028600000018127,0.48114400000039853,0.0,1.2725544918003295,0.03055434962428183,0.00997749413392587,0.0007897610730696911,1.795140620237472
AMM,ST_Tree_Ac,ROS,2,1.2095190066776625e-07,6.123100000005178e-05,0.24492400000016232,0.0,0.6374861206436933,0.030554349624228924,0.009977494133935826,0.0003954755015241474,0.9233987918554452
AMM,ST_Tree_Ac,ROS,4,6.6088872313655e-08,3.345699999999089e-05,0.1338280000000512,0.0,0.31874350422635356,0.030554349624301817,0.00997749413393046,0.00020553696276184782,0.49334240803627116
AMM,ST_Tree_Ac,ROS,8,3.9042548981663285e-08,1.9764999999997294e-05,0.07905999999999645,0.0,0.16142537845655763,0.03055434962427059,0.00997749413392595,0.00010811391697316259,0.2811451401742728
AMM,ST_Tree_Ac,ROS,40,3.0771810171339126e-08,1.55780000000023e-05,0.06231199999998003,0.0,0.03450151941031049,0.03055434962427064,0.009977494133927749,4.307362067469155e-05,0.13740404556097377
AMM,STIFT,RIS,1,2.3939907317358454e-07,1.7482000000000023e-05,0.48477600000040216,0.0,0.0072203878103632765,0.9736666483238302,0.006351126990127643,0.00010575077791401453,1.4721376353017106
AMM,STIFT,RIS,2,1.218072218774291e-07,9.711999999999915e-06,0.24665600000016405,0.0129734606440595,0.007220387810358774,0.4884976299611133,0.006351126990127643,5.2883390589351405e-05,0.7617613226036345
AMM,STIFT,RIS,4,6.642270437932242e-08,6.265999999999351e-06,0.1345040000000519,0.013921007380883367,0.007220387810360047,0.24424881498045858,0.006351126990127643,2.8512513985209402e-05,0.40628018209857114
AMM,STIFT,RIS,8,3.932304693032964e-08,4.802999999999861e-06,0.07962799999999702,0.01598670528435122,0.007220387810359447,0.12429009096852972,0.006351126990127643,1.5686045092509166e-05,0.23349683942150445
AMM,STIFT,RIS,40,3.082119361300574e-08,4.89099999999983e-06,0.062411999999979956,0.06010529981543482,0.007220387810359294,0.026556491217235658,0.006351126990127643,6.2074380782908875e-06,0.1626564350924093
AMM,STIFT,RWS,1,2.3760546657224605e-07,0.00012028600000018127,0.06768799999998508,0.0,3.0743233909955023,0.011365705151927653,0.035290416986286065,0.00010214135356867854,3.188890178092737
AMM,STIFT,RWS,2,1.2095190066776625e-07,6.123100000005178e-05,0.038155999999997775,0.07081091735875741,1.537891285513424,0.011365705151929,0.035290416986286065,5.162411767330198e-05,1.693627301079968
AMM,STIFT,RWS,4,6.6088872313655e-08,3.345699999999089e-05,0.02530000000000206,0.0717186172018128,0.7689460866609972,0.011365705151927977,0.035290416986286065,2.8283771423670385e-05,0.9126826328613222
AMM,STIFT,RWS,8,3.9042548981663285e-08,1.9764999999997294e-05,0.01949200000000129,0.07363795999459614,0.385797371007565,0.011365705151927245,0.035290416986286065,1.570122548686375e-05,0.5256189584084117
AMM,STIFT,RWS,40,3.0771810171339126e-08,1.55780000000023e-05,0.020904000000001477,0.20728416596752317,0.08034720948591283,0.011365705151927606,0.035290416986286065,6.1534523719184545e-06,0.3552132598158332
AMM,STIFT,ROS,1,2.3760546657224605e-07,0.00012028600000018127,0.48114400000039853,0.0,1.2725544918003295,0.03055434962428183,0.00997749413392587,0.0007897610730696911,1.795140620237472
AMM,STIFT,ROS,2,1.2095190066776625e-07,6.123100000005178e-05,0.24492400000016232,0.0,0.6374861206436933,0.030554349624228924,0.009977494133935826,0.0003954755015241474,0.9233987918554452
AMM,STIFT,ROS,4,6.6088872313655e-08,3.345699999999089e-05,0.1338280000000512,0.0,0.31874350422635356,0.030554349624301817,0.00997749413393046,0.00020553696276184782,0.49334240803627116
AMM,STIFT,ROS,8,3.9042548981663285e-08,1.9764999999997294e-05,0.07905999999999645,0.0,0.16142537845655763,0.03055434962427059,0.00997749413392595,0.00010811391697316259,0.2811451401742728
AMM,STIFT,ROS,40,3.0771810171339126e-08,1.55780000000023e-05,0.06231199999998003,0.0,0.03450151941031049,0.03055434962427064,0.009977494133927749,4.307362067469155e-05,0.13740404556097377
AMM,PCA,RIS,1,2.3939907317358454e-07,1.7482000000000023e-05,0.48477600000040216,0.0,0.0072203878103632765,0.9736666483238302,0.006351126990127643,1.252462799999732e-08,1.4720318970484245
AMM,PCA,RIS,2,1.218072218774291e-07,9.711999999999915e-06,0.24665600000016405,0.0,0.007220387810358774,0.4884976299611133,0.006351126990127643,6.263107199999434e-09,0.7487349848320929
AMM,PCA,RIS,4,6.642270437932242e-08,6.265999999999351e-06,0.1345040000000519,0.0,0.007220387810360047,0.24424881498045858,0.006351126990127643,3.1315536000001823e-09,0.3923306653352561
AMM,PCA,RIS,8,3.932304693032964e-08,4.802999999999861e-06,0.07962799999999702,0.0,0.007220387810359447,0.12429009096852972,0.006351126990127643,1.5705359999999717e-09,0.21749444966259676
AMM,PCA,RIS,40,3.082119361300574e-08,4.89099999999983e-06,0.062411999999979956,0.0,0.007220387810359294,0.026556491217235658,0.006351126990127643,3.252119999999977e-10,0.10254492816410815
AMM,PCA,RWS,1,2.3760546657224605e-07,0.00012028600000018127,0.06768799999998508,0.0,3.0743233909955023,0.011365705151927653,0.035290416986286065,1.2005875199997495e-08,3.1887880487450433
AMM,PCA,RWS,2,1.2095190066776625e-07,6.123100000005178e-05,0.038155999999997775,0.0,1.537891285513424,0.011365705151929,0.035290416986286065,6.003730799999522e-09,1.6227647656072681
AMM,PCA,RWS,4,6.6088872313655e-08,3.345699999999089e-05,0.02530000000000206,0.0,0.7689460866609972,0.011365705151927977,0.035290416986286065,3.0022620000001586e-09,0.8409357348903477
AMM,PCA,RWS,8,3.9042548981663285e-08,1.9764999999997294e-05,0.01949200000000129,0.0,0.385797371007565,0.011365705151927245,0.035290416986286065,1.5070799999999766e-09,0.4519652986954086
AMM,PCA,RWS,40,3.0771810171339126e-08,1.55780000000023e-05,0.020904000000001477,0.0,0.08034720948591283,0.011365705151927606,0.035290416986286065,3.1172759999999786e-10,0.14792294070766573
AMM,PCA,ROS,1,2.3760546657224605e-07,1.2028600000014246e-05,0.48114400000039853,0.0,1.2725544918003295,0.03055434962428183,0.00997749413392587,9.399419999984786e-08,1.7942426957586022
AMM,PCA,ROS,2,1.2095190066776625e-07,6.1231000000012975e-06,0.24492400000016232,0.0,0.6374861206436933,0.030554349624228924,0.009977494133935826,4.700582520005263e-08,0.9229482554597461
AMM,PCA,ROS,4,6.6088872313655e-08,3.3456999999971934e-06,0.1338280000000512,0.0,0.31874350422635356,0.030554349624301817,0.00997749413393046,2.3511241200011566e-08,0.49310678328475055
AMM,PCA,ROS,8,3.9042548981663285e-08,1.97649999999999e-06,0.07905999999999645,0.0,0.16142537845655763,0.03055434962427059,0.00997749413392595,1.1777433599997572e-08,0.28101924953473323
AMM,PCA,ROS,40,3.0771810171339126e-08,1.557800000000105e-06,0.06231199999998003,0.0,0.03450151941031049,0.03055434962427064,0.009977494133927749,2.4406764000000554e-09,0.1373469541809755
AMM,S_Tree,WS,1,3.082119361300574e-08,1.560300000000227e-05,0.01986800000000134,0.19891318726069795,0.06779380982362523,0.01136570515192776,0.03529041698628618,0.03560362236478577,0.36885037540851784
AMM,S_Tree,OS,1,3.082119361300574e-08,1.560300000000227e-05,0.062411999999979956,0.07592349576240157,0.030275895501263507,0.03489513111228455,0.009977494133927765,0.035603622364785724,0.24910327269583668
AMM,S_Tree,IS,1,3.082119361300574e-08,4.89099999999983e-06,0.062411999999979956,0.05543476322641162,0.007220387810359294,0.026556491217235658,0.006351126990127618,0.03560362236478575,0.19358331343009352
AMM,ST_Tree_Ac,WS,1,3.082119361300574e-08,1.560300000000227e-05,0.01986800000000134,0.19891318726069795,0.06779380982362523,0.01136570515192776,0.03529041698628618,0.01129624961712059,0.3445430026608527
AMM,ST_Tree_Ac,OS,1,3.082119361300574e-08,1.560300000000227e-05,0.062411999999979956,0.07592349576240157,0.030275895501263507,0.03489513111228455,0.009977494133927765,0.011296249617121449,0.2247958999481724
AMM,ST_Tree_Ac,IS,1,3.082119361300574e-08,4.89099999999983e-06,0.062411999999979956,0.05543476322641162,0.007220387810359294,0.026556491217235658,0.006351126990127618,0.011296249617120578,0.16927594068242835
AMM,STIFT,WS,1,3.082119361300574e-08,1.560300000000227e-05,0.01986800000000134,0.19891318726069795,0.06779380982362523,0.01136570515192776,0.03529041698628618,0.01129624961712059,0.3445430026608527
AMM,STIFT,OS,1,3.082119361300574e-08,1.560300000000227e-05,0.062411999999979956,0.07592349576240157,0.030275895501263507,0.03489513111228455,0.009977494133927765,0.011296249617121449,0.2247958999481724
AMM,STIFT,IS,1,3.082119361300574e-08,4.89099999999983e-06,0.062411999999979956,0.05543476322641162,0.007220387810359294,0.026556491217235658,0.006351126990127618,0.011296249617120578,0.16927594068242835
AMM,PCA,WS,1,3.082119361300574e-08,1.560300000000227e-05,0.01986800000000134,0.0,0.06779380982362523,0.01136570515192776,0.03529041698628618,0.0,0.13433356578303413
AMM,PCA,OS,1,3.082119361300574e-08,1.5603000000001052e-06,0.062411999999979956,0.0,0.030275895501263507,0.03489513111228455,0.009977494133927765,0.0,0.1375621118686494
AMM,PCA,IS,1,3.082119361300574e-08,4.89099999999983e-06,0.062411999999979956,0.0,0.007220387810359294,0.026556491217235658,0.006351126990127618,0.0,0.10254492783889613
