DPU,reduction_network,dataflow,mrr_power,adc_power,dac_power,rn_area,cache_power,total_power
AMM,PCA,OS,369.30323519999996,14.904,4.1850432,7.9074e-11,32433.46,32821.85227840008
MAW,PCA,OS,711.884264,24.080000000000002,4.132128,1.0696e-10,34753.4,35493.49639200011
AMW5,PCA,OS,358.05366,168.29999999999998,4.05756,3.438e-10,54457.0,54987.411220000344
MAW5,PCA,OS,667.04946,254.1,3.96396,4.202e-10,60813.0,61738.11342000042
AMW10,PCA,OS,319.150944,560.28,3.616704,6.1502e-10,77020.8,77903.84764800062
MAW10,PCA,OS,603.32805,848.25,3.6504,7.449e-10,87826.0,89281.22845000075
AMM,S_Tree,OS,369.30323519999996,14.904,4.1850432,72.86399999999999,32433.46,32894.716278399996
MAW,S_Tree,OS,711.884264,24.080000000000002,4.132128,98.55999999999999,34753.4,35592.056392
AMW5,S_Tree,OS,358.05366,168.29999999999998,4.05756,316.79999999999995,54457.0,55304.21122
MAW5,S_Tree,OS,667.04946,254.1,3.96396,387.2,60813.0,62125.31342
AMW10,S_Tree,OS,319.150944,560.28,3.616704,566.7199999999999,77020.8,78470.567648
MAW10,S_Tree,OS,603.32805,848.25,3.6504,686.4,87826.0,89967.62845
AMM,PCA,WS,369.30323519999996,14.904,4.1850432,7.9074e-11,32433.46,32821.85227840008
MAW,PCA,WS,711.884264,24.080000000000002,4.132128,1.0696e-10,34753.4,35493.49639200011
AMW5,PCA,WS,358.05366,168.29999999999998,4.05756,3.438e-10,54457.0,54987.411220000344
MAW5,PCA,WS,667.04946,254.1,3.96396,4.202e-10,60813.0,61738.11342000042
AMW10,PCA,WS,319.150944,560.28,3.616704,6.1502e-10,77020.8,77903.84764800062
MAW10,PCA,WS,603.32805,848.25,3.6504,7.449e-10,87826.0,89281.22845000075
AMM,S_Tree,WS,369.30323519999996,14.904,4.1850432,72.86399999999999,32433.46,32894.716278399996
MAW,S_Tree,WS,711.884264,24.080000000000002,4.132128,98.55999999999999,34753.4,35592.056392
AMW5,S_Tree,WS,358.05366,168.29999999999998,4.05756,316.79999999999995,54457.0,55304.21122
MAW5,S_Tree,WS,667.04946,254.1,3.96396,387.2,60813.0,62125.31342
AMW10,S_Tree,WS,319.150944,560.28,3.616704,566.7199999999999,77020.8,78470.567648
MAW10,S_Tree,WS,603.32805,848.25,3.6504,686.4,87826.0,89967.62845
AMM,PCA,IS,369.30323519999996,14.904,4.1850432,7.9074e-11,32433.46,32821.85227840008
MAW,PCA,IS,711.884264,24.080000000000002,4.132128,1.0696e-10,34753.4,35493.49639200011
AMW5,PCA,IS,358.05366,168.29999999999998,4.05756,3.438e-10,54457.0,54987.411220000344
MAW5,PCA,IS,667.04946,254.1,3.96396,4.202e-10,60813.0,61738.11342000042
AMW10,PCA,IS,319.150944,560.28,3.616704,6.1502e-10,77020.8,77903.84764800062
MAW10,PCA,IS,603.32805,848.25,3.6504,7.449e-10,87826.0,89281.22845000075
AMM,S_Tree,IS,369.30323519999996,14.904,4.1850432,72.86399999999999,32433.46,32894.716278399996
MAW,S_Tree,IS,711.884264,24.080000000000002,4.132128,98.55999999999999,34753.4,35592.056392
AMW5,S_Tree,IS,358.05366,168.29999999999998,4.05756,316.79999999999995,54457.0,55304.21122
MAW5,S_Tree,IS,667.04946,254.1,3.96396,387.2,60813.0,62125.31342
AMW10,S_Tree,IS,319.150944,560.28,3.616704,566.7199999999999,77020.8,78470.567648
MAW10,S_Tree,IS,603.32805,848.25,3.6504,686.4,87826.0,89967.62845
HEANA,PCA,OS,381.4668728,7.5920000000000005,4.3228848,1.9864e-11,27507.56,27900.94175760002
HEANA5,PCA,OS,376.885548,77.22,4.270968,6.876e-11,31575.4,32033.77651600007
HEANA10,PCA,OS,345.361408,259.84000000000003,3.913728,1.2223999999999998e-10,36024.6,36633.71513600012
HEANA,PCA,WS,381.4668728,7.5920000000000005,4.3228848,1.9864e-11,27507.56,27900.94175760002
HEANA5,PCA,WS,376.885548,77.22,4.270968,6.876e-11,31575.4,32033.77651600007
HEANA10,PCA,WS,345.361408,259.84000000000003,3.913728,1.2223999999999998e-10,36024.6,36633.71513600012
HEANA,PCA,IS,381.4668728,7.5920000000000005,4.3228848,1.9864e-11,27507.56,27900.94175760002
HEANA5,PCA,IS,376.885548,77.22,4.270968,6.876e-11,31575.4,32033.77651600007
HEANA10,PCA,IS,345.361408,259.84000000000003,3.913728,1.2223999999999998e-10,36024.6,36633.71513600012
