DPU,reduction_network,dataflow,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter
AMW,S_Tree,IS,500258488,23644760,125437854,9584937
AMW,S_Tree,WS,250129244,47227588,14358817,9584937
AMW,S_Tree,OS,500258488,47227588,125437854,9584937
AMW,ST_Tree_Ac,IS,500258488,23644760,125437854,9584937
AMW,ST_Tree_Ac,WS,250129244,47227588,14358817,9584937
AMW,ST_Tree_Ac,OS,500258488,47227588,125437854,9584937
AMW,STIFT,IS,500258488,23644760,125437854,9584937
AMW,STIFT,WS,250129244,47227588,14358817,9584937
AMW,STIFT,OS,500258488,47227588,125437854,9584937
AMW,PCA,IS,250129244,23644760,125437854,9584937
AMW,PCA,WS,0,47227588,14358817,9584937
AMW,PCA,OS,250129244,47227588,125437854,9584937
MAW,S_Tree,IS,364491908,23644760,94163390,9584937
MAW,S_Tree,WS,182245954,84252380,14358817,9584937
MAW,S_Tree,OS,364491908,84252380,94163390,9584937
MAW,ST_Tree_Ac,IS,364491908,23644760,94163390,9584937
MAW,ST_Tree_Ac,WS,182245954,84252380,14358817,9584937
MAW,ST_Tree_Ac,OS,364491908,84252380,94163390,9584937
MAW,STIFT,IS,364491908,23644760,94163390,9584937
MAW,STIFT,WS,182245954,84252380,14358817,9584937
MAW,STIFT,OS,364491908,84252380,94163390,9584937
MAW,PCA,IS,182245954,23644760,94163390,9584937
MAW,PCA,WS,0,84252380,14358817,9584937
MAW,PCA,OS,182245954,84252380,94163390,9584937
AMW,S_Tree,RIS,24003588,23644760,3735099460,11104770
AMW,S_Tree,RWS,24003588,3735099460,14358817,11104770
AMW,S_Tree,ROS,24003588,3735099460,44343745,9584937
AMW,ST_Tree_Ac,RIS,0,23644760,3735099460,11104770
AMW,ST_Tree_Ac,RWS,0,3735099460,14358817,11104770
AMW,ST_Tree_Ac,ROS,0,3735099460,44343745,9584937
AMW,STIFT,RIS,0,23644760,3735099460,11104770
AMW,STIFT,RWS,0,3735099460,14358817,11104770
AMW,STIFT,ROS,0,3735099460,44343745,9584937
AMW,PCA,RIS,0,23644760,3735099460,11104770
AMW,PCA,RWS,0,3735099460,14358817,11104770
AMW,PCA,ROS,0,3735099460,44343745,9584937
MAW,S_Tree,RIS,21551618,23644760,3735099460,9584937
MAW,S_Tree,RWS,21551618,3735099460,14358817,9584937
MAW,S_Tree,ROS,21551618,3735099460,77684707,9584937
MAW,ST_Tree_Ac,RIS,0,23644760,3735099460,9584937
MAW,ST_Tree_Ac,RWS,0,3735099460,14358817,9584937
MAW,ST_Tree_Ac,ROS,0,3735099460,77684707,9584937
MAW,STIFT,RIS,0,23644760,3735099460,9584937
MAW,STIFT,RWS,0,3735099460,14358817,9584937
MAW,STIFT,ROS,0,3735099460,77684707,9584937
MAW,PCA,RIS,0,23644760,3735099460,9584937
MAW,PCA,RWS,0,3735099460,14358817,9584937
MAW,PCA,ROS,0,3735099460,77684707,9584937
