DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,S_Tree,WS,32,285743634,47227588,14358817,9584937,356914976,7470198920,516960952
AMM,S_Tree,OS,32,285743634,47227588,120950628,9584937,463506787,7470198920,516960952
AMM,S_Tree,IS,32,285743634,23644760,120950628,9584937,439923959,7470198920,516960952
AMM,ST_Tree_Ac,WS,32,285743634,47227588,14358817,9584937,356914976,7470198920,516960952
AMM,ST_Tree_Ac,OS,32,285743634,47227588,120950628,9584937,463506787,7470198920,516960952
AMM,ST_Tree_Ac,IS,32,285743634,23644760,120950628,9584937,439923959,7470198920,516960952
AMM,STIFT,WS,32,285743634,47227588,14358817,9584937,356914976,7470198920,516960952
AMM,STIFT,OS,32,285743634,47227588,120950628,9584937,463506787,7470198920,516960952
AMM,STIFT,IS,32,285743634,23644760,120950628,9584937,439923959,7470198920,516960952
AMM,PCA,WS,32,0,47227588,14358817,9584937,71171342,7470198920,516960952
AMM,PCA,OS,32,0,47227588,120950628,9584937,177763153,7470198920,516960952
AMM,PCA,IS,32,0,23644760,120950628,9584937,154180325,7470198920,516960952
