DPU,reduction_network,dataflow,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access
AMM,S_Tree,IS,19464192,1557504,9864192,110592.0,30996480.0
AMM,S_Tree,WS,19464192,3115008,519168,110592.0,23208960.0
AMM,S_Tree,OS,19464192,3115008,9864192,110592.0,32553984.0
AMM,ST_Tree_Ac,IS,19464192,1557504,9864192,110592.0,30996480.0
AMM,ST_Tree_Ac,WS,19464192,3115008,519168,110592.0,23208960.0
AMM,ST_Tree_Ac,OS,19464192,3115008,9864192,110592.0,32553984.0
AMM,STIFT,IS,19464192,1557504,9864192,110592.0,30996480.0
AMM,STIFT,WS,19464192,3115008,519168,110592.0,23208960.0
AMM,STIFT,OS,19464192,3115008,9864192,110592.0,32553984.0
AMM,PCA,IS,0,1557504,9864192,110592.0,11532288.0
AMM,PCA,WS,0,3115008,519168,110592.0,3744768.0
AMM,PCA,OS,0,3115008,9864192,110592.0,13089792.0
MAM,S_Tree,IS,13713408,1557504,7268352,110592.0,22649856.0
MAM,S_Tree,WS,13713408,6230016,519168,110592.0,20573184.0
MAM,S_Tree,OS,13713408,6230016,7268352,110592.0,27322368.0
MAM,ST_Tree_Ac,IS,13713408,1557504,7268352,110592.0,22649856.0
MAM,ST_Tree_Ac,WS,13713408,6230016,519168,110592.0,20573184.0
MAM,ST_Tree_Ac,OS,13713408,6230016,7268352,110592.0,27322368.0
MAM,STIFT,IS,13713408,1557504,7268352,110592.0,22649856.0
MAM,STIFT,WS,13713408,6230016,519168,110592.0,20573184.0
MAM,STIFT,OS,13713408,6230016,7268352,110592.0,27322368.0
MAM,PCA,IS,0,1557504,7268352,110592.0,8936448.0
MAM,PCA,WS,0,6230016,519168,110592.0,6859776.0
MAM,PCA,OS,0,6230016,7268352,110592.0,13608960.0
AMM,S_Tree,RIS,663552,1557504,299040768,110592.0,301372416.0
AMM,S_Tree,RWS,663552,299040768,519168,110592.0,300334080.0
AMM,S_Tree,ROS,663552,299040768,3115008,110592.0,302929920.0
AMM,ST_Tree_Ac,RIS,0,1557504,299040768,110592.0,300708864.0
AMM,ST_Tree_Ac,RWS,0,299040768,519168,110592.0,299670528.0
AMM,ST_Tree_Ac,ROS,0,299040768,3115008,110592.0,302266368.0
AMM,STIFT,RIS,0,1557504,299040768,110592.0,300708864.0
AMM,STIFT,RWS,0,299040768,519168,110592.0,299670528.0
AMM,STIFT,ROS,0,299040768,3115008,110592.0,302266368.0
AMM,PCA,RIS,0,1557504,299040768,110592.0,300708864.0
AMM,PCA,RWS,0,299040768,519168,110592.0,299670528.0
AMM,PCA,ROS,0,299040768,3115008,110592.0,302266368.0
MAM,S_Tree,RIS,442368,1557504,299040768,110592.0,301151232.0
MAM,S_Tree,RWS,442368,299040768,519168,110592.0,300112896.0
MAM,S_Tree,ROS,442368,299040768,6230016,110592.0,305823744.0
MAM,ST_Tree_Ac,RIS,0,1557504,299040768,110592.0,300708864.0
MAM,ST_Tree_Ac,RWS,0,299040768,519168,110592.0,299670528.0
MAM,ST_Tree_Ac,ROS,0,299040768,6230016,110592.0,305381376.0
MAM,STIFT,RIS,0,1557504,299040768,110592.0,300708864.0
MAM,STIFT,RWS,0,299040768,519168,110592.0,299670528.0
MAM,STIFT,ROS,0,299040768,6230016,110592.0,305381376.0
MAM,PCA,RIS,0,1557504,299040768,110592.0,300708864.0
MAM,PCA,RWS,0,299040768,519168,110592.0,299670528.0
MAM,PCA,ROS,0,299040768,6230016,110592.0,305381376.0
