DPU,reduction_network,dataflow,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access
AMM,S_Tree,IS,250129244,23644760,125437854,9584937.0,408796795.0
AMM,S_Tree,WS,250129244,47227588,14358817,9584937.0,321300586.0
AMM,S_Tree,OS,250129244,47227588,125437854,9584937.0,432379623.0
AMM,ST_Tree_Ac,IS,250129244,23644760,125437854,9584937.0,408796795.0
AMM,ST_Tree_Ac,WS,250129244,47227588,14358817,9584937.0,321300586.0
AMM,ST_Tree_Ac,OS,250129244,47227588,125437854,9584937.0,432379623.0
AMM,STIFT,IS,250129244,23644760,125437854,9584937.0,408796795.0
AMM,STIFT,WS,250129244,47227588,14358817,9584937.0,321300586.0
AMM,STIFT,OS,250129244,47227588,125437854,9584937.0,432379623.0
AMM,PCA,IS,0,23644760,125437854,9584937.0,158667551.0
AMM,PCA,WS,0,47227588,14358817,9584937.0,71171342.0
AMM,PCA,OS,0,47227588,125437854,9584937.0,182250379.0
MAM,S_Tree,IS,182245954,23644760,94163390,9584937.0,309639041.0
MAM,S_Tree,WS,182245954,47227588,14358817,9584937.0,253417296.0
MAM,S_Tree,OS,182245954,47227588,94163390,9584937.0,333221869.0
MAM,ST_Tree_Ac,IS,182245954,23644760,94163390,9584937.0,309639041.0
MAM,ST_Tree_Ac,WS,182245954,47227588,14358817,9584937.0,253417296.0
MAM,ST_Tree_Ac,OS,182245954,47227588,94163390,9584937.0,333221869.0
MAM,STIFT,IS,182245954,23644760,94163390,9584937.0,309639041.0
MAM,STIFT,WS,182245954,47227588,14358817,9584937.0,253417296.0
MAM,STIFT,OS,182245954,47227588,94163390,9584937.0,333221869.0
MAM,PCA,IS,0,23644760,94163390,9584937.0,127393087.0
MAM,PCA,WS,0,47227588,14358817,9584937.0,71171342.0
MAM,PCA,OS,0,47227588,94163390,9584937.0,150975915.0
AMM,S_Tree,RIS,24003588,23644760,3735099460,9584937.0,3792332745.0
AMM,S_Tree,RWS,24003588,3735099460,14358817,9584937.0,3783046802.0
AMM,S_Tree,ROS,24003588,3735099460,44229185,9584937.0,3812917170.0
AMM,ST_Tree_Ac,RIS,0,23644760,3735099460,9584937.0,3768329157.0
AMM,ST_Tree_Ac,RWS,0,3735099460,14358817,9584937.0,3759043214.0
AMM,ST_Tree_Ac,ROS,0,3735099460,44229185,9584937.0,3788913582.0
AMM,STIFT,RIS,0,23644760,3735099460,9584937.0,3768329157.0
AMM,STIFT,RWS,0,3735099460,14358817,9584937.0,3759043214.0
AMM,STIFT,ROS,0,3735099460,44229185,9584937.0,3788913582.0
AMM,PCA,RIS,0,23644760,3735099460,9584937.0,3768329157.0
AMM,PCA,RWS,0,3735099460,14358817,9584937.0,3759043214.0
AMM,PCA,ROS,0,3735099460,44229185,9584937.0,3788913582.0
