DPU,reduction_network,dataflow,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access
AMM,S_Tree,IS,60820588,5976328,29126398,5509729.0,101433043.0
AMM,S_Tree,WS,60820588,12784584,6481309,5509729.0,85596210.0
AMM,S_Tree,OS,60820588,12784584,29126398,5509729.0,108241299.0
AMM,ST_Tree_Ac,IS,60820588,5976328,29126398,5509729.0,101433043.0
AMM,ST_Tree_Ac,WS,60820588,12784584,6481309,5509729.0,85596210.0
AMM,ST_Tree_Ac,OS,60820588,12784584,29126398,5509729.0,108241299.0
AMM,STIFT,IS,60820588,5976328,29126398,5509729.0,101433043.0
AMM,STIFT,WS,60820588,12784584,6481309,5509729.0,85596210.0
AMM,STIFT,OS,60820588,12784584,29126398,5509729.0,108241299.0
AMM,PCA,IS,0,5976328,29126398,5509729.0,40612455.0
AMM,PCA,WS,0,12784584,6481309,5509729.0,24775622.0
AMM,PCA,OS,0,12784584,29126398,5509729.0,47420711.0
MAM,S_Tree,IS,46843906,5976328,22540788,5509729.0,80870751.0
MAM,S_Tree,WS,46843906,12784584,6481309,5509729.0,71619528.0
MAM,S_Tree,OS,46843906,12784584,22540788,5509729.0,87679007.0
MAM,ST_Tree_Ac,IS,46843906,5976328,22540788,5509729.0,80870751.0
MAM,ST_Tree_Ac,WS,46843906,12784584,6481309,5509729.0,71619528.0
MAM,ST_Tree_Ac,OS,46843906,12784584,22540788,5509729.0,87679007.0
MAM,STIFT,IS,46843906,5976328,22540788,5509729.0,80870751.0
MAM,STIFT,WS,46843906,12784584,6481309,5509729.0,71619528.0
MAM,STIFT,OS,46843906,12784584,22540788,5509729.0,87679007.0
MAM,PCA,IS,0,5976328,22540788,5509729.0,34026845.0
MAM,PCA,WS,0,12784584,6481309,5509729.0,24775622.0
MAM,PCA,OS,0,12784584,22540788,5509729.0,40835101.0
AMM,S_Tree,RIS,11196776,5976328,853244932,5509729.0,875927765.0
AMM,S_Tree,RWS,11196776,853244932,6481309,5509729.0,876432746.0
AMM,S_Tree,ROS,11196776,853244932,13117095,5509729.0,883068532.0
AMM,ST_Tree_Ac,RIS,0,5976328,853244932,5509729.0,864730989.0
AMM,ST_Tree_Ac,RWS,0,853244932,6481309,5509729.0,865235970.0
AMM,ST_Tree_Ac,ROS,0,853244932,13117095,5509729.0,871871756.0
AMM,STIFT,RIS,0,5976328,853244932,5509729.0,864730989.0
AMM,STIFT,RWS,0,853244932,6481309,5509729.0,865235970.0
AMM,STIFT,ROS,0,853244932,13117095,5509729.0,871871756.0
AMM,PCA,RIS,0,5976328,853244932,5509729.0,864730989.0
AMM,PCA,RWS,0,853244932,6481309,5509729.0,865235970.0
AMM,PCA,ROS,0,853244932,13117095,5509729.0,871871756.0
MAM,S_Tree,RIS,11100596,5976328,853244932,5509729.0,875831585.0
MAM,S_Tree,RWS,11100596,853244932,6481309,5509729.0,876336566.0
MAM,S_Tree,ROS,11100596,853244932,13117095,5509729.0,882972352.0
MAM,ST_Tree_Ac,RIS,0,5976328,853244932,5509729.0,864730989.0
MAM,ST_Tree_Ac,RWS,0,853244932,6481309,5509729.0,865235970.0
MAM,ST_Tree_Ac,ROS,0,853244932,13117095,5509729.0,871871756.0
MAM,STIFT,RIS,0,5976328,853244932,5509729.0,864730989.0
MAM,STIFT,RWS,0,853244932,6481309,5509729.0,865235970.0
MAM,STIFT,ROS,0,853244932,13117095,5509729.0,871871756.0
MAM,PCA,RIS,0,5976328,853244932,5509729.0,864730989.0
MAM,PCA,RWS,0,853244932,6481309,5509729.0,865235970.0
MAM,PCA,ROS,0,853244932,13117095,5509729.0,871871756.0
