DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,S_Tree,RIS,1,76800,25600,1228800,19200.0,1350400.0,2457600,-47079014400
AMM,S_Tree,RIS,2,76800,25600,614400,19200.0,736000.0,1843200,-17645260800
AMM,S_Tree,RIS,4,76800,25600,307200,19200.0,428800.0,1536000,-7352064000
AMM,S_Tree,RIS,8,76800,25600,153600,19200.0,275200.0,1382400,-3311385600
AMM,S_Tree,RIS,40,76800,25600,30720,19200.0,152320.0,1259520,-609684480
AMM,S_Tree,RWS,1,76800,1228800,3072,19200.0,1327872.0,2457600,-47187148800
AMM,S_Tree,RWS,2,76800,614400,3072,19200.0,713472.0,1843200,-17726361600
AMM,S_Tree,RWS,4,76800,307200,3072,19200.0,406272.0,1536000,-7419648000
AMM,S_Tree,RWS,8,76800,153600,3072,19200.0,252672.0,1382400,-3372211200
AMM,S_Tree,RWS,40,128000,51200,3072,19200.0,201472.0,1280000,-1411200000
