DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,S_Tree,RIS,1,21861788,23644760,3735099460,9584937.0,3790190945.0,7470198920,27508661880
AMM,S_Tree,RIS,2,25533984,23644760,1872563512,9584937.0,1931327193.0,5607662972,14819524228
AMM,S_Tree,RIS,4,33344584,23644760,936281756,9584937.0,1002856037.0,4671381216,8666452384
AMM,S_Tree,RIS,8,49463776,23644760,473154660,9584937.0,555848133.0,4208254120,5684501080
AMM,S_Tree,RIS,40,206804800,23644760,98743400,9584937.0,338777897.0,3833842860,4438349140
AMM,S_Tree,RWS,1,21861788,3735099460,14358817,9584937.0,3780905002.0,7470198920,27508661880
AMM,S_Tree,RWS,2,25537056,1871045432,14358817,9584937.0,1920526242.0,5606144892,14823499908
AMM,S_Tree,RWS,4,33361608,935525404,14358817,9584937.0,992830766.0,4670624864,8674018336
AMM,S_Tree,RWS,8,49386720,471258404,14358817,9584937.0,544588878.0,4206357864,5670986136
AMM,S_Tree,RWS,40,215685920,102666760,14358817,9584937.0,342296434.0,3837766220,4789670580
AMM,S_Tree,ROS,1,21861788,3735099460,77684707,9584937.0,3844230892.0,7470198920,27508661880
AMM,S_Tree,ROS,2,25537056,1871045432,77684707,9584937.0,1983852132.0,7470198920,12959445880
AMM,S_Tree,ROS,4,33361608,935525404,77684707,9584937.0,1056156656.0,7470198920,5874444280
AMM,S_Tree,ROS,8,49386720,471258404,77684707,9584937.0,607914768.0,7470198920,2407145080
AMM,S_Tree,ROS,40,215685920,102666760,77684707,9584937.0,405622324.0,7470198920,1157237880
AMM,ST_Tree_Ac,RIS,1,0,23644760,3735099460,9584937.0,3768329157.0,7470198920,27508661880
AMM,ST_Tree_Ac,RIS,2,0,23644760,1872563512,9584937.0,1905793209.0,5607662972,14819524228
AMM,ST_Tree_Ac,RIS,4,0,23644760,936281756,9584937.0,969511453.0,4671381216,8666452384
AMM,ST_Tree_Ac,RIS,8,0,23644760,473154660,9584937.0,506384357.0,4208254120,5684501080
AMM,ST_Tree_Ac,RIS,40,0,23644760,98743400,9584937.0,131973097.0,3833842860,4438349140
AMM,ST_Tree_Ac,RWS,1,0,3735099460,14358817,9584937.0,3759043214.0,7470198920,27508661880
AMM,ST_Tree_Ac,RWS,2,0,1871045432,14358817,9584937.0,1894989186.0,5606144892,14823499908
AMM,ST_Tree_Ac,RWS,4,0,935525404,14358817,9584937.0,959469158.0,4670624864,8674018336
AMM,ST_Tree_Ac,RWS,8,0,471258404,14358817,9584937.0,495202158.0,4206357864,5670986136
AMM,ST_Tree_Ac,RWS,40,0,102666760,14358817,9584937.0,126610514.0,3837766220,4789670580
AMM,ST_Tree_Ac,ROS,1,0,3735099460,77684707,9584937.0,3822369104.0,7470198920,27508661880
AMM,ST_Tree_Ac,ROS,2,0,1871045432,77684707,9584937.0,1958315076.0,7470198920,12959445880
AMM,ST_Tree_Ac,ROS,4,0,935525404,77684707,9584937.0,1022795048.0,7470198920,5874444280
AMM,ST_Tree_Ac,ROS,8,0,471258404,77684707,9584937.0,558528048.0,7470198920,2407145080
AMM,ST_Tree_Ac,ROS,40,0,102666760,77684707,9584937.0,189936404.0,7470198920,1157237880
AMM,STIFT,RIS,1,0,23644760,3735099460,9584937.0,3768329157.0,7470198920,27508661880
