DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,GoogLeNet,S_Tree,WS,36,213287714,28879160,14358817,9584937,266110628,7470198920,969472312
AMM,ResNet50,S_Tree,WS,36,565474726,76122680,37150242,33063506,711811154,19486902408,2810406936
AMM,ShuffleNet_V2,S_Tree,WS,36,619356440,84918272,43631551,38573235,786479498,21193392272,3236697616
AMM,GoogLeNet,S_Tree,WS,43,184868932,27608248,14358817,9584937,236420934,7470198920,-3047751088
AMM,ResNet50,S_Tree,WS,43,490877970,67447736,37150242,33063506,628539454,19486902408,-7933756320
AMM,ShuffleNet_V2,S_Tree,WS,43,538403400,74083408,43631551,38573235,694691594,21193392272,-8469361172
HEANA,GoogLeNet,PCA,WS,73,0,83345052,14358817,9584937,107288806,7470198920,2375331082
HEANA,ResNet50,PCA,WS,73,0,214875292,37150242,33063506,285089040,19486902408,6039156804
HEANA,ShuffleNet_V2,PCA,WS,73,0,234422660,43631551,38573235,316627446,21193392272,6946253674
AMM,GoogLeNet,S_Tree,IS,36,213287714,23644760,114268531,9584937,360785942,7470198920,969472312
AMM,ResNet50,S_Tree,IS,36,565474726,57493848,297227692,33063506,953259772,19486902408,2810406936
AMM,ShuffleNet_V2,S_Tree,IS,36,619356440,63470176,323516005,38573235,1044915856,21193392272,3236697616
AMM,GoogLeNet,S_Tree,IS,43,184868932,23644760,94780526,9584937,312879155,7470198920,-3047751088
AMM,ResNet50,S_Tree,IS,43,490877970,57493848,243459742,33063506,824895066,19486902408,-7933756320
AMM,ShuffleNet_V2,S_Tree,IS,43,538403400,63470176,266000530,38573235,906447341,21193392272,-8469361172
HEANA,GoogLeNet,PCA,IS,73,0,23644760,62427985,9584937,95657682,7470198920,2375331082
HEANA,ResNet50,PCA,IS,73,0,57493848,160405358,33063506,250962712,19486902408,6039156804
HEANA,ShuffleNet_V2,PCA,IS,73,0,63470176,176310361,38573235,278353772,21193392272,6946253674
AMM,GoogLeNet,S_Tree,OS,36,213287714,28879160,114268531,9584937,366020342,7470198920,969472312
AMM,ResNet50,S_Tree,OS,36,565474726,76122680,297227692,33063506,971888604,19486902408,2810406936
AMM,ShuffleNet_V2,S_Tree,OS,36,619356440,84918272,323516005,38573235,1066363952,21193392272,3236697616
AMM,GoogLeNet,S_Tree,OS,43,184868932,27608248,94780526,9584937,316842643,7470198920,-3047751088
AMM,ResNet50,S_Tree,OS,43,490877970,67447736,243459742,33063506,834848954,19486902408,-7933756320
AMM,ShuffleNet_V2,S_Tree,OS,43,538403400,74083408,266000530,38573235,917060573,21193392272,-8469361172
HEANA,GoogLeNet,PCA,OS,73,0,83345052,62427985,9584937,155357974,7470198920,2375331082
HEANA,ResNet50,PCA,OS,73,0,214875292,160405358,33063506,408344156,19486902408,6039156804
HEANA,ShuffleNet_V2,PCA,OS,73,0,234422660,176310361,38573235,449306256,21193392272,6946253674
