DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,GoogLeNet,S_Tree,WS,36,213287714,28879160,14358817,9584937,266110628,7470198920,969472312
AMM,ResNet50,S_Tree,WS,36,565474726,76122680,37150242,33063506,711811154,19486902408,2810406936
AMM,ShuffleNet_V2,S_Tree,WS,36,619356440,84918272,43631551,38573235,786479498,21193392272,3236697616
MAW,GoogLeNet,S_Tree,WS,43,184868932,27608248,14358817,9584937,236420934,7470198920,-3047751088
MAW,ResNet50,S_Tree,WS,43,490877970,67447736,37150242,33063506,628539454,19486902408,-7933756320
MAW,ShuffleNet_V2,S_Tree,WS,43,538403400,74083408,43631551,38573235,694691594,21193392272,-8469361172
HEANA,GoogLeNet,PCA,WS,73,0,83345052,14358817,9584937,107288806,7470198920,2375331082
HEANA,ResNet50,PCA,WS,73,0,214875292,37150242,33063506,285089040,19486902408,6039156804
HEANA,ShuffleNet_V2,PCA,WS,73,0,234422660,43631551,38573235,316627446,21193392272,6946253674
AMW5,GoogLeNet,S_Tree,WS,17,448140696,23644760,14358817,9584937,495729210,7470198920,333311454
AMW5,ResNet50,S_Tree,WS,17,1175324456,58748248,37150242,33063506,1304286452,19486902408,1057809344
AMW5,ShuffleNet_V2,S_Tree,WS,17,1278798416,64770048,43631551,38573235,1425773250,21193392272,1202624002
MAW5,GoogLeNet,S_Tree,WS,21,364940080,23644760,14358817,9584937,412528594,7470198920,-3393772874
MAW5,ResNet50,S_Tree,WS,21,966837436,57769816,37150242,33063506,1094821000,19486902408,-8580556650
MAW5,ShuffleNet_V2,S_Tree,WS,21,1055444306,63746144,43631551,38573235,1201395236,21193392272,-9197737832
HEANA5,GoogLeNet,PCA,WS,39,0,32913784,14358817,9584937,56857538,7470198920,651895450
HEANA5,ResNet50,PCA,WS,39,0,81411704,37150242,33063506,151625452,19486902408,2518420620
HEANA5,ShuffleNet_V2,PCA,WS,39,0,90252768,43631551,38573235,172457554,21193392272,2979072850
AMW10,GoogLeNet,S_Tree,WS,12,631715010,23644760,14358817,9584937,679303524,7470198920,308879512
AMW10,ResNet50,S_Tree,WS,12,1665707086,57769816,37150242,33063506,1793690650,19486902408,1043591736
AMW10,ShuffleNet_V2,S_Tree,WS,12,1816918820,63746144,43631551,38573235,1962869750,21193392272,1236176464
MAW10,GoogLeNet,S_Tree,WS,15,506417426,23644760,14358817,9584937,554005940,7470198920,-3342907640
MAW10,ResNet50,S_Tree,WS,15,1336472790,57769816,37150242,33063506,1464456354,19486902408,-8535553608
MAW10,ShuffleNet_V2,S_Tree,WS,15,1459075202,63746144,43631551,38573235,1605026132,21193392272,-9228440672
HEANA10,GoogLeNet,PCA,WS,28,0,25764184,14358817,9584937,49707938,7470198920,837602904
HEANA10,ResNet50,PCA,WS,28,0,65327704,37150242,33063506,135541452,19486902408,2079019928
HEANA10,ShuffleNet_V2,PCA,WS,28,0,71963376,43631551,38573235,154168162,21193392272,2261255056
