DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,GoogLeNet,S_Tree,RIS,1,25260528,23644760,3735099460,9584937.0,3793589685.0,7470198920,14354897272
AMM,GoogLeNet,S_Tree,RIS,2,32836744,23644760,1872563512,9584937.0,1938629953.0,5607662972,8577810436
AMM,GoogLeNet,S_Tree,RIS,4,47107352,23644760,936281756,9584937.0,1016618805.0,4671381216,5503806816
AMM,GoogLeNet,S_Tree,RIS,8,82528784,23644760,473154660,9584937.0,588913141.0,4208254120,4704854552
AMM,GoogLeNet,S_Tree,RIS,16,152440256,23644760,241595208,9584937.0,427265161.0,3976694668,4255079156
AMM,GoogLeNet,S_Tree,RIS,32,295820736,23644760,120950628,9584937.0,450001061.0,3856050088,4131109784
AMM,GoogLeNet,S_Tree,RWS,1,25260528,3735099460,14358817,9584937.0,3784303742.0,7470198920,14354897272
AMM,GoogLeNet,S_Tree,RWS,2,32833288,1871045432,14358817,9584937.0,1927822474.0,5606144892,8577835524
AMM,GoogLeNet,S_Tree,RWS,4,47111320,935525404,14358817,9584937.0,1006580478.0,4670624864,5505420256
AMM,GoogLeNet,S_Tree,RWS,8,82321808,471258404,14358817,9584937.0,577523966.0,4206357864,4684397400
AMM,GoogLeNet,S_Tree,RWS,16,151180608,239198632,14358817,9584937.0,414322994.0,3974298092,4189454740
AMM,GoogLeNet,S_Tree,RWS,32,293830976,119954484,14358817,9584937.0,437729214.0,3855053944,4078382408
AMM,GoogLeNet,S_Tree,ROS,1,25260528,3735099460,44229185,9584937.0,3814174110.0,7470198920,14354897272
AMM,GoogLeNet,S_Tree,ROS,2,32833288,1871045432,44229185,9584937.0,1957692842.0,7470198920,6713781496
AMM,GoogLeNet,S_Tree,ROS,4,47111320,935525404,44229185,9584937.0,1036450846.0,7470198920,2705846200
AMM,GoogLeNet,S_Tree,ROS,8,82321808,471258404,44229185,9584937.0,607394334.0,7470198920,1420556344
AMM,GoogLeNet,S_Tree,ROS,16,151180608,239198632,44229185,9584937.0,444193362.0,7470198920,693553912
AMM,GoogLeNet,S_Tree,ROS,32,293830976,119954484,44229185,9584937.0,467599582.0,7470198920,463237432
AMM,GoogLeNet,ST_Tree_Ac,RIS,1,0,23644760,3735099460,9584937.0,3768329157.0,7470198920,14354897272
AMM,GoogLeNet,ST_Tree_Ac,RIS,2,32836744,23644760,1872563512,9584937.0,1938629953.0,5607662972,8577810436
AMM,GoogLeNet,ST_Tree_Ac,RIS,4,47107352,23644760,936281756,9584937.0,1016618805.0,4671381216,5503806816
AMM,GoogLeNet,ST_Tree_Ac,RIS,8,82528784,23644760,473154660,9584937.0,588913141.0,4208254120,4704854552
AMM,GoogLeNet,ST_Tree_Ac,RIS,16,152440256,23644760,241595208,9584937.0,427265161.0,3976694668,4255079156
AMM,GoogLeNet,ST_Tree_Ac,RIS,32,295820736,23644760,120950628,9584937.0,450001061.0,3856050088,4131109784
AMM,GoogLeNet,ST_Tree_Ac,RWS,1,0,3735099460,14358817,9584937.0,3759043214.0,7470198920,14354897272
AMM,GoogLeNet,ST_Tree_Ac,RWS,2,32833288,1871045432,14358817,9584937.0,1927822474.0,5606144892,8577835524
AMM,GoogLeNet,ST_Tree_Ac,RWS,4,47111320,935525404,14358817,9584937.0,1006580478.0,4670624864,5505420256
AMM,GoogLeNet,ST_Tree_Ac,RWS,8,82321808,471258404,14358817,9584937.0,577523966.0,4206357864,4684397400
AMM,GoogLeNet,ST_Tree_Ac,RWS,16,151180608,239198632,14358817,9584937.0,414322994.0,3974298092,4189454740
AMM,GoogLeNet,ST_Tree_Ac,RWS,32,293830976,119954484,14358817,9584937.0,437729214.0,3855053944,4078382408
AMM,GoogLeNet,ST_Tree_Ac,ROS,1,0,3735099460,44229185,9584937.0,3788913582.0,7470198920,14354897272
AMM,GoogLeNet,ST_Tree_Ac,ROS,2,0,1871045432,44229185,9584937.0,1924859554.0,7470198920,6713781496
AMM,GoogLeNet,ST_Tree_Ac,ROS,4,0,935525404,44229185,9584937.0,989339526.0,7470198920,2705846200
AMM,GoogLeNet,ST_Tree_Ac,ROS,8,0,471258404,44229185,9584937.0,525072526.0,7470198920,1420556344
AMM,GoogLeNet,ST_Tree_Ac,ROS,16,0,239198632,44229185,9584937.0,293012754.0,7470198920,693553912
AMM,GoogLeNet,ST_Tree_Ac,ROS,32,0,119954484,44229185,9584937.0,173768606.0,7470198920,463237432
AMM,GoogLeNet,STIFT,RIS,1,0,23644760,3735099460,9584937.0,3768329157.0,7470198920,14354897272
AMM,GoogLeNet,STIFT,RIS,2,32836744,23644760,1872563512,9584937.0,1938629953.0,5607662972,8577810436
AMM,GoogLeNet,STIFT,RIS,4,47107352,23644760,936281756,9584937.0,1016618805.0,4671381216,5503806816
AMM,GoogLeNet,STIFT,RIS,8,82528784,23644760,473154660,9584937.0,588913141.0,4208254120,4704854552
AMM,GoogLeNet,STIFT,RIS,16,152440256,23644760,241595208,9584937.0,427265161.0,3976694668,4255079156
AMM,GoogLeNet,STIFT,RIS,32,295820736,23644760,120950628,9584937.0,450001061.0,3856050088,4131109784
AMM,GoogLeNet,STIFT,RWS,1,0,3735099460,14358817,9584937.0,3759043214.0,7470198920,14354897272
AMM,GoogLeNet,STIFT,RWS,2,32833288,1871045432,14358817,9584937.0,1927822474.0,5606144892,8577835524
AMM,GoogLeNet,STIFT,RWS,4,47111320,935525404,14358817,9584937.0,1006580478.0,4670624864,5505420256
AMM,GoogLeNet,STIFT,RWS,8,82321808,471258404,14358817,9584937.0,577523966.0,4206357864,4684397400
AMM,GoogLeNet,STIFT,RWS,16,151180608,239198632,14358817,9584937.0,414322994.0,3974298092,4189454740
AMM,GoogLeNet,STIFT,RWS,32,293830976,119954484,14358817,9584937.0,437729214.0,3855053944,4078382408
AMM,GoogLeNet,STIFT,ROS,1,0,3735099460,44229185,9584937.0,3788913582.0,7470198920,14354897272
AMM,GoogLeNet,STIFT,ROS,2,0,1871045432,44229185,9584937.0,1924859554.0,7470198920,6713781496
AMM,GoogLeNet,STIFT,ROS,4,0,935525404,44229185,9584937.0,989339526.0,7470198920,2705846200
AMM,GoogLeNet,STIFT,ROS,8,0,471258404,44229185,9584937.0,525072526.0,7470198920,1420556344
AMM,GoogLeNet,STIFT,ROS,16,0,239198632,44229185,9584937.0,293012754.0,7470198920,693553912
AMM,GoogLeNet,STIFT,ROS,32,0,119954484,44229185,9584937.0,173768606.0,7470198920,463237432
AMM,GoogLeNet,PCA,RIS,1,0,23644760,3735099460,9584937.0,3768329157.0,7470198920,14354897272
AMM,GoogLeNet,PCA,RIS,2,0,23644760,1872563512,9584937.0,1905793209.0,5607662972,8577810436
AMM,GoogLeNet,PCA,RIS,4,0,23644760,936281756,9584937.0,969511453.0,4671381216,5503806816
AMM,GoogLeNet,PCA,RIS,8,0,23644760,473154660,9584937.0,506384357.0,4208254120,4704854552
AMM,GoogLeNet,PCA,RIS,16,0,23644760,241595208,9584937.0,274824905.0,3976694668,4255079156
AMM,GoogLeNet,PCA,RIS,32,0,23644760,120950628,9584937.0,154180325.0,3856050088,4131109784
AMM,GoogLeNet,PCA,RWS,1,0,3735099460,14358817,9584937.0,3759043214.0,7470198920,14354897272
AMM,GoogLeNet,PCA,RWS,2,0,1871045432,14358817,9584937.0,1894989186.0,5606144892,8577835524
AMM,GoogLeNet,PCA,RWS,4,0,935525404,14358817,9584937.0,959469158.0,4670624864,5505420256
AMM,GoogLeNet,PCA,RWS,8,0,471258404,14358817,9584937.0,495202158.0,4206357864,4684397400
AMM,GoogLeNet,PCA,RWS,16,0,239198632,14358817,9584937.0,263142386.0,3974298092,4189454740
AMM,GoogLeNet,PCA,RWS,32,0,119954484,14358817,9584937.0,143898238.0,3855053944,4078382408
AMM,GoogLeNet,PCA,ROS,1,0,3735099460,44229185,9584937.0,3788913582.0,7470198920,14354897272
AMM,GoogLeNet,PCA,ROS,2,0,1871045432,44229185,9584937.0,1924859554.0,7470198920,6713781496
AMM,GoogLeNet,PCA,ROS,4,0,935525404,44229185,9584937.0,989339526.0,7470198920,2705846200
AMM,GoogLeNet,PCA,ROS,8,0,471258404,44229185,9584937.0,525072526.0,7470198920,1420556344
AMM,GoogLeNet,PCA,ROS,16,0,239198632,44229185,9584937.0,293012754.0,7470198920,693553912
AMM,GoogLeNet,PCA,ROS,32,0,119954484,44229185,9584937.0,173768606.0,7470198920,463237432
AMM,GoogLeNet,S_Tree,WS,32,285743634,47227588,14358817,9584937.0,356914976.0,7470198920,516960952
AMM,GoogLeNet,S_Tree,OS,32,285743634,47227588,120950628,9584937.0,463506787.0,7470198920,516960952
AMM,GoogLeNet,S_Tree,IS,32,285743634,23644760,120950628,9584937.0,439923959.0,7470198920,516960952
AMM,GoogLeNet,ST_Tree_Ac,WS,32,285743634,47227588,14358817,9584937.0,356914976.0,7470198920,516960952
AMM,GoogLeNet,ST_Tree_Ac,OS,32,285743634,47227588,120950628,9584937.0,463506787.0,7470198920,516960952
AMM,GoogLeNet,ST_Tree_Ac,IS,32,285743634,23644760,120950628,9584937.0,439923959.0,7470198920,516960952
AMM,GoogLeNet,STIFT,WS,32,285743634,47227588,14358817,9584937.0,356914976.0,7470198920,516960952
AMM,GoogLeNet,STIFT,OS,32,285743634,47227588,120950628,9584937.0,463506787.0,7470198920,516960952
AMM,GoogLeNet,STIFT,IS,32,285743634,23644760,120950628,9584937.0,439923959.0,7470198920,516960952
AMM,GoogLeNet,PCA,WS,32,0,47227588,14358817,9584937.0,71171342.0,7470198920,516960952
AMM,GoogLeNet,PCA,OS,32,0,47227588,120950628,9584937.0,177763153.0,7470198920,516960952
AMM,GoogLeNet,PCA,IS,32,0,23644760,120950628,9584937.0,154180325.0,7470198920,516960952
