DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,MobileNet_V2,S_Tree,RIS,1,4834772,6093400,368076388,2252857.0,381257417.0,736152776,3441090232
AMM,MobileNet_V2,S_Tree,RIS,2,5286456,6093400,185492072,2252857.0,199124785.0,553568460,1730180532
AMM,MobileNet_V2,S_Tree,RIS,4,6143880,6093400,92746036,2252857.0,107236173.0,460822424,866255656
AMM,MobileNet_V2,S_Tree,RIS,8,9185472,6093400,47826896,2252857.0,65358625.0,415903284,576127692
AMM,MobileNet_V2,S_Tree,RIS,16,15265216,6093400,24440296,2252857.0,48051769.0,392516684,431804980
AMM,MobileNet_V2,S_Tree,RIS,32,32277376,6093400,12972788,2252857.0,53596421.0,381049176,490439976
AMM,MobileNet_V2,S_Tree,RWS,1,4834772,368076388,7439277,2252857.0,382603294.0,736152776,3441090232
AMM,MobileNet_V2,S_Tree,RWS,2,5281656,184704168,7439277,2252857.0,199677958.0,552780556,1728894836
AMM,MobileNet_V2,S_Tree,RWS,4,6136904,92352724,7439277,2252857.0,108181762.0,460429112,865142152
AMM,MobileNet_V2,S_Tree,RWS,8,9057152,46842336,7439277,2252857.0,65591622.0,414918724,563253692
AMM,MobileNet_V2,S_Tree,RWS,16,14966144,23873392,7439277,2252857.0,48531670.0,391949780,416221996
AMM,MobileNet_V2,S_Tree,RWS,32,30789376,12313656,7439277,2252857.0,52795166.0,380390044,450923108
AMM,MobileNet_V2,S_Tree,ROS,1,4834772,368076388,8634105,2252857.0,383798122.0,736152776,3441090232
AMM,MobileNet_V2,S_Tree,ROS,2,5281656,184704168,8634105,2252857.0,200872786.0,736152776,1545522616
AMM,MobileNet_V2,S_Tree,ROS,4,6136904,92352724,8634105,2252857.0,109376590.0,736152776,589418488
AMM,MobileNet_V2,S_Tree,ROS,8,9057152,46842336,8634105,2252857.0,66786450.0,736152776,242019640
AMM,MobileNet_V2,S_Tree,ROS,16,14966144,23873392,8634105,2252857.0,49726498.0,736152776,72019000
AMM,MobileNet_V2,S_Tree,ROS,32,30789376,12313656,8634105,2252857.0,53989994.0,736152776,95160376
AMM,MobileNet_V2,ST_Tree_Ac,RIS,1,0,6093400,368076388,2252857.0,376422645.0,736152776,3441090232
AMM,MobileNet_V2,ST_Tree_Ac,RIS,2,5286456,6093400,185492072,2252857.0,199124785.0,553568460,1730180532
AMM,MobileNet_V2,ST_Tree_Ac,RIS,4,6143880,6093400,92746036,2252857.0,107236173.0,460822424,866255656
AMM,MobileNet_V2,ST_Tree_Ac,RIS,8,9185472,6093400,47826896,2252857.0,65358625.0,415903284,576127692
AMM,MobileNet_V2,ST_Tree_Ac,RIS,16,15265216,6093400,24440296,2252857.0,48051769.0,392516684,431804980
AMM,MobileNet_V2,ST_Tree_Ac,RIS,32,32277376,6093400,12972788,2252857.0,53596421.0,381049176,490439976
AMM,MobileNet_V2,ST_Tree_Ac,RWS,1,0,368076388,7439277,2252857.0,377768522.0,736152776,3441090232
AMM,MobileNet_V2,ST_Tree_Ac,RWS,2,5281656,184704168,7439277,2252857.0,199677958.0,552780556,1728894836
AMM,MobileNet_V2,ST_Tree_Ac,RWS,4,6136904,92352724,7439277,2252857.0,108181762.0,460429112,865142152
AMM,MobileNet_V2,ST_Tree_Ac,RWS,8,9057152,46842336,7439277,2252857.0,65591622.0,414918724,563253692
AMM,MobileNet_V2,ST_Tree_Ac,RWS,16,14966144,23873392,7439277,2252857.0,48531670.0,391949780,416221996
AMM,MobileNet_V2,ST_Tree_Ac,RWS,32,30789376,12313656,7439277,2252857.0,52795166.0,380390044,450923108
AMM,MobileNet_V2,ST_Tree_Ac,ROS,1,0,368076388,8634105,2252857.0,378963350.0,736152776,3441090232
AMM,MobileNet_V2,ST_Tree_Ac,ROS,2,0,184704168,8634105,2252857.0,195591130.0,736152776,1545522616
AMM,MobileNet_V2,ST_Tree_Ac,ROS,4,0,92352724,8634105,2252857.0,103239686.0,736152776,589418488
AMM,MobileNet_V2,ST_Tree_Ac,ROS,8,0,46842336,8634105,2252857.0,57729298.0,736152776,242019640
AMM,MobileNet_V2,ST_Tree_Ac,ROS,16,0,23873392,8634105,2252857.0,34760354.0,736152776,72019000
AMM,MobileNet_V2,ST_Tree_Ac,ROS,32,0,12313656,8634105,2252857.0,23200618.0,736152776,95160376
AMM,MobileNet_V2,STIFT,RIS,1,0,6093400,368076388,2252857.0,376422645.0,736152776,3441090232
AMM,MobileNet_V2,STIFT,RIS,2,5286456,6093400,185492072,2252857.0,199124785.0,553568460,1730180532
AMM,MobileNet_V2,STIFT,RIS,4,6143880,6093400,92746036,2252857.0,107236173.0,460822424,866255656
AMM,MobileNet_V2,STIFT,RIS,8,9185472,6093400,47826896,2252857.0,65358625.0,415903284,576127692
AMM,MobileNet_V2,STIFT,RIS,16,15265216,6093400,24440296,2252857.0,48051769.0,392516684,431804980
AMM,MobileNet_V2,STIFT,RIS,32,32277376,6093400,12972788,2252857.0,53596421.0,381049176,490439976
AMM,MobileNet_V2,STIFT,RWS,1,0,368076388,7439277,2252857.0,377768522.0,736152776,3441090232
AMM,MobileNet_V2,STIFT,RWS,2,5281656,184704168,7439277,2252857.0,199677958.0,552780556,1728894836
AMM,MobileNet_V2,STIFT,RWS,4,6136904,92352724,7439277,2252857.0,108181762.0,460429112,865142152
AMM,MobileNet_V2,STIFT,RWS,8,9057152,46842336,7439277,2252857.0,65591622.0,414918724,563253692
AMM,MobileNet_V2,STIFT,RWS,16,14966144,23873392,7439277,2252857.0,48531670.0,391949780,416221996
AMM,MobileNet_V2,STIFT,RWS,32,30789376,12313656,7439277,2252857.0,52795166.0,380390044,450923108
AMM,MobileNet_V2,STIFT,ROS,1,0,368076388,8634105,2252857.0,378963350.0,736152776,3441090232
AMM,MobileNet_V2,STIFT,ROS,2,0,184704168,8634105,2252857.0,195591130.0,736152776,1545522616
AMM,MobileNet_V2,STIFT,ROS,4,0,92352724,8634105,2252857.0,103239686.0,736152776,589418488
AMM,MobileNet_V2,STIFT,ROS,8,0,46842336,8634105,2252857.0,57729298.0,736152776,242019640
AMM,MobileNet_V2,STIFT,ROS,16,0,23873392,8634105,2252857.0,34760354.0,736152776,72019000
AMM,MobileNet_V2,STIFT,ROS,32,0,12313656,8634105,2252857.0,23200618.0,736152776,95160376
AMM,MobileNet_V2,PCA,RIS,1,0,6093400,368076388,2252857.0,376422645.0,736152776,3441090232
AMM,MobileNet_V2,PCA,RIS,2,0,6093400,185492072,2252857.0,193838329.0,553568460,1730180532
