DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,ResNet50,S_Tree,RWS,1,52816102,6008351744,22791425,23478569.0,6107437840.0,12016703488,33616408640
AMM,ResNet50,S_Tree,ROS,1,52816102,6008351744,72227861,23478569.0,6156874276.0,12016703488,33616408640
AMM,ResNet50,S_Tree,RIS,1,52816102,33849088,6008351744,23478569.0,6118495503.0,12016703488,33616408640
AMM,ResNet50,ST_Tree_Ac,RWS,1,0,6008351744,22791425,23478569.0,6054621738.0,12016703488,33616408640
AMM,ResNet50,ST_Tree_Ac,ROS,1,0,6008351744,72227861,23478569.0,6104058174.0,12016703488,33616408640
AMM,ResNet50,ST_Tree_Ac,RIS,1,0,33849088,6008351744,23478569.0,6065679401.0,12016703488,33616408640
AMM,ResNet50,S_Tree,RWS,16,243346048,381516800,22791425,23478569.0,671132842.0,6389868544,6750818048
AMM,ResNet50,S_Tree,ROS,16,243346048,381516800,72227861,23478569.0,720569278.0,12016703488,1123983104
AMM,ResNet50,S_Tree,RIS,16,244832128,33849088,384124032,23478569.0,686283817.0,6392475776,6828459136
AMM,ResNet50,ST_Tree_Ac,RWS,16,243346048,381516800,22791425,23478569.0,671132842.0,6389868544,6750818048
AMM,ResNet50,ST_Tree_Ac,ROS,16,0,381516800,72227861,23478569.0,477223230.0,12016703488,1123983104
AMM,ResNet50,ST_Tree_Ac,RIS,16,244832128,33849088,384124032,23478569.0,686283817.0,6392475776,6828459136
