DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,ShuffleNet_V2,S_Tree,RWS,1,11213300,853244932,6481309,5509729.0,876449270.0,1706489864,7981801336
AMM,ShuffleNet_V2,S_Tree,ROS,1,11213300,853244932,13117095,5509729.0,883085056.0,1706489864,7981801336
AMM,ShuffleNet_V2,S_Tree,RIS,1,11213300,5976328,853244932,5509729.0,875944289.0,1706489864,7981801336
AMM,ShuffleNet_V2,ST_Tree_Ac,RWS,1,0,853244932,6481309,5509729.0,865235970.0,1706489864,7981801336
AMM,ShuffleNet_V2,ST_Tree_Ac,ROS,1,0,853244932,13117095,5509729.0,871871756.0,1706489864,7981801336
AMM,ShuffleNet_V2,ST_Tree_Ac,RIS,1,0,5976328,853244932,5509729.0,864730989.0,1706489864,7981801336
AMM,ShuffleNet_V2,S_Tree,RWS,16,35610752,56052416,6481309,5509729.0,103654206.0,909297348,1013683260
AMM,ShuffleNet_V2,S_Tree,ROS,16,35610752,56052416,13117095,5509729.0,110289992.0,1706489864,216490744
AMM,ShuffleNet_V2,S_Tree,RIS,16,35574976,5976328,56037992,5509729.0,103099025.0,909282924,1011765780
AMM,ShuffleNet_V2,ST_Tree_Ac,RWS,16,35610752,56052416,6481309,5509729.0,103654206.0,909297348,1013683260
AMM,ShuffleNet_V2,ST_Tree_Ac,ROS,16,0,56052416,13117095,5509729.0,74679240.0,1706489864,216490744
AMM,ShuffleNet_V2,ST_Tree_Ac,RIS,16,35574976,5976328,56037992,5509729.0,103099025.0,909282924,1011765780
