DPU,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,S_Tree,RIS,1,1.8432000000010372e-06,6.400000000000026e-13,2.2000000000000077e-06,8.191999999999978e-07,3.932160000000018e-05,1.2288e-06,5.9214930265988556e-06,0.06234368000000084,0.03816960000001362,0.10056461429368106
AMM,S_Tree,RIS,2,1.843200000000055e-06,3.1999999999999995e-13,1.0999999999999984e-06,8.191999999999983e-07,1.966079999999995e-05,1.2288e-06,2.960746513299425e-06,0.03180800000000022,0.019084800000000398,0.05092041274683392
AMM,S_Tree,RIS,4,1.8432000000000531e-06,1.599999999999997e-13,5.499999999999993e-07,8.191999999999995e-07,9.830399999999981e-06,1.2288e-06,1.4803732566497092e-06,0.016540160000000012,0.009542399999999094,0.026098311973415757
AMM,S_Tree,RIS,8,1.8432000000000491e-06,8.000000000000003e-14,2.7499999999999975e-07,8.19200000000001e-07,4.915199999999998e-06,1.2288e-06,7.401866283248529e-07,0.008906240000000006,0.004771199999999951,0.013687261586708282
AMM,S_Tree,RIS,40,3.6864000000000343e-06,3.200000000000001e-14,1.1000000000000003e-07,8.192000000000002e-07,9.8304e-07,1.2288e-06,1.3923732566497069e-07,0.0027991040000000023,0.0019084800000000303,0.004714550677357697
AMM,S_Tree,RWS,1,4.432274691396943e-05,6.144000000000024e-13,2.6399999999999977e-07,0.0013219546011770898,3.3048865029427183e-06,2.3667206270592003e-05,7.105791631918588e-07,0.061224038399999764,0.03816960000001362,0.10078786242065556
AMM,S_Tree,RWS,2,4.432274691397993e-05,3.0719999999999984e-13,1.3200000000000002e-07,0.0006609773005885466,3.304886502942719e-06,2.3667206270592003e-05,3.5528958159592957e-07,0.03068835839999989,0.019084800000000398,0.05050591783016515
AMM,S_Tree,RWS,4,4.432274691398869e-05,1.5359999999999974e-13,6.600000000000001e-08,0.0003304886502942719,3.304886502942721e-06,2.3667206270592003e-05,1.7764479079796484e-07,0.015420518399999965,0.009542399999999094,0.025364945534925253
AMM,S_Tree,RWS,8,4.432274691398593e-05,7.680000000000002e-14,3.3e-08,0.00016524432514713596,3.30488650294272e-06,2.3667206270592003e-05,8.88223953989824e-08,0.007786598400000002,0.004771199999999951,0.01279445938730681
AMM,S_Tree,RWS,40,0.00014774248971328058,5.120000000000002e-14,2.2e-08,5.508144171571199e-05,3.3048865029427204e-06,2.3667206270592003e-05,1.832373256649707e-08,0.0026973184,0.001908480000000065,0.004835634747986359
AMM,S_Tree,ROS,1,1.8432000000010372e-06,6.144000000000024e-13,2.1120000000000045e-06,3.932160000000016e-05,7.864319999999979e-07,1.228800000000005e-06,5.684633305534901e-06,0.06229278720000005,0.03816960000001362,0.10051336386593361
AMM,S_Tree,ROS,2,1.843200000000055e-06,3.0719999999999984e-13,1.0559999999999984e-06,1.9660799999999986e-05,7.864319999999984e-07,1.2287999999999991e-06,2.8423166527674476e-06,0.03175710719999993,0.019084800000000398,0.0508693247489603
AMM,S_Tree,ROS,4,1.8432000000000531e-06,1.5359999999999974e-13,5.279999999999993e-07,9.830399999999988e-06,7.864319999999996e-07,1.2287999999999985e-06,1.4211583263837206e-06,0.016489267199999963,0.009542399999999094,0.026047305190479042
AMM,S_Tree,ROS,8,1.8432000000000491e-06,7.680000000000002e-14,2.6399999999999977e-07,4.9152000000000025e-06,7.864320000000009e-07,1.2288000000000006e-06,7.105791631918588e-07,0.008855347200000004,0.004771199999999951,0.013636295411239948
AMM,S_Tree,ROS,40,6.144000000000111e-06,5.120000000000002e-14,1.7599999999999993e-07,1.6383999999999992e-06,7.864319999999998e-07,1.2288000000000002e-06,1.4658986053197657e-07,0.003766067200000002,0.0019084800000000396,0.005684667421911774
AMM,ST_Tree_Ac,RIS,1,0.0,6.400000000000026e-13,2.2000000000000077e-06,8.191999999999978e-07,3.932160000000018e-05,1.2288e-06,1.74027048702818e-06,0.06234368000000084,0.03816960000001362,0.10055858987114148
AMM,ST_Tree_Ac,RIS,2,0.0,3.1999999999999995e-13,1.0999999999999984e-06,8.191999999999983e-07,1.966079999999995e-05,1.2288e-06,8.701352435140826e-07,0.03180800000000022,0.019084800000000398,0.05091647893556413
AMM,ST_Tree_Ac,RIS,4,0.0,1.599999999999997e-13,5.499999999999993e-07,8.191999999999995e-07,9.830399999999981e-06,1.2288e-06,4.35067621757043e-07,0.016540160000000012,0.009542399999999094,0.026095423467780862
AMM,ST_Tree_Ac,RIS,8,0.0,8.000000000000003e-14,2.7499999999999975e-07,8.19200000000001e-07,4.915199999999998e-06,1.2288e-06,2.1753381087852091e-07,0.008906240000000006,0.004771199999999951,0.013684895733890834
AMM,ST_Tree_Ac,RIS,40,0.0,3.200000000000001e-14,1.1000000000000003e-07,8.192000000000002e-07,9.8304e-07,1.2288e-06,7.066352435140836e-08,0.0027991040000000023,0.0019084800000000303,0.004710795703556384
AMM,ST_Tree_Ac,RWS,1,0.0,6.144000000000024e-13,2.6399999999999977e-07,0.0013219546011770898,3.3048865029427183e-06,2.3667206270592003e-05,2.0883245844338008e-07,0.061224038399999764,0.03816960000001362,0.10074303792703684
AMM,ST_Tree_Ac,RWS,2,0.0,3.0719999999999984e-13,1.3200000000000002e-07,0.0006609773005885466,3.304886502942719e-06,2.3667206270592003e-05,1.0441622922169004e-07,0.03068835839999989,0.019084800000000398,0.050461344209898784
AMM,ST_Tree_Ac,RWS,4,0.0,1.5359999999999974e-13,6.600000000000001e-08,0.0003304886502942719,3.304886502942721e-06,2.3667206270592003e-05,5.220811461084502e-08,0.015420518399999965,0.009542399999999094,0.025320497351335073
AMM,ST_Tree_Ac,RWS,8,0.0,7.680000000000002e-14,3.3e-08,0.00016524432514713596,3.30488650294272e-06,2.3667206270592003e-05,2.6104057305422513e-08,0.007786598400000002,0.004771199999999951,0.012750073922054728
AMM,ST_Tree_Ac,RWS,40,0.0,5.120000000000002e-14,2.2e-08,5.508144171571199e-05,3.3048865029427204e-06,2.3667206270592003e-05,1.0336352435140838e-08,0.0026973184,0.001908480000000065,0.004687884270892947
