DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,GoogLeNet,S_Tree,WS,17,0.3142866346887483,3.3593279999997483e-11,4.143699999999338e-05,0.015419123635234375,0.004560652045437804,0.011551108000138262,0.0504265644997147,2.148927456903018,11.13629629713009,13.681509273935974
AMM,ResNet50,S_Tree,WS,17,0.8464608405979522,8.873920000015166e-11,0.00010336700000002873,0.045206340251789476,0.011536722726635062,0.039124708385074876,0.1681526493779796,5.629664223407562,29.20681274606748,35.947061597903215
AMM,ShuffleNet_V2,S_Tree,WS,17,0.8930231816928857,9.976384000028186e-11,0.0001469765000000706,0.04759229465558112,0.012533736542332493,0.04417171287850337,0.1929238531492068,6.388926203109026,31.778140653689377,39.35745861231668
AMM,GoogLeNet,S_Tree,WS,21,0.25662683571255424,2.0862720000021018e-11,3.2845999999995714e-05,0.01422019899201418,0.004560652045437822,0.011551108000138267,0.04386694012519031,2.0857631305012494,9.068760988387929,11.485382699785376
AMM,ResNet50,S_Tree,WS,21,0.7021611499378497,5.1479679999847504e-11,7.665900000000308e-05,0.03779469274811941,0.01153672272663463,0.039124708385074876,0.14845412435724448,5.1985195065851215,24.025910275362033,30.163577839153557
AMM,ShuffleNet_V2,S_Tree,WS,21,0.7447178136235973,5.7962559999793144e-11,0.00010990650000003502,0.03946400832891316,0.012533736542332096,0.044171712878503584,0.1709788687204672,5.850433462285422,26.227790993404806,33.09020050234201
HEANA,GoogLeNet,PCA,WS,39,0.0,1.9104320000018007e-11,4.770149999999168e-05,0.05107004080431902,0.004560652045437766,0.011551108000138276,0.0,4.855882289304523,0.4763713688999994,5.399483160573522
HEANA,ResNet50,PCA,WS,39,0.0,5.0791359999853275e-11,0.00012148400000004614,0.1371920221045799,0.011536722726635909,0.03912470838507505,0.0,12.52566903981405,1.6432562482000055,14.356900225281137
HEANA,ShuffleNet_V2,PCA,WS,39,0.0,5.603455999980931e-11,0.00015005100000007357,0.14414289343670675,0.012533736542333878,0.04417171287850393,0.0,13.81929428671174,1.9170897795000148,15.937382460125335
AMM,GoogLeNet,S_Tree,IS,17,0.04281493808757989,2.75104000000324e-11,0.00057738449999972,0.001958310724778056,0.017430051713827617,0.0009069533395238643,0.05042656449971515,12.362520489914356,11.13629629721027,23.61293099001756
AMM,ResNet50,S_Tree,IS,17,0.1099920695794686,6.663583999989062e-11,0.0015252049999944864,0.00463001007863155,0.044424877352482905,0.003411834148130461,0.16815264937799052,32.15719200115778,29.206812746147662,61.69614139290877
AMM,ShuffleNet_V2,S_Tree,IS,17,0.11908485001192502,7.434463999998166e-11,0.001714690999991867,0.005101418577117763,0.04812786963859804,0.004006640180611684,0.19292385314921792,35.08153508086339,31.778140653769558,67.23063505726476
AMM,GoogLeNet,S_Tree,IS,21,0.034813967692162856,1.7828800000015823e-11,0.00035857799999970994,0.00195831072478121,0.013913699191366745,0.0009069533395238617,0.04386694012518973,10.151546111693902,9.068760988380445,19.3161255491652
AMM,ResNet50,S_Tree,IS,21,0.09041073138328332,4.345151999991482e-11,0.0008848070000015304,0.0046300100786384,0.035691229841043795,0.0034118341481304405,0.148454124357239,26.514743993496477,24.02591027535455,50.824137005702816
AMM,ShuffleNet_V2,S_Tree,IS,21,0.0982135066908354,4.9341119999865436e-11,0.0009962315000017988,0.0051014185771226924,0.03890465823848998,0.004006640180611567,0.17097886872045664,29.080805140790236,26.227790993397324,55.62679745814442
HEANA,GoogLeNet,PCA,IS,39,0.0,5.4393599999992455e-12,0.00032835549999982985,0.0019583107247806235,0.0077241699140662215,0.0009069533395238562,0.0,6.130151722105436,0.4763713689000033,6.617440880489249
HEANA,ResNet50,PCA,IS,39,0.0,1.3198400000007895e-11,0.0008729765000014607,0.0046300100786323415,0.019784776840241464,0.003411834148130407,0.0,15.911826855391446,1.6432562482000226,17.58378270117167
HEANA,ShuffleNet_V2,PCA,IS,39,0.0,1.4856960000010735e-11,0.0009630940000019914,0.0051014185771183045,0.02141551277180541,0.0040066401806115705,0.0,17.360104685706577,1.9170897795000357,19.30868113075101
AMM,GoogLeNet,S_Tree,OS,17,0.21548080270248593,3.3593279999997483e-11,0.00057738449999972,0.009935384387987512,0.09841203556563323,0.0029688898465196254,0.050426564499713236,12.622670169915823,11.13629629721027,24.136767528662023
AMM,ResNet50,S_Tree,OS,17,0.4446355559771857,8.873920000015166e-11,0.0015252049999944864,0.020681616940210083,0.20051682039684285,0.015511471382739818,0.16815264937798458,33.083044951554115,29.206812746147662,63.14088101686548
AMM,ShuffleNet_V2,S_Tree,OS,17,0.45899657334752275,9.976384000028186e-11,0.001714690999991867,0.021756441045491563,0.20678262883275159,0.01666418005272728,0.19292385314920063,36.14750545203154,31.778140653769558,68.82448447332854
AMM,GoogLeNet,S_Tree,OS,21,0.17428083063677396,2.0862720000021018e-11,0.00035857799999970994,0.009603731730112091,0.08025142273265821,0.0029688898465195404,0.043866940125190414,10.348531465292067,9.068760988380445,19.72862284676463
AMM,ResNet50,S_Tree,OS,21,0.36845899801520743,5.1479679999847504e-11,0.0008848070000015304,0.018394670298135105,0.16300286300441597,0.015511471382737585,0.14845412435723376,27.00945222708996,24.02591027535455,51.75006943655372
AMM,ShuffleNet_V2,S_Tree,OS,21,0.38111117514207815,5.7962559999793144e-11,0.0009962315000017988,0.019281576775235,0.1684312106555864,0.016664180052726983,0.17097886872045018,29.60828277118288,26.227790993397324,56.593537007484244
HEANA,GoogLeNet,PCA,OS,39,0.0,1.9104320000022468e-12,0.00032835549999982985,0.03512984606691941,0.043506658913474196,0.0029688898465196423,0.0,9.09725623451263,0.4763713688999749,9.65556135374143
HEANA,ResNet50,PCA,OS,39,0.0,5.079135999991675e-12,0.0008729765000014607,0.06983863643671369,0.08917952810964717,0.015511471382738458,0.0,23.733684622261798,1.6432562481997757,25.552343482895754
HEANA,ShuffleNet_V2,PCA,OS,39,0.0,5.603455999989925e-12,0.0009630940000019914,0.07218284575075794,0.09195607320496109,0.01666418005272706,0.0,25.856443140582705,1.9170897794997395,27.955299113096498
