DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,GoogLeNet,S_Tree,RIS,1,0.002095025079975004,1.1064320000018061e-10,0.0008943000000015863,0.001958310724782245,0.28846554944499037,0.0009069533395238511,0.0007039149971627879,0.004566874227300882,0.0008083368958436263,0.30039926482022355
AMM,GoogLeNet,S_Tree,RIS,2,0.0028389367332880256,7.592320000005105e-11,0.0005793149999997314,0.0019583107247811123,0.1447180946207144,0.0009069533395238511,0.000387745819203994,0.002303893050479215,0.000524638432015911,0.15421788779592943
AMM,GoogLeNet,S_Tree,RIS,4,0.004252177325508953,5.7212799999985236e-11,0.00041425449999948905,0.0019583107247808473,0.07235904731033617,0.0009069533395238511,0.00022339300223467147,0.0011663107169385437,0.0003761127200111079,0.08165655969654642
AMM,GoogLeNet,S_Tree,RIS,8,0.007667158121508807,5.133439999998704e-11,0.000361586499999698,0.001958310724781002,0.0366648435537805,0.0009069533395238511,0.0001472924083128331,0.0006036112952998167,0.0003263930959992073,0.048636149090540114
AMM,GoogLeNet,S_Tree,RIS,16,0.014503332428740896,4.8715199999987847e-11,0.00033395449999980764,0.001958310724781283,0.01881787274749286,0.0009069533395238511,0.00010601582050979424,0.0003222665611201134,0.0002952059879926131,0.03724391215887641
AMM,GoogLeNet,S_Tree,RIS,32,0.028373679105494837,4.753919999998821e-11,0.0003237024999998483,0.001958310724781228,0.009418782036030623,0.0009069533395238511,8.523536861200295e-05,0.00017568339642011992,0.00028574363398814245,0.04152809015238986
AMM,GoogLeNet,S_Tree,RWS,1,0.024976390544491987,2.254223999997284e-10,0.00015292750000007633,2.391600045620155,0.004560652045437605,0.011551108000138269,0.00021827157415484134,0.004555591806550212,0.0008083368958436263,2.438423324212195
AMM,GoogLeNet,S_Tree,RWS,2,0.029596926410857927,1.4891040000006093e-10,0.00012026850000004497,1.1960252066416357,0.004560652045437928,0.011551108000138269,0.00012940376873177487,0.0022907661625326745,0.000524638432015911,1.2447989701102606
AMM,GoogLeNet,S_Tree,RWS,4,0.037862436321564816,1.0884960000017392e-10,0.00010325700000002863,0.5980126893362916,0.004560652045437879,0.011551108000138269,8.325720509282457e-05,0.0011541093285138372,0.000376112720011083,0.6537036220658998
AMM,GoogLeNet,S_Tree,RWS,8,0.061926739962217696,9.636320000012732e-11,9.928600000002481e-05,0.2992315284995527,0.004560652045437958,0.011551108000138269,6.222913114663827e-05,0.0005900249235149027,0.0003263930959993644,0.37834796175437074
