DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,MobileNet_V2,S_Tree,RIS,1,0.00044382719289181194,2.582399999999488e-11,0.00017958600000010194,0.0005015949729422382,0.02797462263980795,0.0002458896847632054,0.00016097041833809965,0.0004546162924200717,0.0001547127039961454,0.030115819930983626
AMM,MobileNet_V2,S_Tree,RIS,2,0.000489466540520746,1.797759999999729e-11,0.00010799800000003318,0.0005015949729422206,0.014125446240779818,0.0002458896847632054,8.851117053332384e-05,0.00023277634848006294,8.436617600111586e-05,0.015876049151998122
AMM,MobileNet_V2,S_Tree,RIS,4,0.0005763889465670179,1.380159999999857e-11,7.12689999999979e-05,0.0005015949729422975,0.007062723120387763,0.0002458896847632054,5.137674316220137e-05,0.00012008991473998541,4.893486400013521e-05,0.008678267260364204
AMM,MobileNet_V2,S_Tree,RIS,8,0.0008687239595958487,1.3305599999998722e-11,5.9927999999988365e-05,0.0005015949729422585,0.003669496481071675,0.0002458896847632054,3.480515109809509e-05,6.551315963999969e-05,3.566336799976577e-05,0.005481614790416437
AMM,MobileNet_V2,S_Tree,RIS,16,0.001445777639306305,1.2774399999998885e-11,5.355899999999009e-05,0.0005015949729422844,0.0018680953861688163,0.0002458896847632054,2.5673705698379432e-05,3.7098440640001506e-05,2.8818723999660433e-05,0.004206507566293043
AMM,MobileNet_V2,S_Tree,RIS,32,0.003089288939050942,1.3550399999998647e-11,5.621549999998937e-05,0.0005015949729422778,0.0010039663374006732,0.0002458896847632054,2.1477323062523837e-05,2.3165418419998884e-05,2.878390799964068e-05,0.00497038209718965
AMM,MobileNet_V2,S_Tree,RWS,1,0.0032789210519149413,5.326559999998645e-11,9.591450000002157e-05,0.12320104290138592,0.0006774001186375964,0.0017477399245498025,0.00016436794632490855,0.00045625153297510705,0.0001547127039961454,0.12977635073305002
AMM,MobileNet_V2,S_Tree,RWS,2,0.0033153342994248986,3.295839999999269e-11,6.914049999999585e-05,0.061642760311369636,0.0006774001186376165,0.0017477399245498025,9.201551416335622e-05,0.00023345428567506207,8.436617600110719e-05,0.06786221116277986
AMM,MobileNet_V2,S_Tree,RWS,4,0.003385013424537381,2.2543999999995886e-11,5.488999999998973e-05,0.030821400635684084,0.0006774001186376262,0.0017477399245498025,5.4788363723537364e-05,0.00012124728121498947,4.8934864000130876e-05,0.03691141463489154
AMM,MobileNet_V2,S_Tree,RWS,8,0.004099760726677433,1.9031999999996965e-11,5.227749999999044e-05,0.01545293917852351,0.0006774001186376197,0.0017477399245498025,3.833881972214956e-05,6.5952159794998e-05,3.566336799977104e-05,0.022170071814937273
AMM,MobileNet_V2,S_Tree,RWS,16,0.005534720788360477,1.7201599999997527e-11,5.05944999999909e-05,0.007755073336947261,0.0006774001186376333,0.0017477399245498025,2.9191193645122993e-05,3.804489283500209e-05,2.881872399966728e-05,0.015861583496176553
AMM,MobileNet_V2,S_Tree,RWS,32,0.011139119492289084,1.810399999999725e-11,5.3701999999990054e-05,0.0039014277437620123,0.0006774001186376246,0.0017477399245498025,2.505349878195735e-05,2.3999813594998605e-05,2.8783907999649206e-05,0.017597226517719118
AMM,MobileNet_V2,S_Tree,ROS,1,0.0017242462057141567,5.326559999998645e-11,0.00018310050000010532,0.09111139411264875,0.0017497218478143713,0.0009087043804695409,0.00035424151843315,0.0004577032489948124,0.0001547127039961454,0.09664382457133662
AMM,MobileNet_V2,S_Tree,ROS,2,0.0018036884560670592,3.295839999999269e-11,0.00011329450000003827,0.045663794239353336,0.0017497218478153486,0.0009087043804696894,0.0001761577686289868,0.00023490600169511888,8.436617600110719e-05,0.05073463340298908
AMM,MobileNet_V2,S_Tree,ROS,4,0.0019556164061962575,2.2543999999995886e-11,7.749500000000388e-05,0.022831917599687286,0.0017497218478145257,0.0009087043804698027,8.818636201258706e-05,0.00012269899723498984,4.8934864000130876e-05,0.027783275479959586
AMM,MobileNet_V2,S_Tree,ROS,8,0.002678639294110137,1.9031999999996965e-11,6.542249999999228e-05,0.011524055982879781,0.00174972184781469,0.0009087043804697807,4.2943400370407284e-05,6.740387581500004e-05,3.566336799977104e-05,0.017072554668491557
AMM,MobileNet_V2,S_Tree,ROS,16,0.004136764107320052,1.7201599999997527e-11,5.913049999998858e-05,0.0058300246862761865,0.0017497218478145175,0.000908704380469822,2.1507597812237422e-05,3.9496608855003215e-05,2.881872399966728e-05,0.012774168469749075
AMM,MobileNet_V2,S_Tree,ROS,32,0.008432404174552615,1.810399999999725e-11,6.223249999998922e-05,0.002975755944461047,0.0017497218478145884,0.0009087043804698176,9.923490037110823e-06,2.5451529614998217e-05,2.8783907999649206e-05,0.014192977793053814
AMM,MobileNet_V2,ST_Tree_Ac,RIS,1,0.0,2.582399999999488e-11,0.00017958600000010194,0.0005015949729422382,0.02797462263980795,0.0002458896847632054,6.597224999998446e-05,0.0004546162924200717,0.0001547127039961454,0.029576994569753698
AMM,MobileNet_V2,ST_Tree_Ac,RIS,2,0.000489466540520746,1.797759999999729e-11,0.00010799800000003318,0.0005015949729422206,0.014125446240779818,0.0002458896847632054,4.545999048375723e-05,0.00023277634848006294,8.436617600111586e-05,0.015832997971948558
AMM,MobileNet_V2,ST_Tree_Ac,RIS,4,0.0005763889465670179,1.380159999999857e-11,7.12689999999979e-05,0.0005015949729422975,0.007062723120387763,0.0002458896847632054,3.479220986942363e-05,0.00012008991473998541,4.893486400013521e-05,0.008661682727071428
AMM,MobileNet_V2,ST_Tree_Ac,RIS,8,0.0008687239595958487,1.3305599999998722e-11,5.9927999999988365e-05,0.0005015949729422585,0.003669496481071675,0.0002458896847632054,3.166029806098466e-05,6.551315963999969e-05,3.566336799976577e-05,0.0054784699373793275
