DPU,reduction_network,dataflow,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMW,S_Tree,IS,8.28E-08,2.67E-05,0.21334,0.297815421,0.029245236,0.150194607,0.010218003,0.090019518,0.790859607
AMW,S_Tree,WS,8.28E-08,5.33E-05,0.025492,1.351952926,0.231052337,0.042295407,0.079405009,0.090019518,1.820270616
AMW,S_Tree,OS,8.28E-08,5.33E-05,0.21334,0.949299829,0.164218426,0.479257951,0.023620591,0.090019518,1.919809733
AMW,ST_Tree_Ac,IS,8.28E-08,2.67E-05,0.21334,0.297815421,0.029245236,0.150194607,0.010218003,0.090019518,0.790859607
AMW,ST_Tree_Ac,WS,8.28E-08,5.33E-05,0.025492,1.351952926,0.231052337,0.042295407,0.079405009,0.090019518,1.820270616
AMW,ST_Tree_Ac,OS,8.28E-08,5.33E-05,0.21334,0.949299829,0.164218426,0.479257951,0.023620591,0.090019518,1.919809733
AMW,STIFT,IS,8.28E-08,2.67E-05,0.21334,0.297815421,0.029245236,0.150194607,0.010218003,0.090019518,0.790859607
AMW,STIFT,WS,8.28E-08,5.33E-05,0.025492,1.351952926,0.231052337,0.042295407,0.079405009,0.090019518,1.820270616
AMW,STIFT,OS,8.28E-08,5.33E-05,0.21334,0.949299829,0.164218426,0.479257951,0.023620591,0.090019518,1.919809733
AMW,PCA,IS,8.28E-08,2.67E-06,0.21334,0,0.029245236,0.150194607,0.010218003,0.090019518,0.493020122
AMW,PCA,WS,8.28E-08,5.33E-06,0.025492,0,0.231052337,0.042295407,0.079405009,0.090019518,0.468269688
AMW,PCA,OS,8.28E-08,5.33E-06,0.21334,0,0.164218426,0.479257951,0.023620591,0.090019518,0.970461903
MAW,S_Tree,IS,1.12E-07,1.47E-05,0.207024,0.216265829,0.029245236,0.113329872,0.010218003,0.072163875,0.648261637
MAW,S_Tree,WS,1.12E-07,5.18E-05,0.0313,1.001929618,0.430965618,0.042295407,0.079405009,0.072163875,1.658111395
MAW,S_Tree,OS,1.12E-07,5.18E-05,0.207024,0.683248388,0.310588992,0.355862401,0.023620591,0.072163875,1.652560115
MAW,ST_Tree_Ac,IS,1.12E-07,1.47E-05,0.207024,0.216265829,0.029245236,0.113329872,0.010218003,0.072163875,0.648261637
MAW,ST_Tree_Ac,WS,1.12E-07,5.18E-05,0.0313,1.001929618,0.430965618,0.042295407,0.079405009,0.072163875,1.658111395
MAW,ST_Tree_Ac,OS,1.12E-07,5.18E-05,0.207024,0.683248388,0.310588992,0.355862401,0.023620591,0.072163875,1.652560115
MAW,STIFT,IS,1.12E-07,1.47E-05,0.207024,0.216265829,0.029245236,0.113329872,0.010218003,0.072163875,0.648261637
MAW,STIFT,WS,1.12E-07,5.18E-05,0.0313,1.001929618,0.430965618,0.042295407,0.079405009,0.072163875,1.658111395
MAW,STIFT,OS,1.12E-07,5.18E-05,0.207024,0.683248388,0.310588992,0.355862401,0.023620591,0.072163875,1.652560115
MAW,PCA,IS,1.12E-07,1.47E-06,0.207024,0,0.029245236,0.113329872,0.010218003,0.072163875,0.431982569
MAW,PCA,WS,1.12E-07,5.18E-06,0.0313,0,0.430965618,0.042295407,0.079405009,0.072163875,0.656135196
MAW,PCA,OS,1.12E-07,5.18E-06,0.207024,0,0.310588992,0.355862401,0.023620591,0.072163875,0.969265146
AMW,S_Tree,RIS,2.41E-07,6.62E-05,0.621384,0.026485797,0.029245236,4.467811326,0.012252394,0.001814954,5.159060185
AMW,S_Tree,RWS,2.09E-07,0.000134789,0.103084,0.177177933,19.77339778,0.042295407,0.081080568,0.000502471,20.17767316
AMW,S_Tree,ROS,2.09E-07,0.000134789,0.539156,0.067052967,14.40411835,0.160338315,0.023620591,0.003532273,15.19795349
AMW,ST_Tree_Ac,RIS,2.41E-07,6.62E-05,0.621384,0,0.029245236,4.467811326,0.012252394,0.001814954,5.132574388
AMW,ST_Tree_Ac,RWS,2.09E-07,0.000134789,0.103084,0,19.77339778,0.042295407,0.081080568,0.000502471,20.00049522
AMW,ST_Tree_Ac,ROS,2.09E-07,0.000134789,0.539156,0,14.40411835,0.160338315,0.023620591,0.003532273,15.13090052
AMW,STIFT,RIS,2.41E-07,6.62E-05,0.621384,0,0.029245236,4.467811326,0.012252394,0.001814954,5.132574388
AMW,STIFT,RWS,2.09E-07,0.000134789,0.103084,0,19.77339778,0.042295407,0.081080568,0.000502471,20.00049522
AMW,STIFT,ROS,2.09E-07,0.000134789,0.539156,0,14.40411835,0.160338315,0.023620591,0.003532273,15.13090052
AMW,PCA,RIS,2.41E-07,6.62E-06,0.621384,0,0.029245236,4.467811326,0.012252394,3.91E-08,5.130699861
AMW,PCA,RWS,2.09E-07,1.35E-05,0.103084,0,19.77339778,0.042295407,0.081080568,1.09E-08,19.99987145
AMW,PCA,ROS,2.09E-07,1.35E-05,0.539156,0,14.40411835,0.160338315,0.023620591,8.31E-08,15.12724702
MAW,S_Tree,RIS,5.31E-07,5.76E-05,0.98198,0.02341487,0.029245236,4.467811327,0.010218003,0.002167823,5.514895396
MAW,S_Tree,RWS,4.82E-07,0.000222928,0.0784,0.167955267,19.77339778,0.042295407,0.079405009,0.000599257,20.14227613
MAW,S_Tree,ROS,4.82E-07,0.000222928,0.891712,0.057083743,14.40411835,0.299895387,0.023620591,0.008395144,15.68504862
MAW,ST_Tree_Ac,RIS,5.31E-07,5.76E-05,0.98198,0,0.029245236,4.467811327,0.010218003,0.002167823,5.491480526
MAW,ST_Tree_Ac,RWS,4.82E-07,0.000222928,0.0784,0,19.77339778,0.042295407,0.079405009,0.000599257,19.97432086
MAW,ST_Tree_Ac,ROS,4.82E-07,0.000222928,0.891712,0,14.40411835,0.299895387,0.023620591,0.008395144,15.62796488
MAW,STIFT,RIS,5.31E-07,5.76E-05,0.98198,0,0.029245236,4.467811327,0.010218003,0.002167823,5.491480526
MAW,STIFT,RWS,4.82E-07,0.000222928,0.0784,0,19.77339778,0.042295407,0.079405009,0.000599257,19.97432086
MAW,STIFT,ROS,4.82E-07,0.000222928,0.891712,0,14.40411835,0.299895387,0.023620591,0.008395144,15.62796488
