DPU,CNNModel,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,GoogLeNet,S_Tree,WS,36,4.603824361798575e-08,2.575799999999013e-05,0.014252000000000594,1.146215729300437,0.13052569857968885,0.042295407353769014,0.07940500858789878,0.0764473058932638,1.4891669537533014
AMM,ResNet50,S_Tree,WS,36,1.2062563178554545e-07,6.74890000000655e-05,0.03568799999999959,3.1263424328255955,0.37726056663134494,0.10751633487900866,0.2692222457089867,0.2573097457659745,4.1734069354365415
AMM,ShuffleNet_V2,S_Tree,WS,36,1.360128217578567e-07,7.609800000008438e-05,0.05081999999998847,3.3408163338679273,0.40020183577770396,0.11888204003093017,0.3045126626952725,0.2970965182712812,4.512405624655925
AMM,GoogLeNet,S_Tree,WS,43,3.699781508866272e-08,1.7482000000000023e-05,0.011788000000000267,1.0126607677411767,0.1209945999164378,0.04229540735376994,0.07940500858789878,0.07247057345579297,1.3396318760528918
AMM,ResNet50,S_Tree,WS,43,8.904279098732305e-08,4.207400000000978e-05,0.027460000000002347,2.7645693184283466,0.31782126109893877,0.10751633487901338,0.26922224570898656,0.23618347945582616,3.7228148026139047
AMM,ShuffleNet_V2,S_Tree,WS,43,9.993769729532172e-08,4.722200000002107e-05,0.039367999999996885,2.9624825455742148,0.33417753499463343,0.11888204003094771,0.3045126626952731,0.27150692714654023,4.030977032379304
HEANA,GoogLeNet,PCA,WS,73,7.333371811601135e-08,2.0795999999996062e-05,0.018784000000001196,0.0,0.42451356531085804,0.042295407353769875,0.0794050085878989,0.0,0.5650188505862461
HEANA,ResNet50,PCA,WS,73,1.8662084199553232e-07,5.292200000003357e-05,0.04721199999999112,0.0,1.1346732198329181,0.10751633487902099,0.2692222457089873,0.0,1.5586769090417594
HEANA,ShuffleNet_V2,PCA,WS,73,2.0750028731990024e-07,5.884300000004655e-05,0.05811999999998311,0.0,1.197653638610572,0.11888204003095405,0.3045126626952704,0.0,1.6792273918370668
AMM,GoogLeNet,S_Tree,IS,36,4.603824361798575e-08,2.144199999999529e-05,0.10303200000002043,0.2540416905373397,0.029245235884936344,0.13786890581353464,0.010218003293904883,0.07644730589326426,0.6108746294612439
AMM,ResNet50,S_Tree,IS,36,1.2062563178554545e-07,5.1201000000029795e-05,0.2699560000001873,0.6666725437879472,0.07015293061665892,0.35363837706903667,0.03708856316884719,0.2573097457659789,1.6548694820342882
AMM,ShuffleNet_V2,S_Tree,IS,36,1.360128217578567e-07,5.7134000000042804e-05,0.30439200000022176,0.7282562873306802,0.07737331842701804,0.3836868569945176,0.04343969015897486,0.2970965182712836,1.8343019411955175
AMM,GoogLeNet,S_Tree,IS,43,3.699781508866272e-08,1.5052000000002578e-05,0.06992799999998732,0.21952667694063122,0.029245235884936157,0.11401065590082467,0.010218003293905202,0.07247057345579251,0.5154142344738922
AMM,ResNet50,S_Tree,IS,43,8.904279098732305e-08,3.577399999999597e-05,0.16829600000008568,0.5777021753307732,0.07015293061668203,0.2892038694351022,0.03708856316884738,0.23618347945582796,1.3786628810501094
AMM,ShuffleNet_V2,S_Tree,IS,43,9.993769729532172e-08,4.0383000000006074e-05,0.18888800000010628,0.6320833309827388,0.07737331842703496,0.31504273237446684,0.043439690158974635,0.27150692714654334,1.5283744820275622
HEANA,GoogLeNet,PCA,IS,73,7.333371811601135e-08,6.1899999999993775e-06,0.08318400000000058,0.0,0.029245235884934426,0.07595201999294907,0.01021800329390509,0.0,0.19860552250550728
HEANA,ResNet50,PCA,IS,73,1.8662084199553232e-07,1.4423000000002264e-05,0.21168800000012908,0.0,0.07015293061668915,0.19226991079967737,0.0370885631688472,0.0,0.5112140142061847
HEANA,ShuffleNet_V2,PCA,IS,73,2.0750028731990024e-07,1.6711000000000945e-05,0.23537200000015276,0.0,0.07737331842704692,0.21063323514366852,0.04343969015897474,0.0,0.5668351622301303
AMM,GoogLeNet,S_Tree,OS,36,4.603824361798575e-08,2.575799999999013e-05,0.10303200000002043,0.814726233201228,0.09061772061294088,0.41937404055622934,0.0236205905893772,0.0764473058932648,1.5278436948913043
AMM,ResNet50,S_Tree,OS,36,1.2062563178554545e-07,6.74890000000655e-05,0.2699560000001873,1.787929889198085,0.19878159937342602,0.9034666066631225,0.11573620519379789,0.2573097457659759,3.533247655820227
AMM,ShuffleNet_V2,S_Tree,OS,36,1.360128217578567e-07,7.609800000008438e-05,0.30439200000022176,1.8706689785978354,0.21218110208864618,0.9427541326559272,0.12571369932772525,0.2970965182712913,3.7528826649544693
AMM,GoogLeNet,S_Tree,OS,43,3.699781508866272e-08,1.7482000000000023e-05,0.06992799999998732,0.6934030268440464,0.0873982041970714,0.35727481982228015,0.023620590589377127,0.07247057345579286,1.3041127339063705
AMM,ResNet50,S_Tree,OS,43,8.904279098732305e-08,4.207400000000978e-05,0.16829600000008568,1.5448189410158992,0.17663736566163735,0.7474008481009248,0.11573620519379983,0.23618347945583007,2.9891150024709683
AMM,ShuffleNet_V2,S_Tree,OS,43,9.993769729532172e-08,4.722200000002107e-05,0.18888800000010628,1.6193174818638143,0.18729964794640863,0.7812067719130119,0.12571369932772955,0.2715069271465443,3.173979850135313
