DPU,CNNModel,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency,total_latency_post
AMM,MobileNet_V2,PCA,WS,32,1.39E-08,1.02E-05,0.027384,0,0.016770294,0.009647179,0.012376348,0,0.066188056,4.24E-02
AMM,MobileNet_V2,PCA,IS,32,1.39E-08,8.47E-06,0.040884,0,0.007514308,0.015532676,0.002614321,0,0.066553789,4.58E-02
AMM,MobileNet_V2,PCA,RIS,32,1.39E-08,8.47E-06,0.040884,0,0.007514308,0.015532676,0.002614321,2.79E-10,0.066553789,4.58E-02
AMM,MobileNet_V2,PCA,RIS,16,1.33E-08,7.98E-06,0.038952,0,0.007514308,0.029093158,0.002614321,5.55E-10,0.078181785,4.52E-02
AMM,MobileNet_V2,PCA,OS,32,1.39E-08,1.02E-06,0.040884,0,0.015573761,0.030669788,0.006922617,0,0.094051202,5.24E-02
AMM,MobileNet_V2,ST_Tree_Ac,RIS,16,1.33E-08,7.98E-06,0.038952,0.018131308,0.007514308,0.029093158,0.002614321,4.56E-05,0.0963587,1.09E-01
AMM,MobileNet_V2,STIFT,RIS,16,1.33E-08,7.98E-06,0.038952,0.018131308,0.007514308,0.029093158,0.002614321,4.56E-05,0.0963587,1.09E-01
AMM,MobileNet_V2,S_Tree,RIS,16,1.33E-08,7.98E-06,0.038952,0.018131308,0.007514308,0.029093158,0.002614321,7.29E-05,0.096386028,1.36E-01
AMM,MobileNet_V2,PCA,RWS,32,1.54E-08,1.13E-05,0.039056,0,0.036201018,0.009647179,0.012376348,2.79E-10,0.097291876,5.60E-02
AMM,MobileNet_V2,PCA,ROS,32,1.54E-08,1.13E-06,0.04526,0,0.02946443,0.018208677,0.006922617,6.80E-10,0.099856872,5.70E-02
AMM,MobileNet_V2,ST_Tree_Ac,ROS,32,1.54E-08,1.13E-05,0.04526,0,0.02946443,0.018208677,0.006922617,1.01E-05,0.099877179,6.71E-02
AMM,MobileNet_V2,STIFT,ROS,32,1.54E-08,1.13E-05,0.04526,0,0.02946443,0.018208677,0.006922617,1.01E-05,0.099877179,6.71E-02
AMM,MobileNet_V2,ST_Tree_Ac,RIS,32,1.39E-08,8.47E-06,0.040884,0.038559211,0.007514308,0.015532676,0.002614321,4.53E-05,0.105158282,1.30E-01
AMM,MobileNet_V2,STIFT,RIS,32,1.39E-08,8.47E-06,0.040884,0.038559211,0.007514308,0.015532676,0.002614321,4.53E-05,0.105158282,1.30E-01
AMM,MobileNet_V2,S_Tree,RIS,32,1.39E-08,8.47E-06,0.040884,0.038559211,0.007514308,0.015532676,0.002614321,6.10E-05,0.105174015,1.45E-01
AMM,MobileNet_V2,ST_Tree_Ac,IS,32,1.39E-08,8.47E-06,0.040884,0.034101374,0.007514308,0.015532676,0.002614321,0.005459499,0.106114662,5.54E+00
AMM,MobileNet_V2,STIFT,IS,32,1.39E-08,8.47E-06,0.040884,0.034101374,0.007514308,0.015532676,0.002614321,0.005459499,0.106114662,5.54E+00
AMM,MobileNet_V2,PCA,RIS,8,1.49E-08,8.32E-06,0.043584,0,0.007514308,0.057032778,0.002614321,1.11E-09,0.110753739,5.27E-02
AMM,MobileNet_V2,S_Tree,IS,32,1.39E-08,8.47E-06,0.040884,0.034101374,0.007514308,0.015532676,0.002614321,0.015588506,0.116243669,1.57E+01
AMM,MobileNet_V2,ST_Tree_Ac,RIS,8,1.49E-08,8.32E-06,0.043584,0.010901575,0.007514308,0.057032778,0.002614321,4.84E-05,0.121703723,1.12E-01
AMM,MobileNet_V2,STIFT,RIS,8,1.49E-08,8.32E-06,0.043584,0.010901575,0.007514308,0.057032778,0.002614321,4.84E-05,0.121703723,1.12E-01
AMM,MobileNet_V2,S_Tree,RIS,8,1.49E-08,8.32E-06,0.043584,0.010901575,0.007514308,0.057032778,0.002614321,9.89E-05,0.121754191,1.62E-01
AMM,MobileNet_V2,PCA,ROS,16,1.47E-08,1.08E-06,0.043004,0,0.057566661,0.018208677,0.006922617,1.35E-09,0.125703046,5.75E-02
AMM,MobileNet_V2,ST_Tree_Ac,ROS,16,1.47E-08,1.08E-05,0.043004,0,0.057566661,0.018208677,0.006922617,1.47E-05,0.125727436,7.22E-02
AMM,MobileNet_V2,STIFT,ROS,16,1.47E-08,1.08E-05,0.043004,0,0.057566661,0.018208677,0.006922617,1.47E-05,0.125727436,7.22E-02
AMM,MobileNet_V2,PCA,RWS,16,1.47E-08,1.08E-05,0.036796,0,0.071576225,0.009647179,0.012376348,5.54E-10,0.130406518,5.73E-02
AMM,MobileNet_V2,S_Tree,ROS,16,1.47E-08,1.08E-05,0.043004,0.0364491,0.057566661,0.018208677,0.006922617,6.11E-05,0.162222922,1.55E-01
AMM,MobileNet_V2,ST_Tree_Ac,WS,32,1.39E-08,1.02E-05,0.027384,0.090857402,0.016770294,0.009647179,0.012376348,0.005459499,0.162504957,5.59E+00
AMM,MobileNet_V2,STIFT,WS,32,1.39E-08,1.02E-05,0.027384,0.090857402,0.016770294,0.009647179,0.012376348,0.005459499,0.162504957,5.59E+00
AMM,MobileNet_V2,ST_Tree_Ac,OS,32,1.39E-08,1.02E-05,0.040884,0.070936387,0.015573761,0.030669788,0.006922617,0.005459499,0.170456287,5.58E+00
AMM,MobileNet_V2,STIFT,OS,32,1.39E-08,1.02E-05,0.040884,0.070936387,0.015573761,0.030669788,0.006922617,0.005459499,0.170456287,5.58E+00
AMM,MobileNet_V2,PCA,RIS,4,1.77E-08,8.63E-06,0.051832,0,0.007514308,0.110211133,0.002614321,2.21E-09,0.172180408,6.62E-02
AMM,MobileNet_V2,S_Tree,WS,32,1.39E-08,1.02E-05,0.027384,0.090857402,0.016770294,0.009647179,0.012376348,0.015588506,0.172633964,1.57E+01
AMM,MobileNet_V2,S_Tree,ROS,32,1.54E-08,1.13E-05,0.04526,0.074449766,0.02946443,0.018208677,0.006922617,2.82E-05,0.174345012,1.60E-01
AMM,MobileNet_V2,ST_Tree_Ac,RWS,16,1.47E-08,1.08E-05,0.036796,0.046048613,0.071576225,0.009647179,0.012376348,5.50E-05,0.176510109,1.58E-01
AMM,MobileNet_V2,STIFT,RWS,16,1.47E-08,1.08E-05,0.036796,0.046048613,0.071576225,0.009647179,0.012376348,5.50E-05,0.176510109,1.58E-01
AMM,MobileNet_V2,S_Tree,RWS,16,1.47E-08,1.08E-05,0.036796,0.046048613,0.071576225,0.009647179,0.012376348,8.29E-05,0.176538061,1.86E-01
AMM,MobileNet_V2,ST_Tree_Ac,RIS,4,1.77E-08,8.63E-06,0.051832,0.007259634,0.007514308,0.110211133,0.002614321,5.32E-05,0.179493239,1.27E-01
AMM,MobileNet_V2,STIFT,RIS,4,1.77E-08,8.63E-06,0.051832,0.007259634,0.007514308,0.110211133,0.002614321,5.32E-05,0.179493239,1.27E-01
AMM,MobileNet_V2,S_Tree,RIS,4,1.77E-08,8.63E-06,0.051832,0.007259634,0.007514308,0.110211133,0.002614321,0.000145957,0.179585997,2.19E-01
AMM,MobileNet_V2,S_Tree,OS,32,1.39E-08,1.02E-05,0.040884,0.070936387,0.015573761,0.030669788,0.006922617,0.015588506,0.180585294,1.57E+01
AMM,MobileNet_V2,PCA,ROS,8,1.62E-08,1.19E-06,0.04758,0,0.113570099,0.018208677,0.006922617,2.68E-09,0.186282602,6.77E-02
AMM,MobileNet_V2,ST_Tree_Ac,ROS,8,1.62E-08,1.19E-05,0.04758,0,0.113570099,0.018208677,0.006922617,2.53E-05,0.186318623,9.30E-02
