DPU,CNNModel,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency,total_latency_post
AMM,ShuffleNet_V2,PCA,RIS,1,9.25E-08,1.91E-05,0.271152,0,0.007220388,0.973666648,0.006351127,1.25E-08,1.258409352,3.76E-01
AMM,ShuffleNet_V2,S_Tree,RIS,2,5.19E-08,1.23E-05,0.152064,0.013886968,0.007220388,0.48849763,0.006351127,0.000330521,0.668362965,5.52E-01
AMM,ShuffleNet_V2,S_Tree,RIS,4,3.14E-08,8.80E-06,0.092168,0.015730787,0.007220388,0.244248815,0.006351127,0.000184669,0.365912619,3.24E-01
AMM,ShuffleNet_V2,S_Tree,RIS,8,2.59E-08,8.41E-06,0.075912,0.023974077,0.007220388,0.124290091,0.006351127,0.000121016,0.237877136,2.40E-01
AMM,ShuffleNet_V2,S_Tree,RIS,16,2.31E-08,8.08E-06,0.067616,0.040616611,0.007220388,0.064021449,0.006351127,8.54E-05,0.185919108,2.07E-01
AMM,ShuffleNet_V2,S_Tree,RIS,32,2.37E-08,8.20E-06,0.069572,0.08426131,0.007220388,0.033196279,0.006351127,6.87E-05,0.200678043,2.33E-01
AMM,ShuffleNet_V2,PCA,ROS,1,9.17E-08,6.72E-06,0.26898,0,1.272554492,0.020134081,0.009977494,5.04E-08,1.571652933,4.08E-01
AMM,ShuffleNet_V2,S_Tree,RWS,2,5.17E-08,3.79E-05,0.04966,0.071687383,1.537891286,0.011365705,0.035290417,0.000323424,1.706256179,6.35E-01
AMM,ShuffleNet_V2,S_Tree,RWS,4,3.16E-08,2.32E-05,0.036496,0.073454933,0.768946087,0.011365705,0.035290417,0.000183287,0.925759614,4.07E-01
AMM,ShuffleNet_V2,S_Tree,RWS,8,2.59E-08,1.90E-05,0.034616,0.090918019,0.385797371,0.011365705,0.035290417,0.000122477,0.558129036,3.23E-01
AMM,ShuffleNet_V2,S_Tree,RWS,16,2.37E-08,1.74E-05,0.035284,0.126341916,0.195149281,0.011365705,0.035290417,8.81E-05,0.40353682,3.06E-01
AMM,ShuffleNet_V2,S_Tree,RWS,32,2.44E-08,1.79E-05,0.035888,0.260717388,0.10067508,0.011365705,0.035290417,7.20E-05,0.44402648,4.15E-01
AMM,ShuffleNet_V2,PCA,RWS,1,9.17E-08,6.72E-05,0.075244,0,3.074323391,0.011365705,0.035290417,1.20E-08,3.196290862,4.19E-01
AMM,ShuffleNet_V2,S_Tree,ROS,2,5.17E-08,3.79E-05,0.151652,0.021555124,0.637486121,0.020134081,0.009977494,0.001185717,0.842028502,1.43E+00
AMM,ShuffleNet_V2,S_Tree,ROS,4,3.16E-08,2.32E-05,0.092616,0.024019302,0.318743504,0.020134081,0.009977494,0.000591142,0.46610471,7.52E-01
AMM,ShuffleNet_V2,S_Tree,ROS,8,2.59E-08,1.90E-05,0.07608,0.033497521,0.161425378,0.020134081,0.009977494,0.000286967,0.301420487,4.25E-01
AMM,ShuffleNet_V2,S_Tree,ROS,16,2.37E-08,1.74E-05,0.06954,0.053121614,0.083792255,0.020134081,0.009977494,0.000141047,0.2367239,2.84E-01
AMM,ShuffleNet_V2,S_Tree,ROS,32,2.44E-08,1.79E-05,0.071608,0.109441742,0.043153867,0.020134081,0.009977494,6.38E-05,0.254396878,2.61E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,RIS,1,9.25E-08,1.91E-05,0.271152,0,0.007220388,0.973666648,0.006351127,0.000119275,1.258528615,4.95E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,RIS,2,5.19E-08,1.23E-05,0.152064,0.013886968,0.007220388,0.48849763,0.006351127,7.60E-05,0.66810848,2.98E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,RIS,4,3.14E-08,8.80E-06,0.092168,0.015730787,0.007220388,0.244248815,0.006351127,5.43E-05,0.365782249,1.94E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,RIS,8,2.59E-08,8.41E-06,0.075912,0.023974077,0.007220388,0.124290091,0.006351127,4.87E-05,0.237804867,1.68E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,RIS,16,2.31E-08,8.08E-06,0.067616,0.040616611,0.007220388,0.064021449,0.006351127,4.52E-05,0.18587891,1.67E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,RIS,32,2.37E-08,8.20E-06,0.069572,0.08426131,0.007220388,0.033196279,0.006351127,4.50E-05,0.200654346,2.09E-01
AMM,ShuffleNet_V2,STIFT,RIS,1,9.25E-08,1.91E-05,0.271152,0,0.007220388,0.973666648,0.006351127,0.000119275,1.258528615,4.95E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,RWS,2,5.17E-08,3.79E-05,0.04966,0.071687383,1.537891286,0.011365705,0.035290417,7.72E-05,1.706009991,3.89E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,RWS,4,3.16E-08,2.32E-05,0.036496,0.073454933,0.768946087,0.011365705,0.035290417,5.67E-05,0.925632993,2.80E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,RWS,8,2.59E-08,1.90E-05,0.034616,0.090918019,0.385797371,0.011365705,0.035290417,5.18E-05,0.558058397,2.52E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,RWS,16,2.37E-08,1.74E-05,0.035284,0.126341916,0.195149281,0.011365705,0.035290417,4.86E-05,0.403497305,2.66E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,RWS,32,2.44E-08,1.79E-05,0.035888,0.260717388,0.10067508,0.011365705,0.035290417,4.85E-05,0.444003047,3.92E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,RWS,1,9.17E-08,6.72E-05,0.075244,0,3.074323391,0.011365705,0.035290417,0.000117569,3.196408419,5.37E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,ROS,2,5.17E-08,3.79E-05,0.151652,0,0.637486121,0.020134081,0.009977494,0.000208921,0.819496582,4.36E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,ROS,4,3.16E-08,2.32E-05,0.092616,0,0.318743504,0.020134081,0.009977494,0.000110161,0.441604426,2.47E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,ROS,8,2.59E-08,1.90E-05,0.07608,0,0.161425378,0.020134081,0.009977494,6.81E-05,0.267704145,1.72E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,ROS,16,2.37E-08,1.74E-05,0.06954,0,0.083792255,0.020134081,0.009977494,4.15E-05,0.183502746,1.31E-01
AMM,ShuffleNet_V2,ST_Tree_Ac,ROS,32,2.44E-08,1.79E-05,0.071608,0,0.043153867,0.020134081,0.009977494,2.60E-05,0.144917344,1.14E-01
AMM,ShuffleNet_V2,STIFT,RWS,1,9.17E-08,6.72E-05,0.075244,0,3.074323391,0.011365705,0.035290417,0.000117569,3.196408419,5.37E-01
AMM,ShuffleNet_V2,STIFT,RIS,2,5.19E-08,1.23E-05,0.152064,0.013886968,0.007220388,0.48849763,0.006351127,7.60E-05,0.66810848,2.98E-01
AMM,ShuffleNet_V2,STIFT,RIS,4,3.14E-08,8.80E-06,0.092168,0.015730787,0.007220388,0.244248815,0.006351127,5.43E-05,0.365782249,1.94E-01
AMM,ShuffleNet_V2,STIFT,RIS,8,2.59E-08,8.41E-06,0.075912,0.023974077,0.007220388,0.124290091,0.006351127,4.87E-05,0.237804867,1.68E-01
AMM,ShuffleNet_V2,STIFT,RIS,16,2.31E-08,8.08E-06,0.067616,0.040616611,0.007220388,0.064021449,0.006351127,4.52E-05,0.18587891,1.67E-01
